,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Nominal Size,Nominal Outside dia (in),Nominal Wall Thickness (in),Nominal Internal Diameter (in),Internal Area (in²),e (ft),Nominal Plain-End Weight (lb/ft),Maximum Allowable Residue (grams per linear foot),,
data,0.072,0.072,0.023,0.026,0.000530929,0.002,0.01373,0.0002,,0.026
data,0.072,0.072,0.022,0.028,0.000615752,0.002,0.134,0.00021,,
data,0.081,0.081,0.025,0.031,0.000754768,0.002,0.01705,0.00023,,
data,0.081,0.081,0.024,0.033,0.000855299,0.002,0.01666,0.00025,,
data,0.087,0.087,0.0255,0.036,0.001017876,0.002,0.0191,0.00027,,
data,0.087,0.087,0.024,0.039,0.001194591,0.002,0.01842,0.00029,,
data,0.093,0.093,0.0255,0.042,0.001385442,0.002,0.02096,0.00032,,
data,0.097,0.097,0.0255,0.046,0.001661903,0.002,0.02221,0.00035,,
data,0.099,0.099,0.025,0.049,0.001885741,0.002,0.02253,0.00037,,
data,0.106,0.106,0.026,0.054,0.002290221,0.002,0.02533,0.00041,,
data,0.112,0.112,0.0265,0.059,0.002733971,0.002,0.0276,0.00044,,
data,0.125,0.125,0.0305,0.064,0.003216991,0.002,0.03511,0.00048,,
data,0.125,0.125,0.0275,0.07,0.003848451,0.002,0.03266,0.00053,,
data,0.125,0.125,0.025,0.075,0.004417865,0.002,0.03045,0.00057,,
data,0.145,0.145,0.0325,0.08,0.005026548,0.002,0.04453,0.0006,,
data,0.145,0.145,0.03,0.085,0.005674502,0.002,0.04202,0.00064,,
data,0.145,0.145,0.0275,0.09,0.006361725,0.002,0.03936,0.00068,,
data,0.16,0.16,0.03,0.1,0.007853982,0.002,0.0475,0.00075,,
data,0.16,0.16,0.025,0.11,0.009503318,0.002,0.04111,0.00083,,
data,0.188,0.188,0.034,0.12,0.011309734,0.002,0.06377,0.0009,,
data,0.188,0.188,0.029,0.13,0.013273229,0.002,0.05616,0.00098,,
data,0.2,0.2,0.0275,0.145,0.016512996,0.002,0.05779,0.00109,,
data,0.22,0.22,0.03,0.16,0.020106193,0.002,0.06943,0.00121,,
data,0.24,0.24,0.0325,0.175,0.024052819,0.002,0.08107,0.00132,,
