,numeric,numeric,numeric,numeric,
heading,Nominal Size,Nominal Outside dia (in),"Nominal Wall Thickness
(in)",e (ft),Thickness Class
data,3,3.96,0.280,0.00085,2
data,3,3.96,0.310,0.00085,3
data,3,3.96,0.340,0.00085,4
data,3,3.96,0.370,0.00085,5
data,3,3.96,0.400,0.00085,6
data,4,4.8,0.290,0.00085,2
data,4,4.8,0.320,0.00085,3
data,4,4.8,0.350,0.00085,4
data,4,4.8,0.380,0.00085,5
data,4,4.8,0.410,0.00085,6
data,6,6.9,0.310,0.00085,2
data,6,6.9,0.340,0.00085,3
data,6,6.9,0.370,0.00085,4
data,6,6.9,0.400,0.00085,5
data,6,6.9,0.430,0.00085,6
data,8,9.05,0.330,0.00085,2
data,8,9.05,0.360,0.00085,3
data,8,9.05,0.390,0.00085,4
data,8,9.05,0.420,0.00085,5
data,8,9.05,0.450,0.00085,6
data,10,11.1,0.350,0.00085,2
data,10,11.1,0.380,0.00085,3
data,10,11.1,0.410,0.00085,4
data,10,11.1,0.440,0.00085,5
data,10,11.1,0.470,0.00085,6
data,12,13.2,0.370,0.00085,2
data,12,13.2,0.400,0.00085,3
data,12,13.2,0.430,0.00085,4
data,12,13.2,0.460,0.00085,5
data,12,13.2,0.490,0.00085,6
data,14,15.3,0.360,0.00085,1
data,14,15.3,0.390,0.00085,2
data,14,15.3,0.420,0.00085,3
data,14,15.3,0.450,0.00085,4
data,14,15.3,0.480,0.00085,5
data,14,15.3,0.510,0.00085,6
data,16,17.4,0.370,0.00085,1
data,16,17.4,0.400,0.00085,2
data,16,17.4,0.430,0.00085,3
data,16,17.4,0.460,0.00085,4
data,16,17.4,0.490,0.00085,5
data,16,17.4,0.520,0.00085,6
data,18,19.5,0.380,0.00085,1
data,18,19.5,0.410,0.00085,2
data,18,19.5,0.440,0.00085,3
data,18,19.5,0.470,0.00085,4
data,18,19.5,0.500,0.00085,5
data,18,19.5,0.530,0.00085,6
