Nominal Size,"Outside Diameter, inches","Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
3,3.96,0.250,350,3.460,0.2883,0.0652949,0.002948,0.000850
4,4.8,0.250,350,4.300,0.3583,0.1008473,0.002372,0.000850
6,6.9,0.250,350,6.400,0.5333,0.2234021,0.001594,0.000850
8,9.05,0.250,350,8.550,0.7125,0.3987123,0.001193,0.000850
10,11.1,0.260,350,10.580,0.8817,0.6105184,0.000964,0.000850
12,13.2,0.280,350,12.640,1.0533,0.8714080,0.000807,0.000850
14,15.3,0.280,250,14.740,1.2283,1.1850109,0.000692,0.000850
14,15.3,0.300,300,14.700,1.2250,1.1785881,0.000694,0.000850
14,15.3,0.310,350,14.680,1.2233,1.1753833,0.000695,0.000850
16,17.4,0.300,250,16.800,1.4000,1.5393804,0.000607,0.000850
16,17.4,0.320,300,16.760,1.3967,1.5320587,0.000609,0.000850
16,17.4,0.340,350,16.720,1.3933,1.5247545,0.000610,0.000850
18,19.5,0.310,250,18.880,1.5733,1.9441572,0.000540,0.000850
18,19.5,0.340,300,18.820,1.5683,1.9318199,0.000542,0.000850
18,19.5,0.360,350,18.780,1.5650,1.9236168,0.000543,0.000850
20,21.6,0.330,250,20.940,1.7450,2.3915570,0.000487,0.000850
20,21.6,0.360,300,20.880,1.7400,2.3778715,0.000489,0.000850
20,21.6,0.380,350,20.840,1.7367,2.3687696,0.000489,0.000850
24,25.8,0.330,200,25.140,2.0950,3.4471322,0.000406,0.000850
24,25.8,0.370,250,25.060,2.0883,3.4252283,0.000407,0.000850
24,25.8,0.400,300,25.000,2.0833,3.4088462,0.000408,0.000850
24,25.8,0.430,350,24.940,2.0783,3.3925034,0.000409,0.000850
30,32,0.340,150,31.320,2.6100,5.3502108,0.000326,0.000850
30,32,0.380,200,31.240,2.6033,5.3229139,0.000327,0.000850
30,32,0.420,250,31.160,2.5967,5.2956867,0.000327,0.000850
30,32,0.450,300,31.100,2.5917,5.2753122,0.000328,0.000850
30,32,0.490,350,31.020,2.5850,5.2482072,0.000329,0.000850
36,38.3,0.380,150,37.540,3.1283,7.6862751,0.000272,0.000850
36,38.3,0.420,200,37.460,3.1217,7.6535502,0.000272,0.000850
36,38.3,0.470,250,37.360,3.1133,7.6127422,0.000273,0.000850
36,38.3,0.510,300,37.280,3.1067,7.5801744,0.000274,0.000850
36,38.3,0.560,350,37.180,3.0983,7.5395628,0.000274,0.000850
42,44.5,0.410,150,43.680,3.6400,10.4062115,0.000234,0.000850
42,44.5,0.470,200,43.560,3.6300,10.3491131,0.000234,0.000850
42,44.5,0.520,250,43.460,3.6217,10.3016510,0.000235,0.000850
42,44.5,0.570,300,43.360,3.6133,10.2542980,0.000235,0.000850
42,44.5,0.630,350,43.240,3.6033,10.1976185,0.000236,0.000850
48,50.8,0.460,150,49.880,4.1567,13.5700135,0.000204,0.000850
48,50.8,0.520,200,49.760,4.1467,13.5047992,0.000205,0.000850
48,50.8,0.580,250,49.640,4.1367,13.4397421,0.000205,0.000850
48,50.8,0.640,300,49.520,4.1267,13.3748420,0.000206,0.000850
48,50.8,0.700,350,49.400,4.1167,13.3100990,0.000206,0.000850
54,57.56,0.510,150,56.540,4.7117,17.4356843,0.000180,0.000850
54,57.56,0.580,200,56.400,4.7000,17.3494454,0.000181,0.000850
54,57.56,0.650,250,56.260,4.6883,17.2634203,0.000181,0.000850
54,57.56,0.720,300,56.120,4.6767,17.1776090,0.000182,0.000850
54,57.56,0.790,350,55.980,4.6650,17.0920115,0.000182,0.000850
60,61.61,0.540,150,60.530,5.0442,19.9833703,0.000169,0.000850
60,61.61,0.610,200,60.390,5.0325,19.8910381,0.000169,0.000850
60,61.61,0.680,250,60.250,5.0208,19.7989196,0.000169,0.000850
60,61.61,0.760,300,60.090,5.0075,19.6939031,0.000170,0.000850
60,61.61,0.830,350,59.950,4.9958,19.6022428,0.000170,0.000850
64,65.67,0.560,150,64.550,5.3792,22.7258367,0.000158,0.000850
64,65.67,0.640,200,64.390,5.3658,22.6133154,0.000158,0.000850
64,65.67,0.720,250,64.230,5.3525,22.5010732,0.000159,0.000850
64,65.67,0.800,300,64.070,5.3392,22.3891104,0.000159,0.000850
64,65.67,0.870,350,63.930,5.3275,22.2913719,0.000160,0.000850
