Nominal size,"Outside diameter, inches","Wall thickness, inches",Pressure class,"Internal diameter, inches","Internal diameter, feet","Internal area, square feet","e/D, Relative roughness","e, Absolute roughness, feet"
3,3.96,0.250,350,3.460,0.2883,0.06529,0.002948,0.000850
4,4.8,0.250,350,4.300,0.3583,0.10085,0.002372,0.000850
6,6.9,0.250,350,6.400,0.5333,0.22340,0.001594,0.000850
8,9.05,0.250,350,8.550,0.7125,0.39871,0.001193,0.000850
10,11.1,0.260,350,10.580,0.8817,0.61052,0.000964,0.000850
12,13.2,0.280,350,12.640,1.0533,0.87141,0.000807,0.000850
14,15.3,0.280,250,14.740,1.2283,1.18501,0.000692,0.000850
14,15.3,0.300,300,14.700,1.2250,1.17859,0.000694,0.000850
14,15.3,0.310,350,14.680,1.2233,1.17538,0.000695,0.000850
16,17.4,0.300,250,16.800,1.4000,1.53938,0.000607,0.000850
16,17.4,0.320,300,16.760,1.3967,1.53206,0.000609,0.000850
16,17.4,0.340,350,16.720,1.3933,1.52475,0.000610,0.000850
18,19.5,0.310,250,18.880,1.5733,1.94416,0.000540,0.000850
18,19.5,0.340,300,18.820,1.5683,1.93182,0.000542,0.000850
18,19.5,0.360,350,18.780,1.5650,1.92362,0.000543,0.000850
20,21.6,0.330,250,20.940,1.7450,2.39156,0.000487,0.000850
20,21.6,0.360,300,20.880,1.7400,2.37787,0.000489,0.000850
20,21.6,0.380,350,20.840,1.7367,2.36877,0.000489,0.000850
24,25.8,0.330,200,25.140,2.0950,3.44713,0.000406,0.000850
24,25.8,0.370,250,25.060,2.0883,3.42523,0.000407,0.000850
24,25.8,0.400,300,25.000,2.0833,3.40885,0.000408,0.000850
24,25.8,0.430,350,24.940,2.0783,3.39250,0.000409,0.000850
30,32,0.340,150,31.320,2.6100,5.35021,0.000326,0.000850
30,32,0.380,200,31.240,2.6033,5.32291,0.000327,0.000850
30,32,0.420,250,31.160,2.5967,5.29569,0.000327,0.000850
30,32,0.450,300,31.100,2.5917,5.27531,0.000328,0.000850
30,32,0.490,350,31.020,2.5850,5.24821,0.000329,0.000850
36,38.3,0.380,150,37.540,3.1283,7.68628,0.000272,0.000850
36,38.3,0.420,200,37.460,3.1217,7.65355,0.000272,0.000850
36,38.3,0.470,250,37.360,3.1133,7.61274,0.000273,0.000850
36,38.3,0.510,300,37.280,3.1067,7.58017,0.000274,0.000850
36,38.3,0.560,350,37.180,3.0983,7.53956,0.000274,0.000850
42,44.5,0.410,150,43.680,3.6400,10.40621,0.000234,0.000850
42,44.5,0.470,200,43.560,3.6300,10.34911,0.000234,0.000850
42,44.5,0.520,250,43.460,3.6217,10.30165,0.000235,0.000850
42,44.5,0.570,300,43.360,3.6133,10.25430,0.000235,0.000850
42,44.5,0.630,350,43.240,3.6033,10.19762,0.000236,0.000850
48,50.8,0.460,150,49.880,4.1567,13.57001,0.000204,0.000850
48,50.8,0.520,200,49.760,4.1467,13.50480,0.000205,0.000850
48,50.8,0.580,250,49.640,4.1367,13.43974,0.000205,0.000850
48,50.8,0.640,300,49.520,4.1267,13.37484,0.000206,0.000850
48,50.8,0.700,350,49.400,4.1167,13.31010,0.000206,0.000850
54,57.56,0.510,150,56.540,4.7117,17.43568,0.000180,0.000850
54,57.56,0.580,200,56.400,4.7000,17.34945,0.000181,0.000850
54,57.56,0.650,250,56.260,4.6883,17.26342,0.000181,0.000850
54,57.56,0.720,300,56.120,4.6767,17.17761,0.000182,0.000850
54,57.56,0.790,350,55.980,4.6650,17.09201,0.000182,0.000850
60,61.61,0.540,150,60.530,5.0442,19.98337,0.000169,0.000850
60,61.61,0.610,200,60.390,5.0325,19.89104,0.000169,0.000850
60,61.61,0.680,250,60.250,5.0208,19.79892,0.000169,0.000850
60,61.61,0.760,300,60.090,5.0075,19.69390,0.000170,0.000850
60,61.61,0.830,350,59.950,4.9958,19.60224,0.000170,0.000850
64,65.67,0.560,150,64.550,5.3792,22.72584,0.000158,0.000850
64,65.67,0.640,200,64.390,5.3658,22.61332,0.000158,0.000850
64,65.67,0.720,250,64.230,5.3525,22.50107,0.000159,0.000850
64,65.67,0.800,300,64.070,5.3392,22.38911,0.000159,0.000850
64,65.67,0.870,350,63.930,5.3275,22.29137,0.000160,0.000850
