Nominal Size,"Outside Diameter, inches","Wall Thickness, inches",Pressure Class,"Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
3,3.96,0.25,350,3.46,0.2883,0.0652949,0.002948,0.00085
4,4.8,0.25,350,4.3,0.3583,0.1008473,0.002372,0.00085
6,6.9,0.25,350,6.4,0.5333,0.2234021,0.001594,0.00085
8,9.05,0.25,350,8.55,0.7125,0.3987123,0.001193,0.00085
10,11.1,0.26,350,10.58,0.8817,0.6105184,0.000964,0.00085
12,13.2,0.28,350,12.64,1.0533,0.871408,0.000807,0.00085
14,15.3,0.28,250,14.74,1.2283,1.1850109,0.000692,0.00085
14,15.3,0.3,300,14.7,1.225,1.1785881,0.000694,0.00085
14,15.3,0.31,350,14.68,1.2233,1.1753833,0.000695,0.00085
16,17.4,0.3,250,16.8,1.4,1.5393804,0.000607,0.00085
16,17.4,0.32,300,16.76,1.3967,1.5320587,0.000609,0.00085
16,17.4,0.34,350,16.72,1.3933,1.5247545,0.00061,0.00085
18,19.5,0.31,250,18.88,1.5733,1.9441572,0.00054,0.00085
18,19.5,0.34,300,18.82,1.5683,1.9318199,0.000542,0.00085
18,19.5,0.36,350,18.78,1.565,1.9236168,0.000543,0.00085
20,21.6,0.33,250,20.94,1.745,2.391557,0.000487,0.00085
20,21.6,0.36,300,20.88,1.74,2.3778715,0.000489,0.00085
20,21.6,0.38,350,20.84,1.7367,2.3687696,0.000489,0.00085
24,25.8,0.33,200,25.14,2.095,3.4471322,0.000406,0.00085
24,25.8,0.37,250,25.06,2.0883,3.4252283,0.000407,0.00085
24,25.8,0.4,300,25,2.0833,3.4088462,0.000408,0.00085
24,25.8,0.43,350,24.94,2.0783,3.3925034,0.000409,0.00085
30,32,0.34,150,31.32,2.61,5.3502108,0.000326,0.00085
30,32,0.38,200,31.24,2.6033,5.3229139,0.000327,0.00085
30,32,0.42,250,31.16,2.5967,5.2956867,0.000327,0.00085
30,32,0.45,300,31.1,2.5917,5.2753122,0.000328,0.00085
30,32,0.49,350,31.02,2.585,5.2482072,0.000329,0.00085
36,38.3,0.38,150,37.54,3.1283,7.6862751,0.000272,0.00085
36,38.3,0.42,200,37.46,3.1217,7.6535502,0.000272,0.00085
36,38.3,0.47,250,37.36,3.1133,7.6127422,0.000273,0.00085
36,38.3,0.51,300,37.28,3.1067,7.5801744,0.000274,0.00085
36,38.3,0.56,350,37.18,3.0983,7.5395628,0.000274,0.00085
42,44.5,0.41,150,43.68,3.64,10.4062115,0.000234,0.00085
42,44.5,0.47,200,43.56,3.63,10.3491131,0.000234,0.00085
42,44.5,0.52,250,43.46,3.6217,10.301651,0.000235,0.00085
42,44.5,0.57,300,43.36,3.6133,10.254298,0.000235,0.00085
42,44.5,0.63,350,43.24,3.6033,10.1976185,0.000236,0.00085
48,50.8,0.46,150,49.88,4.1567,13.5700135,0.000204,0.00085
48,50.8,0.52,200,49.76,4.1467,13.5047992,0.000205,0.00085
48,50.8,0.58,250,49.64,4.1367,13.4397421,0.000205,0.00085
48,50.8,0.64,300,49.52,4.1267,13.374842,0.000206,0.00085
48,50.8,0.7,350,49.4,4.1167,13.310099,0.000206,0.00085
54,57.56,0.51,150,56.54,4.7117,17.4356843,0.00018,0.00085
54,57.56,0.58,200,56.4,4.7,17.3494454,0.000181,0.00085
54,57.56,0.65,250,56.26,4.6883,17.2634203,0.000181,0.00085
54,57.56,0.72,300,56.12,4.6767,17.177609,0.000182,0.00085
54,57.56,0.79,350,55.98,4.665,17.0920115,0.000182,0.00085
60,61.61,0.54,150,60.53,5.0442,19.9833703,0.000169,0.00085
60,61.61,0.61,200,60.39,5.0325,19.8910381,0.000169,0.00085
60,61.61,0.68,250,60.25,5.0208,19.7989196,0.000169,0.00085
60,61.61,0.76,300,60.09,5.0075,19.6939031,0.00017,0.00085
60,61.61,0.83,350,59.95,4.9958,19.6022428,0.00017,0.00085
64,65.67,0.56,150,64.55,5.3792,22.7258367,0.000158,0.00085
64,65.67,0.64,200,64.39,5.3658,22.6133154,0.000158,0.00085
64,65.67,0.72,250,64.23,5.3525,22.5010732,0.000159,0.00085
64,65.67,0.8,300,64.07,5.3392,22.3891104,0.000159,0.00085
64,65.67,0.87,350,63.93,5.3275,22.2913719,0.00016,0.00085
