Nominal Size,"Outside Diameter, inches","Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
0.072,0.072,0.022,0.028,0.002333333,0.0000043,0.002142857,0.000005
0.072,0.072,0.023,0.026,0.002166667,0.0000037,0.002307692,0.000005
0.081,0.081,0.024,0.033,0.00275,0.0000059,0.001818182,0.000005
0.081,0.081,0.025,0.031,0.002583333,0.0000052,0.001935484,0.000005
0.087,0.087,0.024,0.039,0.00325,0.0000083,0.001538462,0.000005
0.087,0.087,0.0255,0.036,0.003,0.0000071,0.001666667,0.000005
0.093,0.093,0.0255,0.042,0.0035,0.0000096,0.001428571,0.000005
0.097,0.097,0.025,0.046,0.003833333,0.0000115,0.001304348,0.000005
0.099,0.099,0.025,0.049,0.004083333,0.0000131,0.00122449,0.000005
0.106,0.106,0.026,0.054,0.0045,0.0000159,0.001111111,0.000005
0.112,0.112,0.0265,0.059,0.004916667,0.000019,0.001016949,0.000005
0.125,0.125,0.025,0.075,0.00625,0.0000307,0.0008,0.000005
0.125,0.125,0.0275,0.07,0.005833333,0.0000267,0.000857143,0.000005
0.125,0.125,0.0305,0.064,0.005333333,0.0000223,0.0009375,0.000005
0.145,0.145,0.0275,0.09,0.0075,0.0000442,0.000666667,0.000005
0.145,0.145,0.03,0.085,0.007083333,0.0000394,0.000705882,0.000005
0.145,0.145,0.0325,0.08,0.006666667,0.0000349,0.00075,0.000005
0.16,0.16,0.025,0.11,0.009166667,0.000066,0.000545455,0.000005
0.16,0.16,0.03,0.1,0.008333333,0.0000545,0.0006,0.000005
0.188,0.188,0.029,0.13,0.010833333,0.0000922,0.000461538,0.000005
0.188,0.188,0.034,0.12,0.01,0.0000785,0.0005,0.000005
0.2,0.2,0.0275,0.145,0.012083333,0.0001147,0.000413793,0.000005
0.22,0.22,0.03,0.16,0.013333333,0.0001396,0.000375,0.000005
0.24,0.24,0.0325,0.175,0.014583333,0.000167,0.000342857,0.000005
