Nominal Size,"Outside Diameter, inches",Average Outside Diameter Tolerance in.,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
0.25,0.375,0.002,0.030,0.315,0.02625,0.0005412,0.000190476,0.000005
0.25,0.375,0.001,0.030,0.315,0.02625,0.0005412,0.000190476,0.000005
0.25,0.375,0.002,0.035,0.305,0.025416667,0.0005074,0.000196721,0.000005
0.25,0.375,0.001,0.035,0.305,0.025416667,0.0005074,0.000196721,0.000005
0.25,0.375,0.001,c,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000005
0.375,0.5,0.0025,0.025,0.450,0.0375,0.0011045,0.000133333,0.000005
0.375,0.5,0.001,0.025,0.450,0.0375,0.0011045,0.000133333,0.000005
0.375,0.5,0.0025,0.035,0.430,0.035833333,0.0010085,0.000139535,0.000005
0.375,0.5,0.001,0.035,0.430,0.035833333,0.0010085,0.000139535,0.000005
0.375,0.5,0.0025,0.049,0.402,0.0335,0.0008814,0.000149254,0.000005
0.375,0.5,0.001,0.049,0.402,0.0335,0.0008814,0.000149254,0.000005
0.5,0.625,0.0025,0.028,0.569,0.047416667,0.0017658,0.000105448,0.000005
0.5,0.625,0.001,0.028,0.569,0.047416667,0.0017658,0.000105448,0.000005
0.5,0.625,0.0025,0.040,0.545,0.045416667,0.0016200,0.000110092,0.000005
0.5,0.625,0.001,0.040,0.545,0.045416667,0.0016200,0.000110092,0.000005
0.5,0.625,0.0025,0.049,0.527,0.043916667,0.0015148,0.000113852,0.000005
0.5,0.625,0.001,0.049,0.527,0.043916667,0.0015148,0.000113852,0.000005
0.625,0.75,0.0025,0.042,0.666,0.0555,0.0024192,9.00901E-05,0.000005
0.625,0.75,0.001,0.042,0.666,0.0555,0.0024192,9.00901E-05,0.000005
0.625,0.75,0.0025,0.049,0.652,0.054333333,0.0023186,9.20245E-05,0.000005
0.625,0.75,0.001,0.049,0.652,0.054333333,0.0023186,9.20245E-05,0.000005
0.625,0.75,0.001,c,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000005
0.75,0.875,0.003,0.032,0.811,0.067583333,0.0035873,7.39827E-05,0.000005
0.75,0.875,0.001,0.032,0.811,0.067583333,0.0035873,7.39827E-05,0.000005
0.75,0.875,0.003,0.045,0.785,0.065416667,0.0033610,7.64331E-05,0.000005
0.75,0.875,0.001,0.045,0.785,0.065416667,0.0033610,7.64331E-05,0.000005
0.75,0.875,0.003,0.065,0.745,0.062083333,0.0030272,8.05369E-05,0.000005
0.75,0.875,0.001,0.065,0.745,0.062083333,0.0030272,8.05369E-05,0.000005
1,1.125,0.0035,0.035,1.055,0.087916667,0.0060706,5.6872E-05,0.000005
1,1.125,0.0015,0.035,1.055,0.087916667,0.0060706,5.6872E-05,0.000005
1,1.125,0.0035,0.050,1.025,0.085416667,0.0057303,5.85366E-05,0.000005
1,1.125,0.0015,0.050,1.025,0.085416667,0.0057303,5.85366E-05,0.000005
1,1.125,0.0035,0.065,0.995,0.082916667,0.0053997,6.03015E-05,0.000005
1,1.125,0.0015,0.065,0.995,0.082916667,0.0053997,6.03015E-05,0.000005
1.25,1.375,0.004,0.042,1.291,0.107583333,0.0090903,4.64756E-05,0.000005
1.25,1.375,0.0015,0.042,1.291,0.107583333,0.0090903,4.64756E-05,0.000005
1.25,1.375,0.004,0.050,1.275,0.10625,0.0088664,4.70588E-05,0.000005
1.25,1.375,0.0015,0.055,1.265,0.105416667,0.0087279,4.74308E-05,0.000005
1.25,1.375,0.004,0.065,1.245,0.10375,0.0084541,4.81928E-05,0.000005
1.25,1.375,0.0015,0.065,1.245,0.10375,0.0084541,4.81928E-05,0.000005
1.5,1.625,0.0045,0.049,1.527,0.12725,0.0127176,3.92927E-05,0.000005
1.5,1.625,0.002,0.049,1.527,0.12725,0.0127176,3.92927E-05,0.000005
1.5,1.625,0.0045,0.060,1.505,0.125416667,0.0123538,3.98671E-05,0.000005
1.5,1.625,0.002,0.060,1.505,0.125416667,0.0123538,3.98671E-05,0.000005
1.5,1.625,0.0045,0.072,1.481,0.123416667,0.0119629,4.05132E-05,0.000005
1.5,1.625,0.002,0.072,1.481,0.123416667,0.0119629,4.05132E-05,0.000005
2,2.125,0.005,0.058,2.009,0.167416667,0.0220134,2.98656E-05,0.000005
2,2.125,0.002,0.058,2.009,0.167416667,0.0220134,2.98656E-05,0.000005
2,2.125,0.005,0.070,1.985,0.165416667,0.0214906,3.02267E-05,0.000005
2,2.125,0.002,0.070,1.985,0.165416667,0.0214906,3.02267E-05,0.000005
2,2.125,0.005,0.083,1.959,0.16325,0.0209313,3.06279E-05,0.000005
2,2.125,0.002,0.083,1.959,0.16325,0.0209313,3.06279E-05,0.000005
2.5,2.625,0.005,0.065,2.495,0.207916667,0.0339522,2.40481E-05,0.000005
2.5,2.625,0.002,0.065,2.495,0.207916667,0.0339522,2.40481E-05,0.000005
2.5,2.625,0.005,0.080,2.465,0.205416667,0.0331407,2.43408E-05,0.000005
2.5,2.625,0.002,0.080,2.465,0.205416667,0.0331407,2.43408E-05,0.000005
2.5,2.625,0.005,0.095,2.435,0.202916667,0.0323389,2.46407E-05,0.000005
2.5,2.625,0.002,0.095,2.435,0.202916667,0.0323389,2.46407E-05,0.000005
3,3.125,0.005,0.072,2.981,0.248416667,0.0484676,2.01275E-05,0.000005
3,3.125,0.002,0.072,2.981,0.248416667,0.0484676,2.01275E-05,0.000005
3,3.125,0.005,0.090,2.945,0.245416667,0.0473040,2.03735E-05,0.000005
3,3.125,0.002,0.090,2.945,0.245416667,0.0473040,2.03735E-05,0.000005
3,3.125,0.005,0.109,2.907,0.24225,0.0460911,2.06398E-05,0.000005
3,3.125,0.002,0.109,2.907,0.24225,0.0460911,2.06398E-05,0.000005
3.5,6.625,0.005,0.083,6.459,0.53825,0.2275401,9.28936E-06,0.000005
3.5,6.625,0.002,0.083,6.459,0.53825,0.2275401,9.28936E-06,0.000005
3.5,6.625,0.005,0.100,6.425,0.535416667,0.2251509,9.33852E-06,0.000005
3.5,6.625,0.002,0.100,6.425,0.535416667,0.2251509,9.33852E-06,0.000005
3.5,6.625,0.005,0.12,6.385,0.532083333,0.2223562,9.39702E-06,0.000005
3.5,6.625,0.002,0.120,6.385,0.532083333,0.2223562,9.39702E-06,0.000005
4,4.125,0.005,0.095,3.935,0.327916667,0.0844533,1.52478E-05,0.000005
4,4.125,0.002,0.095,3.935,0.327916667,0.0844533,1.52478E-05,0.000005
4,4.125,0.005,0.110,3.905,0.325416667,0.0831705,1.53649E-05,0.000005
4,4.125,0.002,0.110,3.905,0.325416667,0.0831705,1.53649E-05,0.000005
4,4.125,0.005,0.134,3.857,0.321416667,0.0811384,1.55561E-05,0.000005
4,4.125,0.002,0.134,3.857,0.321416667,0.0811384,1.55561E-05,0.000005
5,5.125,0.005,0.109,4.907,0.408916667,0.1313287,1.22274E-05,0.000005
5,5.125,0.002,0.109,4.907,0.408916667,0.1313287,1.22274E-05,0.000005
5,5.125,0.005,0.125,4.875,0.40625,0.1296214,1.23077E-05,0.000005
5,5.125,0.002,0.125,4.875,0.40625,0.1296214,1.23077E-05,0.000005
5,5.125,0.005,0.16,4.805,0.400416667,0.1259256,1.2487E-05,0.000005
5,5.125,0.002,0.160,4.805,0.400416667,0.1259256,1.2487E-05,0.000005
6,6.125,0.005,0.122,5.881,0.490083333,0.1886382,1.02023E-05,0.000005
6,6.125,0.002,0.122,5.881,0.490083333,0.1886382,1.02023E-05,0.000005
6,6.125,0.005,0.140,5.845,0.487083333,0.1863359,1.02652E-05,0.000005
6,6.125,0.002,0.140,5.845,0.487083333,0.1863359,1.02652E-05,0.000005
6,6.125,0.005,0.192,5.741,0.478416667,0.1797639,1.04511E-05,0.000005
6,6.125,0.002,0.192,5.741,0.478416667,0.1797639,1.04511E-05,0.000005
8,8.125,0.006,0.17,7.785,0.64875,0.3305557,7.70713E-06,0.000005
8,8.125,+0.002 / -0.004,0.17,7.785,0.64875,0.3305557,7.70713E-06,0.000005
8,8.125,0.006,0.200,7.725,0.64375,0.3254800,7.76699E-06,0.000005
8,8.125,+0.002 / -0.004,0.200,7.725,0.64375,0.3254800,7.76699E-06,0.000005
8,8.125,0.006,0.271,7.583,0.631916667,0.3136242,7.91244E-06,0.000005
8,8.125,+0.002 / -0.004,0.271,7.583,0.631916667,0.3136242,7.91244E-06,0.000005
