Nominal Size,DN,Nominal Outside dia [in],"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom",Internal Diameter in. Nom,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)"
0.125,,0.405,,40,0.068,0.269,0.0224,0.00039,0.000303,0.000007
0.125,,0.405,,80,0.095,0.215,0.0179,0.00025,0.00038,0.000007
0.25,,0.54,,40,0.088,0.364,0.0303,0.00072,0.000224,0.000007
0.25,,0.54,,80,0.119,0.302,0.0252,0.0005,0.00027,0.000007
0.375,,0.675,,40,0.091,0.493,0.0411,0.00133,0.000166,0.000007
0.375,,0.675,,80,0.126,0.423,0.0353,0.00098,0.000193,0.000007
0.5,,0.84,,5,0.065,0.71,0.0592,0.00275,0.000115,0.000007
0.5,,0.84,,10,0.083,0.674,0.0562,0.00248,0.000121,0.000007
0.5,,0.84,,40,0.109,0.622,0.0518,0.00211,0.000131,0.000007
0.5,,0.84,,80,0.147,0.546,0.0455,0.00163,0.000149,0.000007
0.5,,0.84,,160,0.188,0.464,0.0387,0.00117,0.000176,0.000007
0.75,,1.05,,5,0.065,0.92,0.0767,0.00462,0.000089,0.000007
0.75,,1.05,,10,0.083,0.884,0.0737,0.00426,0.000092,0.000007
0.75,,1.05,,40,0.113,0.824,0.0687,0.0037,0.000099,0.000007
0.75,,1.05,,80,0.154,0.742,0.0618,0.003,0.00011,0.000007
0.75,,1.05,,160,0.219,0.612,0.051,0.00204,0.000133,0.000007
1,,1.315,,5,0.065,1.185,0.0988,0.00766,0.000069,0.000007
1,,1.315,,10,0.109,1.097,0.0914,0.00656,0.000074,0.000007
1,,1.315,,40,0.133,1.049,0.0874,0.006,0.000078,0.000007
1,,1.315,,80,0.179,0.957,0.0798,0.005,0.000085,0.000007
1,,1.315,,160,0.25,0.815,0.0679,0.00362,0.0001,0.000007
1.25,,1.66,,5,0.065,1.53,0.1275,0.01277,0.000053,0.000007
1.25,,1.66,,10,0.109,1.442,0.1202,0.01134,0.000057,0.000007
1.25,,1.66,,40,0.14,1.38,0.115,0.01039,0.000059,0.000007
1.25,,1.66,,80,0.191,1.278,0.1065,0.00891,0.000064,0.000007
1.25,,1.66,,160,0.25,1.16,0.0967,0.00734,0.00007,0.000007
1.5,,1.9,,5,0.065,1.77,0.1475,0.01709,0.000046,0.000007
1.5,,1.9,,10,0.109,1.682,0.1402,0.01543,0.000049,0.000007
1.5,,1.9,,40,0.145,1.61,0.1342,0.01414,0.000051,0.000007
1.5,,1.9,,80,0.2,1.5,0.125,0.01227,0.000054,0.000007
1.5,,1.9,,160,0.281,1.338,0.1115,0.00976,0.000061,0.000007
2,,2.375,,5,0.065,2.245,0.1871,0.02749,0.000036,0.000007
2,,2.375,,10,0.109,2.157,0.1798,0.02538,0.000038,0.000007
2,,2.375,,40,0.154,2.067,0.1723,0.0233,0.000039,0.000007
2,,2.375,,80,0.218,1.939,0.1616,0.02051,0.000042,0.000007
2,,2.375,,160,0.344,1.687,0.1406,0.01552,0.000048,0.000007
