Nominal Size,Nominal Outside dia [in],"Wall Thickness
in. Nom",Internal Diameter in. Nom,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)"
0.072,0.072,0.023,0.026,0.002166667,3.68701E-06,0.923076923,0.002
0.072,0.072,0.022,0.028,0.002333333,4.27606E-06,0.857142857,0.002
0.081,0.081,0.025,0.031,0.002583333,5.24144E-06,0.774193548,0.002
0.081,0.081,0.024,0.033,0.00275,5.93957E-06,0.727272727,0.002
0.087,0.087,0.0255,0.036,0.003,7.06858E-06,0.666666667,0.002
0.087,0.087,0.024,0.039,0.00325,8.29577E-06,0.615384615,0.002
0.093,0.093,0.0255,0.042,0.0035,9.62113E-06,0.571428571,0.002
0.097,0.097,0.025,0.046,0.003833333,1.1541E-05,0.52173913,0.002
0.099,0.099,0.025,0.049,0.004083333,1.30954E-05,0.489795918,0.002
0.106,0.106,0.026,0.054,0.0045,1.59043E-05,0.444444444,0.002
0.112,0.112,0.0265,0.059,0.004916667,1.89859E-05,0.406779661,0.002
0.125,0.125,0.0305,0.064,0.005333333,2.23402E-05,0.375,0.002
0.125,0.125,0.0275,0.07,0.005833333,2.67254E-05,0.342857143,0.002
0.125,0.125,0.025,0.075,0.00625,3.06796E-05,0.32,0.002
0.145,0.145,0.0325,0.08,0.006666667,3.49066E-05,0.3,0.002
0.145,0.145,0.03,0.085,0.007083333,3.94063E-05,0.282352941,0.002
0.145,0.145,0.0275,0.09,0.0075,4.41786E-05,0.266666667,0.002
0.16,0.16,0.03,0.1,0.008333333,5.45415E-05,0.24,0.002
0.16,0.16,0.025,0.11,0.009166667,6.59953E-05,0.218181818,0.002
0.188,0.188,0.034,0.12,0.01,7.85398E-05,0.2,0.002
0.188,0.188,0.029,0.13,0.010833333,9.21752E-05,0.184615385,0.002
0.2,0.2,0.0275,0.145,0.012083333,0.000114674,0.165517241,0.002
0.22,0.22,0.03,0.16,0.013333333,0.000139626,0.15,0.002
0.24,0.24,0.0325,0.175,0.014583333,0.000167033,0.137142857,0.002
