Nominal Size,"Outside Diameter, inches",Average Outside Diameter Tolerance in.,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
0.25,0.375,0.002,0.035,0.305,0.025416667,0.0005074,0.000196721,0.000005
0.25,0.375,0.001,0.035,0.305,0.025416667,0.0005074,0.000196721,0.000005
0.25,0.375,0.002,0.03,0.315,0.02625,0.0005412,0.000190476,0.000005
0.25,0.375,0.001,0.03,0.315,0.02625,0.0005412,0.000190476,0.000005
0.25,0.375,0.001,c,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000005
0.375,0.5,0.0025,0.049,0.402,0.0335,0.0008814,0.000149254,0.000005
0.375,0.5,0.001,0.049,0.402,0.0335,0.0008814,0.000149254,0.000005
0.375,0.5,0.0025,0.035,0.43,0.035833333,0.0010085,0.000139535,0.000005
0.375,0.5,0.001,0.035,0.43,0.035833333,0.0010085,0.000139535,0.000005
0.375,0.5,0.0025,0.025,0.45,0.0375,0.0011045,0.000133333,0.000005
0.375,0.5,0.001,0.025,0.45,0.0375,0.0011045,0.000133333,0.000005
0.5,0.625,0.0025,0.049,0.527,0.043916667,0.0015148,0.000113852,0.000005
0.5,0.625,0.001,0.049,0.527,0.043916667,0.0015148,0.000113852,0.000005
0.5,0.625,0.0025,0.04,0.545,0.045416667,0.00162,0.000110092,0.000005
0.5,0.625,0.001,0.04,0.545,0.045416667,0.00162,0.000110092,0.000005
0.5,0.625,0.0025,0.028,0.569,0.047416667,0.0017658,0.000105448,0.000005
0.5,0.625,0.001,0.028,0.569,0.047416667,0.0017658,0.000105448,0.000005
0.625,0.75,0.0025,0.049,0.652,0.054333333,0.0023186,9.20E-05,0.000005
0.625,0.75,0.001,0.049,0.652,0.054333333,0.0023186,9.20E-05,0.000005
0.625,0.75,0.0025,0.042,0.666,0.0555,0.0024192,9.01E-05,0.000005
0.625,0.75,0.001,0.042,0.666,0.0555,0.0024192,9.01E-05,0.000005
0.625,0.75,0.001,c,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.000005
0.75,0.875,0.003,0.065,0.745,0.062083333,0.0030272,8.05E-05,0.000005
0.75,0.875,0.001,0.065,0.745,0.062083333,0.0030272,8.05E-05,0.000005
0.75,0.875,0.003,0.045,0.785,0.065416667,0.003361,7.64E-05,0.000005
0.75,0.875,0.001,0.045,0.785,0.065416667,0.003361,7.64E-05,0.000005
0.75,0.875,0.003,0.032,0.811,0.067583333,0.0035873,7.40E-05,0.000005
0.75,0.875,0.001,0.032,0.811,0.067583333,0.0035873,7.40E-05,0.000005
1,1.125,0.0035,0.065,0.995,0.082916667,0.0053997,6.03E-05,0.000005
1,1.125,0.0015,0.065,0.995,0.082916667,0.0053997,6.03E-05,0.000005
1,1.125,0.0035,0.05,1.025,0.085416667,0.0057303,5.85E-05,0.000005
1,1.125,0.0015,0.05,1.025,0.085416667,0.0057303,5.85E-05,0.000005
1,1.125,0.0035,0.035,1.055,0.087916667,0.0060706,5.69E-05,0.000005
1,1.125,0.0015,0.035,1.055,0.087916667,0.0060706,5.69E-05,0.000005
1.25,1.375,0.004,0.065,1.245,0.10375,0.0084541,4.82E-05,0.000005
1.25,1.375,0.0015,0.065,1.245,0.10375,0.0084541,4.82E-05,0.000005
1.25,1.375,0.004,0.05,1.275,0.10625,0.0088664,4.71E-05,0.000005
1.25,1.375,0.0015,0.055,1.265,0.105416667,0.0087279,4.74E-05,0.000005
1.25,1.375,0.004,0.042,1.291,0.107583333,0.0090903,4.65E-05,0.000005
1.25,1.375,0.0015,0.042,1.291,0.107583333,0.0090903,4.65E-05,0.000005
1.5,1.625,0.0045,0.072,1.481,0.123416667,0.0119629,4.05E-05,0.000005
1.5,1.625,0.002,0.072,1.481,0.123416667,0.0119629,4.05E-05,0.000005
1.5,1.625,0.0045,0.06,1.505,0.125416667,0.0123538,3.99E-05,0.000005
1.5,1.625,0.002,0.06,1.505,0.125416667,0.0123538,3.99E-05,0.000005
1.5,1.625,0.0045,0.049,1.527,0.12725,0.0127176,3.93E-05,0.000005
1.5,1.625,0.002,0.049,1.527,0.12725,0.0127176,3.93E-05,0.000005
2,2.125,0.005,0.083,1.959,0.16325,0.0209313,3.06E-05,0.000005
2,2.125,0.002,0.083,1.959,0.16325,0.0209313,3.06E-05,0.000005
2,2.125,0.005,0.07,1.985,0.165416667,0.0214906,3.02E-05,0.000005
2,2.125,0.002,0.07,1.985,0.165416667,0.0214906,3.02E-05,0.000005
2,2.125,0.005,0.058,2.009,0.167416667,0.0220134,2.99E-05,0.000005
2,2.125,0.002,0.058,2.009,0.167416667,0.0220134,2.99E-05,0.000005
2.5,2.625,0.005,0.095,2.435,0.202916667,0.0323389,2.46E-05,0.000005
2.5,2.625,0.002,0.095,2.435,0.202916667,0.0323389,2.46E-05,0.000005
2.5,2.625,0.005,0.08,2.465,0.205416667,0.0331407,2.43E-05,0.000005
2.5,2.625,0.002,0.08,2.465,0.205416667,0.0331407,2.43E-05,0.000005
2.5,2.625,0.005,0.065,2.495,0.207916667,0.0339522,2.40E-05,0.000005
2.5,2.625,0.002,0.065,2.495,0.207916667,0.0339522,2.40E-05,0.000005
3,3.125,0.005,0.109,2.907,0.24225,0.0460911,2.06E-05,0.000005
3,3.125,0.002,0.109,2.907,0.24225,0.0460911,2.06E-05,0.000005
3,3.125,0.005,0.09,2.945,0.245416667,0.047304,2.04E-05,0.000005
3,3.125,0.002,0.09,2.945,0.245416667,0.047304,2.04E-05,0.000005
3,3.125,0.005,0.072,2.981,0.248416667,0.0484676,2.01E-05,0.000005
3,3.125,0.002,0.072,2.981,0.248416667,0.0484676,2.01E-05,0.000005
3.5,6.625,0.005,0.12,6.385,0.532083333,0.2223562,9.40E-06,0.000005
3.5,6.625,0.002,0.12,6.385,0.532083333,0.2223562,9.40E-06,0.000005
3.5,6.625,0.005,0.1,6.425,0.535416667,0.2251509,9.34E-06,0.000005
3.5,6.625,0.002,0.1,6.425,0.535416667,0.2251509,9.34E-06,0.000005
3.5,6.625,0.005,0.083,6.459,0.53825,0.2275401,9.29E-06,0.000005
3.5,6.625,0.002,0.083,6.459,0.53825,0.2275401,9.29E-06,0.000005
4,4.125,0.005,0.134,3.857,0.321416667,0.0811384,1.56E-05,0.000005
4,4.125,0.002,0.134,3.857,0.321416667,0.0811384,1.56E-05,0.000005
4,4.125,0.005,0.11,3.905,0.325416667,0.0831705,1.54E-05,0.000005
4,4.125,0.002,0.11,3.905,0.325416667,0.0831705,1.54E-05,0.000005
4,4.125,0.005,0.095,3.935,0.327916667,0.0844533,1.52E-05,0.000005
4,4.125,0.002,0.095,3.935,0.327916667,0.0844533,1.52E-05,0.000005
5,5.125,0.005,0.16,4.805,0.400416667,0.1259256,1.25E-05,0.000005
5,5.125,0.002,0.16,4.805,0.400416667,0.1259256,1.25E-05,0.000005
5,5.125,0.005,0.125,4.875,0.40625,0.1296214,1.23E-05,0.000005
5,5.125,0.002,0.125,4.875,0.40625,0.1296214,1.23E-05,0.000005
5,5.125,0.005,0.109,4.907,0.408916667,0.1313287,1.22E-05,0.000005
5,5.125,0.002,0.109,4.907,0.408916667,0.1313287,1.22E-05,0.000005
6,6.125,0.005,0.192,5.741,0.478416667,0.1797639,1.05E-05,0.000005
6,6.125,0.002,0.192,5.741,0.478416667,0.1797639,1.05E-05,0.000005
6,6.125,0.005,0.14,5.845,0.487083333,0.1863359,1.03E-05,0.000005
6,6.125,0.002,0.14,5.845,0.487083333,0.1863359,1.03E-05,0.000005
6,6.125,0.005,0.122,5.881,0.490083333,0.1886382,1.02E-05,0.000005
6,6.125,0.002,0.122,5.881,0.490083333,0.1886382,1.02E-05,0.000005
8,8.125,0.006,0.271,7.583,0.631916667,0.3136242,7.91E-06,0.000005
8,8.125,-0.5,0.271,7.583,0.631916667,0.3136242,7.91E-06,0.000005
8,8.125,0.006,0.2,7.725,0.64375,0.32548,7.77E-06,0.000005
8,8.125,-0.5,0.2,7.725,0.64375,0.32548,7.77E-06,0.000005
8,8.125,0.006,0.17,7.785,0.64875,0.3305557,7.71E-06,0.000005
8,8.125,-0.5,0.17,7.785,0.64875,0.3305557,7.71E-06,0.000005
10,10.125,0.008,0.338,9.449,0.787416667,0.4869665,6.35E-06,0.000005
10,10.125,-0.4,0.338,9.449,0.787416667,0.4869665,6.35E-06,0.000005
10,10.125,0.008,0.25,9.625,0.802083333,0.5052762,6.23E-06,0.000005
10,10.125,-0.333333333,0.25,9.625,0.802083333,0.5052762,6.23E-06,0.000005
10,10.125,0.008,0.212,9.701,0.808416667,0.5132872,6.18E-06,0.000005
10,10.125,-0.333333333,0.212,9.701,0.808416667,0.5132872,6.18E-06,0.000005
12,12.125,0.008,0.405,11.315,0.942916667,0.6982911,5.30E-06,0.000005
12,12.125,-0.333333333,0.405,11.315,0.942916667,0.6982911,5.30E-06,0.000005
12,12.125,0.008,0.28,11.565,0.96375,0.7294889,5.19E-06,0.000005
