Nominal Size,Nominal Outside dia [in],"Wall Thickness
in. Nom",THICKNESS/ PRESSURE CLASS,Internal Diameter in. Nom,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)"
0.125,0.405,0.058,Special 1,0.289,0.024083333,0.000455536,0.083044983,0.002
0.125,0.405,0.062,Regular,0.281,0.023416667,0.000430665,0.085409253,0.002
0.125,0.405,0.1,Extra Strong,0.205,0.017083333,0.000229211,0.117073171,0.002
0.25,0.54,0.065,Special 1,0.41,0.034166667,0.000916843,0.058536585,0.002
0.25,0.54,0.072,Special 2,0.396,0.033,0.000855299,0.060606061,0.002
0.25,0.54,0.082,Regular,0.376,0.031333333,0.000771086,0.063829787,0.002
0.25,0.54,0.123,Extra Strong,0.294,0.0245,0.000471435,0.081632653,0.002
0.375,0.675,0.065,Special 1,0.545,0.045416667,0.00162002,0.044036697,0.002
0.375,0.675,0.072,Special 2,0.531,0.04425,0.001537859,0.04519774,0.002
0.375,0.675,0.095,Special 3,0.485,0.040416667,0.001282953,0.049484536,0.002
0.375,0.675,0.148,Special 4,0.379,0.031583333,0.00078344,0.063324538,0.002
0.375,0.675,0.09,Regular,0.495,0.04125,0.001336404,0.048484848,0.002
0.375,0.675,0.127,Extra Strong,0.421,0.035083333,0.0009667,0.057007126,0.002
0.5,0.84,0.065,Special 1,0.71,0.059166667,0.002749439,0.033802817,0.002
0.5,0.84,0.072,Special 2,0.696,0.058,0.002642079,0.034482759,0.002
0.5,0.84,0.12,Special 3,0.6,0.05,0.001963495,0.04,0.002
0.5,0.84,0.203,Special 4,0.434,0.036166667,0.001027323,0.055299539,0.002
0.5,0.84,0.107,Regular,0.626,0.052166667,0.002137352,0.038338658,0.002
0.5,0.84,0.149,Extra Strong,0.542,0.045166667,0.001602234,0.044280443,0.002
0.75,1.05,0.065,Special 1,0.92,0.076666667,0.004616396,0.026086957,0.002
0.75,1.05,0.083,Special 2,0.884,0.073666667,0.004262181,0.027149321,0.002
0.75,1.05,0.148,Special 3,0.754,0.062833333,0.003100774,0.031830239,0.002
0.75,1.05,0.238,Special 4,0.574,0.047833333,0.001797013,0.041811847,0.002
0.75,1.05,0.114,Regular,0.822,0.0685,0.003685285,0.02919708,0.002
0.75,1.05,0.157,Extra Strong,0.736,0.061333333,0.002954493,0.032608696,0.002
1,1.315,0.065,Special 1,1.185,0.09875,0.007658859,0.020253165,0.002
1,1.315,0.095,Special 2,1.125,0.09375,0.006902914,0.021333333,0.002
1,1.315,0.203,Special 3,0.909,0.07575,0.004506664,0.02640264,0.002
1,1.315,0.34,Special 4,0.635,0.052916667,0.002199251,0.037795276,0.002
1,1.315,0.126,Regular,1.063,0.088583333,0.006163025,0.022577611,0.002
1,1.315,0.182,Extra Strong,0.951,0.07925,0.004932742,0.025236593,0.002
1.125,1.66,0.072,Special 1,1.516,0.126333333,0.012535042,0.015831135,0.002
1.125,1.66,0.095,Special 2,1.47,0.1225,0.011785881,0.016326531,0.002
1.125,1.66,0.12,Special 3,1.42,0.118333333,0.010997756,0.016901408,0.002
1.125,1.66,0.22,Special 4,1.22,0.101666667,0.008117963,0.019672131,0.002
1.125,1.66,0.38,Special 5,0.9,0.075,0.004417865,0.026666667,0.002
1.125,1.66,0.146,Regular,1.368,0.114,0.010207035,0.01754386,0.002
1.125,1.66,0.194,Extra Strong,1.272,0.106,0.008824734,0.018867925,0.002
1.5,1.9,0.072,Special 1,1.756,0.146333333,0.01681808,0.013667426,0.002
1.5,1.9,0.109,Special 2,1.682,0.140166667,0.015430478,0.014268728,0.002
1.5,1.9,0.134,Special 3,1.632,0.136,0.014526724,0.014705882,0.002
1.5,1.9,0.25,Special 4,1.4,0.116666667,0.010690142,0.017142857,0.002
1.5,1.9,0.425,Special 5,1.05,0.0875,0.006013205,0.022857143,0.002
1.5,1.9,0.15,Regular,1.6,0.133333333,0.013962634,0.015,0.002
1.5,1.9,0.203,Extra Strong,1.494,0.1245,0.012173868,0.016064257,0.002
2,2.375,0.083,Special 1,2.209,0.184083333,0.026614531,0.010864645,0.002
2,2.375,0.12,Special 2,2.135,0.177916667,0.024861261,0.011241218,0.002
2,2.375,0.165,Special 3,2.045,0.170416667,0.022809408,0.011735941,0.002
2,2.375,0.34,Special 4,1.695,0.14125,0.015669921,0.014159292,0.002
2,2.375,0.52,Special 5,1.335,0.11125,0.009720529,0.017977528,0.002
2,2.375,0.156,Regular,2.063,0.171916667,0.02321271,0.011633543,0.002
2,2.375,0.221,Extra Strong,1.933,0.161083333,0.020379386,0.012415934,0.002
2.5,2.875,0.083,Special 1,2.709,0.22575,0.040026296,0.008859358,0.002
2.5,2.875,0.134,Special 2,2.607,0.21725,0.037068879,0.009205984,0.002
2.5,2.875,0.203,Special 3,2.469,0.20575,0.03324831,0.009720535,0.002
2.5,2.875,0.38,Special 4,2.115,0.17625,0.024397658,0.011347518,0.002
2.5,2.875,0.187,Regular,2.501,0.208416667,0.034115738,0.009596162,0.002
2.5,2.875,0.28,Extra Strong,2.315,0.192916667,0.029230038,0.010367171,0.002
3,3.5,0.095,Special 1,3.31,0.275833333,0.059756256,0.007250755,0.002
3,3.5,0.165,Special 2,3.17,0.264166667,0.054808247,0.007570978,0.002
3,3.5,0.25,Special 3,3,0.25,0.049087385,0.008,0.002
3,3.5,0.458,Special 4,2.584,0.215333333,0.036417691,0.009287926,0.002
3,3.5,0.219,Regular,3.062,0.255166667,0.051137296,0.007838014,0.002
3,3.5,0.304,Extra Strong,2.892,0.241,0.045616711,0.008298755,0.002
3.5,4,0.095,Special 1,3.81,0.3175,0.079173044,0.006299213,0.002
3.5,4,0.18,Special 2,3.64,0.303333333,0.072265358,0.006593407,0.002
3.5,4,0.284,Special 3,3.432,0.286,0.064242428,0.006993007,0.002
3.5,4,0.25,Regular,3.5,0.291666667,0.066813385,0.006857143,0.002
3.5,4,0.321,Extra Strong,3.358,0.279833333,0.061501934,0.007147111,0.002
4,4.5,0.109,Special 1,4.282,0.356833333,0.10000477,0.005604858,0.002
4,4.5,0.203,Special 2,4.094,0.341166667,0.091416179,0.005862237,0.002
4,4.5,0.34,Special 3,3.82,0.318333333,0.079589196,0.006282723,0.002
4,4.5,0.25,Regular,4,0.333333333,0.087266463,0.006,0.002
4,4.5,0.341,Extra Strong,3.818,0.318166667,0.079505878,0.006286014,0.002
5,5.562,0.125,Special 1,5.312,0.442666667,0.153901737,0.004518072,0.002
5,5.562,0.22,Special 2,5.122,0.426833333,0.143089095,0.00468567,0.002
5,5.562,0.425,Special 3,4.712,0.392666667,0.121098274,0.005093379,0.002
5,5.562,0.25,Regular,5.062,0.421833333,0.139756389,0.004741209,0.002
5,5.562,0.375,Extra Strong,4.812,0.401,0.12629281,0.004987531,0.002
6,6.625,0.134,Special 1,6.357,0.52975,0.220410263,0.003775366,0.002
6,6.625,0.259,Special 2,6.107,0.508916667,0.203415119,0.003929916,0.002
6,6.625,0.457,Special 3,5.711,0.475916667,0.177890071,0.004202416,0.002
6,6.625,0.25,Regular,6.125,0.510416667,0.204615993,0.003918367,0.002
6,6.625,0.437,Extra Strong,5.751,0.47925,0.180390692,0.004173187,0.002
