Nominal Size,Nominal Outside dia [in],Average Outside Diameter Tolerance in.,"Wall Thickness
in. Nom",Wall Thickness Tolerance +/-,Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter (Expressed to the nearest 0.001 in. Neareast 0.01 mm.","Diameter Roundness Tolerances, (Expressed to the nearest 0.001 in. Nearest 0.01 mm.)","Plain-End Weight
lb/ft Nom",Form,Type
0.25,0.375,0.002,0.035,0.0035,0.305,0.073061664,0.025416667,0.000507373,0.078688525,0.002000,0.093333333,0.008,0.003,0.145,Annealed,K
0.375,0.5,0.0025,0.049,0.005,0.402,0.126923485,0.0335,0.000881413,0.059701493,0.002000,0.098,0.008,0.004,0.269,Annealed,K
0.5,0.625,0.0025,0.049,0.005,0.527,0.218127847,0.043916667,0.001514777,0.045540797,0.002000,0.0784,0.008,0.005,0.344,Annealed,K
0.625,0.75,0.0025,0.049,0.005,0.652,0.333875901,0.054333333,0.002318583,0.036809816,0.002000,0.065333333,0.008,0.006,0.418,Annealed,K
0.75,0.875,0.003,0.065,0.006,0.745,0.435915616,0.062083333,0.003027192,0.032214765,0.002000,0.074285714,0.008,0.007,0.641,Annealed,K
1,1.125,0.0035,0.065,0.006,0.995,0.777563817,0.082916667,0.005399749,0.024120603,0.002000,0.057777778,0.008,0.009,0.839,Annealed,K
1.25,1.375,0.004,0.065,0.006,1.245,1.217386788,0.10375,0.008454075,0.019277108,0.002000,0.047272727,0.01,0.01375,1.04,Annealed,K
1.5,1.625,0.0045,0.072,0.007,1.481,1.722661701,0.123416667,0.011962928,0.016205267,0.002000,0.044307692,0.01,0.01625,1.36,Annealed,K
2,2.125,0.005,0.083,0.008,1.959,3.014107609,0.16325,0.020931303,0.012251149,0.002000,0.039058824,0.01,0.02125,2.06,Annealed,K
2.5,2.625,0.005,0.095,0.01,2.435,4.656802425,0.202916667,0.032338906,0.009856263,0.002000,0.036190476,0.01,0.02625,2.93,Annealed,K
3,3.125,0.005,0.109,0.011,2.907,6.637124204,0.24225,0.04609114,0.008255934,0.002000,0.03488,0.01,0.03125,4,Annealed,K
3.5,6.625,0.005,0.12,0.012,6.385,32.01928904,0.532083333,0.222356174,0.00375881,0.002000,0.018113208,0.015,0.099375,5.12,Annealed,K
