Nominal Size,Nominal Outside dia [in],Outside Diameter (Min),Outside Diameter (Max),"Wall Thickness
in. Nom",Wall Thickness Tolerance +/-,Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,"e/D
Relative Roughness","e
Absolute Roughness (ft)","Plain-End Weight
lb/ft Nom"
0.125,0.405,0.401,0.405,0.100,0.006,0.205,0.0330,0.0171,0.00023,0.117073,0.002000,0.371000
0.25,0.540,0.536,0.54,0.123,0.007,0.294,0.0679,0.0245,0.00047,0.081633,0.002000,0.625000
0.375,0.675,0.670,0.675,0.127,0.007,0.421,0.1392,0.0351,0.00097,0.057007,0.002000,0.847000
0.5,0.840,0.835,0.84,0.149,0.008,0.542,0.2307,0.0452,0.00160,0.044280,0.002000,1.250000
0.75,1.050,1.044,1.05,0.157,0.009,0.736,0.4254,0.0613,0.00295,0.032609,0.002000,1.710000
1,1.315,1.309,1.315,0.182,0.01,0.951,0.7103,0.0793,0.00493,0.025237,0.002000,2.510000
1.25,1.660,1.654,1.66,0.194,0.01,1.272,1.2708,0.1060,0.00882,0.018868,0.002000,3.460000
1.5,1.900,1.894,1.9,0.203,0.011,1.494,1.7530,0.1245,0.01217,0.016064,0.002000,4.190000
2,2.375,2.367,2.375,0.221,0.012,1.933,2.9346,0.1611,0.02038,0.012416,0.002000,5.800000
2.5,2.875,2.867,2.875,0.280,0.015,2.315,4.2091,0.1929,0.02923,0.010367,0.002000,8.850000
3,3.500,3.490,3.5,0.304,0.016,2.892,6.5688,0.2410,0.04562,0.008299,0.002000,11.800000
3.5,4.000,3.990,4,0.321,0.017,3.358,8.8563,0.2798,0.06150,0.007147,0.002000,14.400000
4,4.500,4.488,4.5,0.341,0.018,3.818,11.4488,0.3182,0.07951,0.006286,0.002000,17.300000
5,5.562,5.548,5.562,0.375,0.019,4.812,18.1862,0.4010,0.12629,0.004988,0.002000,23.700000
6,6.625,6.609,6.625,0.437,0.027,5.751,25.9763,0.4793,0.18039,0.004173,0.002000,32.900000
8,8.625,8.605,8.625,0.500,0.035,7.625,45.6635,0.6354,0.31711,0.003148,0.002000,49.500000
10,10.750,10.728,10.75,0.500,0.04,9.750,74.6619,0.8125,0.51849,0.002462,0.002000,62.400000
12,12.750,12.726,12.75,-,-,Not an available size,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.002000,Not available in this size
