Nominal Size,"Outside Diameter, inches","Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet",STANDARD 1
0.125,0.405,0.062,0.281,0.0234,0.00043,0.085409,0.002,ASTM B42-20
0.25,0.54,0.082,0.376,0.0313,0.00077,0.06383,0.002,ASTM B42-20
0.375,0.675,0.09,0.495,0.0413,0.00134,0.048485,0.002,ASTM B42-20
0.5,0.84,0.107,0.626,0.0522,0.00214,0.038339,0.002,ASTM B42-20
0.75,1.05,0.114,0.822,0.0685,0.00369,0.029197,0.002,ASTM B42-20
1,1.315,0.126,1.063,0.0886,0.00616,0.022578,0.002,ASTM B42-20
1.25,1.66,0.146,1.368,0.114,0.01021,0.017544,0.002,ASTM B42-20
1.5,1.9,0.15,1.6,0.1333,0.01396,0.015,0.002,ASTM B42-20
2,2.375,0.156,2.063,0.1719,0.02321,0.011634,0.002,ASTM B42-20
2.5,2.875,0.187,2.501,0.2084,0.03412,0.009596,0.002,ASTM B42-20
3,3.5,0.219,3.062,0.2552,0.05114,0.007838,0.002,ASTM B42-20
3.5,4,0.25,3.5,0.2917,0.06681,0.006857,0.002,ASTM B42-20
4,4.5,0.25,4,0.3333,0.08727,0.006,0.002,ASTM B42-20
5,5.562,0.25,5.062,0.4218,0.13976,0.004741,0.002,ASTM B42-20
6,6.625,0.25,6.125,0.5104,0.20462,0.003918,0.002,ASTM B42-20
8,8.625,0.312,8.001,0.6668,0.34915,0.003,0.002,ASTM B42-20
10,10.75,0.365,10.02,0.835,0.5476,0.002395,0.002,ASTM B42-20
12,12.75,0.375,12,1,0.7854,0.002,0.002,ASTM B42-20
