Nominal Size,Nominal Size (DN),"Outside Diameter, inches",Identification,Pipe Schedule,"Wall Thickness, inches","Internal Diameter, inches","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
 1/8,6,0.405,,10,0.049,0.307,0.0256,0.00051,0.005863,0.00015
 1/8,6,0.405,,30,0.057,0.291,0.0243,0.00046,0.006186,0.00015
 1/8,6,0.405,STD,40,0.068,0.269,0.0224,0.00039,0.006691,0.00015
 1/8,6,0.405,XS,80,0.095,0.215,0.0179,0.00025,0.008372,0.00015
 1/8,6,0.405,,160,0.124,0.157,0.0131,0.00013,0.011465,0.00015
 1/8,6,0.405,XXS,,0.19,0.025,0.0021,0,0.072,0.00015
 1/4,8,0.54,,10,0.065,0.41,0.0342,0.00092,0.00439,0.00015
 1/4,8,0.54,,30,0.073,0.394,0.0328,0.00085,0.004569,0.00015
 1/4,8,0.54,STD,40,0.088,0.364,0.0303,0.00072,0.004945,0.00015
 1/4,8,0.54,XS,80,0.119,0.302,0.0252,0.0005,0.00596,0.00015
 3/8,10,0.675,,10,0.065,0.545,0.0454,0.00162,0.003303,0.00015
 3/8,10,0.675,STD,40,0.091,0.493,0.0411,0.00133,0.003651,0.00015
 3/8,10,0.675,XS,80,0.126,0.423,0.0353,0.00098,0.004255,0.00015
 1/2,15,0.84,,5,0.065,0.71,0.0592,0.00275,0.002535,0.00015
 1/2,15,0.84,,10,0.083,0.674,0.0562,0.00248,0.002671,0.00015
 1/2,15,0.84,,30,0.095,0.65,0.0542,0.0023,0.002769,0.00015
 1/2,15,0.84,STD,40,0.109,0.622,0.0518,0.00211,0.002894,0.00015
 1/2,15,0.84,XS,80,0.147,0.546,0.0455,0.00163,0.003297,0.00015
 1/2,15,0.84,,160,0.188,0.464,0.0387,0.00117,0.003879,0.00015
 1/2,15,0.84,XXS,,0.294,0.252,0.021,0.00035,0.007143,0.00015
 3/4,20,1.05,,5,0.065,0.92,0.0767,0.00462,0.001957,0.00015
 3/4,20,1.05,,10,0.083,0.884,0.0737,0.00426,0.002036,0.00015
 3/4,20,1.05,,30,0.095,0.86,0.0717,0.00403,0.002093,0.00015
 3/4,20,1.05,STD,40,0.113,0.824,0.0687,0.0037,0.002184,0.00015
 3/4,20,1.05,XS,80,0.154,0.742,0.0618,0.003,0.002426,0.00015
 3/4,20,1.05,,160,0.219,0.612,0.051,0.00204,0.002941,0.00015
 3/4,20,1.05,XXS,,0.308,0.434,0.0362,0.00103,0.004147,0.00015
1,25,1.315,,5,0.065,1.185,0.0988,0.00766,0.001519,0.00015
1,25,1.315,,10,0.109,1.097,0.0914,0.00656,0.001641,0.00015
1,25,1.315,,30,0.114,1.087,0.0906,0.00644,0.001656,0.00015
1,25,1.315,STD,40,0.133,1.049,0.0874,0.006,0.001716,0.00015
1,25,1.315,XS,80,0.179,0.957,0.0798,0.005,0.001881,0.00015
1,25,1.315,,160,0.25,0.815,0.0679,0.00362,0.002209,0.00015
1,25,1.315,XXS,,0.358,0.599,0.0499,0.00196,0.003005,0.00015
1 1/4,32,1.66,,5,0.065,1.53,0.1275,0.01277,0.001176,0.00015
1 1/4,32,1.66,,10,0.109,1.442,0.1202,0.01134,0.001248,0.00015
1 1/4,32,1.66,,30,0.117,1.426,0.1188,0.01109,0.001262,0.00015
1 1/4,32,1.66,STD,40,0.14,1.38,0.115,0.01039,0.001304,0.00015
1 1/4,32,1.66,XS,80,0.191,1.278,0.1065,0.00891,0.001408,0.00015
1 1/4,32,1.66,,160,0.25,1.16,0.0967,0.00734,0.001552,0.00015
1 1/4,32,1.66,XXS,,0.382,0.896,0.0747,0.00438,0.002009,0.00015
1 1/2,40,1.9,,5,0.065,1.77,0.1475,0.01709,0.001017,0.00015
1 1/2,40,1.9,,10,0.109,1.682,0.1402,0.01543,0.00107,0.00015
1 1/2,40,1.9,,30,0.125,1.65,0.1375,0.01485,0.001091,0.00015
1 1/2,40,1.9,STD,40,0.145,1.61,0.1342,0.01414,0.001118,0.00015
1 1/2,40,1.9,XS,80,0.2,1.5,0.125,0.01227,0.0012,0.00015
1 1/2,40,1.9,,160,0.281,1.338,0.1115,0.00976,0.001345,0.00015
1 1/2,40,1.9,XXS,,0.4,1.1,0.0917,0.0066,0.001636,0.00015
2,50,2.375,,5,0.065,2.245,0.1871,0.02749,0.000802,0.00015
2,50,2.375,,,0.083,2.209,0.1841,0.02661,0.000815,0.00015
2,50,2.375,,10,0.109,2.157,0.1798,0.02538,0.000834,0.00015
2,50,2.375,,30,0.125,2.125,0.1771,0.02463,0.000847,0.00015
2,50,2.375,,,0.141,2.093,0.1744,0.02389,0.00086,0.00015
2,50,2.375,STD,40,0.154,2.067,0.1723,0.0233,0.000871,0.00015
2,50,2.375,,,0.172,2.031,0.1693,0.0225,0.000886,0.00015
2,50,2.375,,,0.188,1.999,0.1666,0.02179,0.0009,0.00015
2,50,2.375,XS,80,0.218,1.939,0.1616,0.02051,0.000928,0.00015
2,50,2.375,,,0.25,1.875,0.1563,0.01917,0.00096,0.00015
2,50,2.375,,,0.281,1.813,0.1511,0.01793,0.000993,0.00015
2,50,2.375,,160,0.344,1.687,0.1406,0.01552,0.001067,0.00015
2,50,2.375,XXS,,0.436,1.503,0.1253,0.01232,0.001198,0.00015
2 1/2,65,2.875,,5,0.083,2.709,0.2258,0.04003,0.000664,0.00015
2 1/2,65,2.875,,,0.109,2.657,0.2214,0.0385,0.000677,0.00015
2 1/2,65,2.875,,10,0.12,2.635,0.2196,0.03787,0.000683,0.00015
2 1/2,65,2.875,,,0.125,2.625,0.2188,0.03758,0.000686,0.00015
2 1/2,65,2.875,,,0.141,2.593,0.2161,0.03667,0.000694,0.00015
2 1/2,65,2.875,,,0.156,2.563,0.2136,0.03583,0.000702,0.00015
2 1/2,65,2.875,,,0.172,2.531,0.2109,0.03494,0.000711,0.00015
2 1/2,65,2.875,,30,0.188,2.499,0.2083,0.03406,0.00072,0.00015
2 1/2,65,2.875,STD,40,0.203,2.469,0.2058,0.03325,0.000729,0.00015
2 1/2,65,2.875,,,0.216,2.443,0.2036,0.03255,0.000737,0.00015
2 1/2,65,2.875,,,0.25,2.375,0.1979,0.03076,0.000758,0.00015
2 1/2,65,2.875,XS,80,0.276,2.323,0.1936,0.02943,0.000775,0.00015
2 1/2,65,2.875,,160,0.375,2.125,0.1771,0.02463,0.000847,0.00015
2 1/2,65,2.875,XXS,,0.552,1.771,0.1476,0.01711,0.001016,0.00015
3,80,3.5,,5,0.083,3.334,0.2778,0.06063,0.00054,0.00015
3,80,3.5,,,0.109,3.282,0.2735,0.05875,0.000548,0.00015
3,80,3.5,,10,0.12,3.26,0.2717,0.05796,0.000552,0.00015
3,80,3.5,,,0.125,3.25,0.2708,0.05761,0.000554,0.00015
3,80,3.5,,,0.141,3.218,0.2682,0.05648,0.000559,0.00015
3,80,3.5,,,0.156,3.188,0.2657,0.05543,0.000565,0.00015
3,80,3.5,,,0.172,3.156,0.263,0.05433,0.00057,0.00015
3,80,3.5,,30,0.188,3.124,0.2603,0.05323,0.000576,0.00015
3,80,3.5,STD,40,0.216,3.068,0.2557,0.05134,0.000587,0.00015
3,80,3.5,,,0.25,3,0.25,0.04909,0.0006,0.00015
