,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
"
data,0.125,0.405,,5S,0,0,0,0,0,0,0.00005
data,0.125,0.405,,10S,0.049,0.307,0.074023,0.025583,0.000514,0.001954,0.00005
data,0.125,0.405,STD,40S,0.068,0.269,0.056832,0.022417,0.000395,0.00223,0.00005
data,0.125,0.405,XS,80S,0.095,0.215,0.036305,0.017917,0.000252,0.002791,0.00005
data,0.25,0.54,,5S,0,0,0,0,0,0,0.00005
data,0.25,0.54,,10S,0.065,0.41,0.132025,0.034167,0.000917,0.001463,0.00005
data,0.25,0.54,STD,40S,0.088,0.364,0.104062,0.030333,0.000723,0.001648,0.00005
data,0.25,0.54,XS,80S,0.119,0.302,0.071631,0.025167,0.000497,0.001987,0.00005
data,0.375,0.675,,5S,0,0,0,0,0,0,0.00005
data,0.375,0.675,,10S,0.065,0.545,0.233283,0.045417,0.00162,0.001101,0.00005
data,0.375,0.675,STD,40S,0.091,0.493,0.19089,0.041083,0.001326,0.001217,0.00005
data,0.375,0.675,XS,80S,0.126,0.423,0.140531,0.03525,0.000976,0.001418,0.00005
data,0.5,0.84,,5S,0.065,0.71,0.395919,0.059167,0.002749,0.000845,0.00005
data,0.5,0.84,,10S,0.083,0.674,0.356788,0.056167,0.002478,0.00089,0.00005
data,0.5,0.84,STD,40S,0.109,0.622,0.303858,0.051833,0.00211,0.000965,0.00005
data,0.5,0.84,XS,80S,0.147,0.546,0.23414,0.0455,0.001626,0.001099,0.00005
data,0.75,1.05,,5S,0.065,0.92,0.664761,0.076667,0.004616,0.000652,0.00005
data,0.75,1.05,,10S,0.083,0.884,0.613754,0.073667,0.004262,0.000679,0.00005
data,0.75,1.05,STD,40S,0.113,0.824,0.533267,0.068667,0.003703,0.000728,0.00005
data,0.75,1.05,XS,80S,0.154,0.742,0.432412,0.061833,0.003003,0.000809,0.00005
data,1,1.315,,5S,0.065,1.185,1.102876,0.09875,0.007659,0.000506,0.00005
data,1,1.315,,10S,0.083,1.149,1.036883,0.09575,0.007201,0.000522,0.00005
data,1,1.315,STD,40S,0.133,1.049,0.864253,0.087417,0.006002,0.000572,0.00005
data,1,1.315,XS,80S,0.179,0.957,0.719306,0.07975,0.004995,0.000627,0.00005
data,1.25,1.66,,5S,0.065,1.53,1.838539,0.1275,0.012768,0.000392,0.00005
data,1.25,1.66,,10S,0.109,1.442,1.633129,0.120167,0.011341,0.000416,0.00005
data,1.25,1.66,STD,40S,0.14,1.38,1.495712,0.115,0.010387,0.000435,0.00005
data,1.25,1.66,XS,80S,0.191,1.278,1.282778,0.1065,0.008908,0.000469,0.00005
data,1.5,1.9,,5S,0.065,1.77,2.460574,0.1475,0.017087,0.000339,0.00005
data,1.5,1.9,,10S,0.109,1.682,2.221989,0.140167,0.01543,0.000357,0.00005
data,1.5,1.9,STD,40S,0.145,1.61,2.035831,0.134167,0.014138,0.000373,0.00005
data,1.5,1.9,XS,80S,0.2,1.5,1.767146,0.125,0.012272,0.0004,0.00005
data,2,2.375,,5S,0.065,2.245,3.958426,0.187083,0.027489,0.000267,0.00005
data,2,2.375,,10S,0.109,2.157,3.654182,0.17975,0.025376,0.000278,0.00005
data,2,2.375,STD,40S,0.154,2.067,3.355605,0.17225,0.023303,0.00029,0.00005
data,2,2.375,XS,80S,0.218,1.939,2.952878,0.161583,0.020506,0.000309,0.00005
data,2.5,2.875,,5S,0.083,2.709,5.763787,0.22575,0.040026,0.000221,0.00005
data,2.5,2.875,,10S,0.12,2.635,5.453196,0.219583,0.037869,0.000228,0.00005
data,2.5,2.875,STD,40S,0.203,2.469,4.787757,0.20575,0.033248,0.000243,0.00005
data,2.5,2.875,XS,80S,0.276,2.323,4.238267,0.193583,0.029432,0.000258,0.00005
data,3,3.5,,5S,0.083,3.334,8.730137,0.277833,0.060626,0.00018,0.00005
data,3,3.5,,10S,0.12,3.26,8.346898,0.271667,0.057965,0.000184,0.00005
data,3,3.5,STD,40S,0.216,3.068,7.392658,0.255667,0.051338,0.000196,0.00005
data,3,3.5,XS,80S,0.3,2.9,6.605199,0.241667,0.045869,0.000207,0.00005
data,3.5,4,,5S,0.083,3.834,11.545004,0.3195,0.080174,0.000156,0.00005
data,3.5,4,,10S,0.12,3.76,11.103645,0.313333,0.077109,0.00016,0.00005
data,3.5,4,STD,40S,0.226,3.548,9.886831,0.295667,0.068659,0.000169,0.00005
data,3.5,4,XS,80S,0.318,3.364,8.887955,0.280333,0.061722,0.000178,0.00005
data,4,4.5,,5S,0.083,4.334,14.75257,0.361167,0.102448,0.000138,0.00005
data,4,4.5,,10S,0.12,4.26,14.253092,0.355,0.09898,0.000141,0.00005
data,4,4.5,STD,40S,0.237,4.026,12.730264,0.3355,0.088405,0.000149,0.00005
data,4,4.5,XS,80S,0.337,3.826,11.496875,0.318833,0.079839,0.000157,0.00005
data,5,5.563,,5S,0.109,5.345,22.43806,0.445417,0.15582,0.000112,0.00005
data,5,5.563,,10S,0.134,5.295,22.020228,0.44125,0.152918,0.000113,0.00005
data,5,5.563,STD,40S,0.258,5.047,20.005826,0.420583,0.138929,0.000119,0.00005
data,5,5.563,XS,80S,0.375,4.813,18.193724,0.401083,0.126345,0.000125,0.00005
data,6,6.625,,5S,0.109,6.407,32.240319,0.533917,0.223891,0.000094,0.00005
data,6,6.625,,10S,0.134,6.357,31.739078,0.52975,0.22041,0.000094,0.00005
data,6,6.625,STD,40S,0.28,6.065,28.890263,0.505417,0.200627,0.000099,0.00005
data,6,6.625,XS,80S,0.432,5.761,26.066675,0.480083,0.181019,0.000104,0.00005
data,8,8.625,,5S,0.109,8.407,55.510096,0.700583,0.385487,0.000071,0.00005
data,8,8.625,,10S,0.148,8.329,54.484831,0.694083,0.378367,0.000072,0.00005
data,8,8.625,STD,40S,0.322,7.981,50.027005,0.665083,0.34741,0.000075,0.00005
data,8,8.625,XS,80S,0.5,7.625,45.66354,0.635417,0.317108,0.000079,0.00005
data,10,10.75,,5S,0.134,10.482,86.293521,0.8735,0.599261,0.000057,0.00005
data,10,10.75,,10S,0.165,10.42,85.275705,0.868333,0.592192,0.000058,0.00005
data,10,10.75,STD,40S,0.365,10.02,78.85429,0.835,0.547599,0.00006,0.00005
data,10,10.75,XS,80S,0.5,9.75,74.661913,0.8125,0.518486,0.000062,0.00005
data,12,12.75,,5S,0.156,12.438,121.504115,1.0365,0.843779,0.000048,0.00005
data,12,12.75,,10S,0.18,12.39,120.568121,1.0325,0.837279,0.000048,0.00005
data,12,12.75,STD,40S,0.375,12,113.097336,1,0.785398,0.00005,0.00005
data,12,12.75,XS,80S,0.5,11.75,108.434034,0.979167,0.753014,0.000051,0.00005
data,14,14,,5S,0.156,13.688,147.153255,1.140667,1.021898,0.000044,0.00005
data,14,14,,10S,0.188,13.624,145.780405,1.135333,1.012364,0.000044,0.00005
data,14,14,,40S,0.375,13.25,137.886465,1.104167,0.957545,0.000045,0.00005
data,14,14,,80S,0.5,13,132.73229,1.083333,0.921752,0.000046,0.00005
data,16,16,,5S,0.165,15.67,192.853655,1.305833,1.339261,0.000038,0.00005
data,16,16,,10S,0.188,15.624,191.723056,1.302,1.33141,0.000038,0.00005
data,16,16,,40S,0.375,15.25,182.65416,1.270833,1.268432,0.000039,0.00005
data,16,16,,80S,0.5,15,176.714587,1.25,1.227185,0.00004,0.00005
data,18,18,,5S,0.165,17.67,245.224005,1.4725,1.702944,0.000034,0.00005
data,18,18,,10S,0.188,17.624,243.948892,1.468667,1.69409,0.000034,0.00005
data,18,18,,40S,0.375,17.25,233.705041,1.4375,1.622952,0.000035,0.00005
data,18,18,,80S,0.5,17,226.980069,1.416667,1.57625,0.000035,0.00005
data,20,20,,5S,0.188,19.624,302.457913,1.635333,2.100402,0.000031,0.00005
data,20,20,,10S,0.218,19.564,300.611222,1.630333,2.087578,0.000031,0.00005
data,20,20,,40S,0.375,19.25,291.039107,1.604167,2.021105,0.000031,0.00005
data,20,20,,80S,0.5,19,283.528737,1.583333,1.96895,0.000032,0.00005
data,22,22,,5S,0.188,21.624,367.25012,1.802,2.550348,0.000028,0.00005
