,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size (in),Nominal Outside Diamter (in),API Standard,"Standard, X-Strong, or XX-Strong",Pipe Schedule,"Nominal Wall Thickness
(in)",Nominal Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),"e/D
(e=0.00015 ft)"
data,3,3.5,5L,,5S,0.083,3.334,8.73,0.278,0.061,0.00015
data,3,3.5,,,10S,0.12,3.26,8.347,0.272,0.058,0.00015
data,3,3.5,5L,,,0.125,3.25,8.296,0.271,0.058,0.00015
data,3,3.5,5L,,,0.156,3.188,7.982,0.266,0.055,0.00015
data,3,3.5,5L,,,0.188,3.124,7.665,0.26,0.053,0.00015
data,3,3.5,5L,STD,40,0.216,3.068,7.393,0.256,0.051,0.00015
data,3,3.5,5L,,,0.25,3,7.069,0.25,0.049,0.00015
data,3,3.5,5L,,,0.281,2.938,6.779,0.245,0.047,0.00015
data,3,3.5,5L,XS,80,0.3,2.9,6.605,0.242,0.046,0.00015
data,3,3.5,,,160,0.438,2.624,5.408,0.219,0.038,0.00015
data,3,3.5,5L,XXS,,0.6,2.3,4.155,0.192,0.029,0.00015
data,3.5,4,5L,,5S,0.083,3.834,11.545,0.32,0.08,0.00015
data,3.5,4,,,10S,0.12,3.76,11.104,0.313,0.077,0.00015
data,3.5,4,5L,,,0.125,3.75,11.045,0.313,0.077,0.00015
data,3.5,4,5L,,,0.156,3.688,10.682,0.307,0.074,0.00015
data,3.5,4,5L,,,0.188,3.624,10.315,0.302,0.072,0.00015
data,3.5,4,5L,STD,40,0.226,3.548,9.887,0.296,0.069,0.00015
data,3.5,4,5L,,,0.25,3.5,9.621,0.292,0.067,0.00015
data,3.5,4,5L,,,0.281,3.438,9.283,0.287,0.064,0.00015
data,3.5,4,5L,XS,80,0.318,3.364,8.888,0.28,0.062,0.00015
data,4,4.5,5L,,5S,0.083,4.334,14.753,0.361,0.102,0.00015
data,4,4.5,,,10S,0.12,4.26,14.253,0.355,0.099,0.00015
data,4,4.5,5L,,,0.125,4.25,14.186,0.354,0.099,0.00015
data,4,4.5,5L,,,0.156,4.188,13.775,0.349,0.096,0.00015
data,4,4.5,5L,,,0.188,4.124,13.358,0.344,0.093,0.00015
data,4,4.5,5L,,,0.219,4.062,12.959,0.339,0.09,0.00015
data,4,4.5,5L,,40,0.237,4.026,12.73,0.336,0.088,0.00015
data,4,4.5,5L,,,0.25,4,12.566,0.333,0.087,0.00015
data,4,4.5,5L,,,0.281,3.938,12.18,0.328,0.085,0.00015
data,4,4.5,5L,,,0.312,3.876,11.799,0.323,0.082,0.00015
data,4,4.5,5L,XS,80,0.337,3.826,11.497,0.319,0.08,0.00015
data,4,4.5,5L,,120,0.438,3.624,10.315,0.302,0.072,0.00015
data,4,4.5,5L,,160,0.531,3.438,9.283,0.287,0.064,0.00015
data,4,4.5,5L,XXS,,0.674,3.152,7.803,0.263,0.054,0.00015
data,5,5.563,,,5S,0.109,5.345,22.438,0.445,0.156,0.00015
data,5,5.563,,,10S,0.134,5.295,22.02,0.441,0.153,0.00015
data,5,5.563,5L,,,0.156,5.251,21.656,0.438,0.15,0.00015
data,5,5.563,5L,,,0.188,5.187,21.131,0.432,0.147,0.00015
data,5,5.563,5L,,,0.219,5.125,20.629,0.427,0.143,0.00015
data,5,5.563,5L,STD,40,0.258,5.047,20.006,0.421,0.139,0.00015
data,5,5.563,5L,,,0.281,5.001,19.643,0.417,0.136,0.00015
data,5,5.563,5L,,,0.312,4.939,19.159,0.412,0.133,0.00015
data,5,5.563,5L,,,0.344,4.875,18.665,0.406,0.13,0.00015
data,5,5.563,5L,XS,80,0.375,4.813,18.194,0.401,0.126,0.00015
data,5,5.563,5L,,120,0.5,4.563,16.353,0.38,0.114,0.00015
data,5,5.563,5L,,160,0.625,4.313,14.61,0.359,0.101,0.00015
data,5,5.563,5L,XXS,,0.75,4.063,12.965,0.339,0.09,0.00015
data,6,6.625,5L,,5S,0.109,6.407,32.24,0.534,0.224,0.00015
data,6,6.625,,,10S,0.134,6.357,31.739,0.53,0.22,0.00015
data,6,6.625,5L,,,0.188,6.249,30.67,0.521,0.213,0.00015
data,6,6.625,5L,,,0.219,6.187,30.064,0.516,0.209,0.00015
data,6,6.625,5L,,,0.25,6.125,29.465,0.51,0.205,0.00015
data,6,6.625,5L,STD,40,0.28,6.065,28.89,0.505,0.201,0.00015
data,6,6.625,5L,,,0.312,6.001,28.284,0.5,0.196,0.00015
data,6,6.625,5L,,,0.344,5.937,27.684,0.495,0.192,0.00015
data,6,6.625,5L,,,0.375,5.875,27.109,0.49,0.188,0.00015
data,6,6.625,5L,XS,80,0.432,5.761,26.067,0.48,0.181,0.00015
data,6,6.625,5L,,120,0.562,5.501,23.767,0.458,0.165,0.00015
data,6,6.625,5L,,160,0.719,5.187,21.131,0.432,0.147,0.00015
data,6,6.625,5L,XXS,,0.864,4.897,18.834,0.408,0.131,0.00015
