,numeric,numeric,numeric,string,numeric,numeric
heading,Nominal Size,Nominal Outside dia (in),"Nominal Wall Thickness
(in)",Preferred Size,Nominal Internal Diameter (in),e (ft)
data,11,11,0.01,--,10.98,0.002
data,11,11,0.013,--,10.974,0.002
data,11,11,0.016,--,10.968,0.002
data,11,11,0.02,--,10.96,0.002
data,11,11,0.025,--,10.950,0.002
data,11,11,0.032,--,10.936,0.002
data,11,11,0.040,--,10.920,0.002
data,11,11,0.049,--,10.902,0.002
data,11,11,0.065,--,10.870,0.002
data,11,11,0.083,--,10.834,0.002
data,11,11,0.100,X,10.800,0.002
data,11,11,0.125,X,10.750,0.002
data,11,11,0.156,X,10.688,0.002
data,11,11,0.188,X,10.625,0.002
data,11,11,0.250,X,10.500,0.002
data,11,11,0.313,X,10.375,0.002
data,11,11,0.375,X,10.250,0.002
data,11,11,0.500,X,10.000,0.002
data,11,11,0.625,X,9.750,0.002
data,12,12,0.010,--,11.980,0.002
data,12,12,0.013,--,11.974,0.002
data,12,12,0.016,--,11.968,0.002
data,12,12,0.020,--,11.960,0.002
data,12,12,0.025,--,11.950,0.002
data,12,12,0.032,--,11.936,0.002
data,12,12,0.040,--,11.920,0.002
data,12,12,0.049,--,11.902,0.002
data,12,12,0.065,--,11.870,0.002
data,12,12,0.083,--,11.834,0.002
data,12,12,0.100,--,11.800,0.002
data,12,12,0.125,X,11.750,0.002
data,12,12,0.156,X,11.688,0.002
data,12,12,0.188,X,11.625,0.002
data,12,12,0.250,X,11.500,0.002
data,12,12,0.313,X,11.375,0.002
data,12,12,0.375,X,11.250,0.002
data,12,12,0.500,X,11.000,0.002
data,12,12,0.625,X,10.750,0.002
