,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),Outside Diameter (Min),Outside Diameter (Max),Nominal Wall Thickness (in),Wall Thickness Tolerance +/-,Nominal Internal Diameter (in),e (ft)
data,0.125,0.405,0.401,0.405,0.062,0.004,0.281,0.002000
data,0.25,0.54,0.536,0.54,0.082,0.005,0.376,0.002000
data,0.375,0.675,0.67,0.675,0.09,0.005,0.495,0.002000
data,0.5,0.84,0.835,0.84,0.107,0.006,0.626,0.002000
data,0.75,1.05,1.044,1.05,0.114,0.006,0.822,0.002000
data,1,1.315,1.309,1.315,0.126,0.007,1.063,0.002000
data,1.25,1.66,1.654,1.66,0.146,0.008,1.368,0.002000
data,1.5,1.9,1.894,1.9,0.15,0.008,1.6,0.002000
data,2,2.375,2.367,2.375,0.156,0.009,2.063,0.002000
data,2.5,2.875,2.867,2.875,0.187,0.01,2.501,0.002000
data,3,3.5,3.49,3.5,0.219,0.012,3.062,0.002000
data,3.5,4,3.99,4,0.25,0.013,3.5,0.002000
data,4,4.5,4.488,4.5,0.25,0.014,4,0.002000
data,5,5.562,5.548,5.562,0.25,0.014,5.062,0.002000
data,6,6.625,6.609,6.625,0.25,0.014,6.125,0.002000
data,8,8.625,8.605,8.625,0.312,0.022,8.001,0.002000
data,10,10.75,10.728,10.75,0.365,0.03,10.02,0.002000
data,12,12.75,12.726,12.75,0.375,0.03,12,0.002000
