Acronyms,Term,Description,Comment,,
,AOR,Allowable Operating Region,,,
,BEP,Best Efficiency Point,,,
,NPSH3,Net positive suction head required resulting in 3% loss of total head,,,
,NPSHA,Net positive suction head available ,,,
,NPSH,Net Positive Suction Head Required,,,
,POR,Preferred Operating Region,,,
,VFD,Variable frequency drive,,,
,VSD,Variable speed drive,,,
DEFINITIONS,Term,Description,Source:: https://www.pumps.org/what-we-do/standards/?pumps-search-product={{REF}},Section,Comment
,Abrasive wear (or abrasion),"Wear due to hard particles or hard, small surface protrusions forced against and moving along a material surface. Wear occurring by the mechanical action of suspended abrasives or by abrasives that crystallize on the atmospheric side of the seal. ",ANSI/HI 14.1-14.1,Solids and Slurries,
,Affinity Rules,(EDL committee awaiting guidance from 14.1-14.2 on official definition),ANSI/HI 14.1-14.2,Pump Curves,Awaiting final definition
,Allowable operating region,"A wider range of rates of flow, inclusive of the POR, over which the service life of a pump, although reduced, is within acceptable limits.",ANSI/HI 9.6.3,Pump Curves,
,Axial flow impeller,An axial-flow impeller has a single inlet with the flow entering and discharging axially (or nearly axially). ,ANSI/HI 14.1-14.2,Pump Principles,
,Barske Impeller,"This impeller design represents the lowest range of specific speed for rotodynamic pumps and  consists of straight, radial vanes with open or semi open construction. ",ANSI/HI 14.3,Pump Principles,
,Best efficiency point (BEP),The best efficiency point (BEP) is the rate of flow and head at which the pump efficiency is a maximum at rated rpm or at a given speed and impeller diameter.,ANSI/HI 14.1-14.2,Pump Curves,
,Cavitation,"Cavitation is the phenomenon of vapor bubble formation in a liquid, in a region where the pressure falls below the liquid’s vapor pressure, followed by sudden collapse of bubbles due to an increase in pressure in the same region, or downstream.",ANSI/HI 3.1-3.5,Pump Principles,
,Closed Impeller,An enclosed impeller has both a inlet and hub shroud with leakage controlled by internal running clearances. ,ANSI/HI 14.1-14.2,Pump Principles,
,Concentration of solids by mass (or weight),"The mass (or weight) of dry solids in a given volume of slurry, divided by the total mass (or weight) of that volume of slurry, multiplied by 100 and expressed in percent.",ANSI/HI 12.1-12.6,Solids and Slurries,
,Concentration of solids by volume,"The actual volume of the solid material in a given volume of slurry, divided by the given volume of slurry, multiplied by 100, and expressed in percent.",ANSI/HI 12.1-12.6,Solids and Slurries,
,Corrosion,Loss of material created by chemical or electrochemical reaction within the pump environment,ANSI/HI 12.1-12.6,Solids and Slurries,
,Francis-Vane Impeller,"In impellers of this type, the liquid enters the eye of the impeller axially and exits semi-radially, at about a 60° to 70° angle to the shaft axis. ",ANSI/HI 14.1-14.2,Pump Principles,
,Friction head,Friction head is the hydraulic energy required to overcome frictional resistance of a piping system to liquid flow expressed in meters (feet) of liquid.,ANSI/HI 14.1-14.2,System Curves,
,K Value (Valves and Fittings),"Head loss though valves and standard fittings (minor losses) can be expressed in terms of a resistance coefficient K and the velocity head (V^2/2g). The value of K can be found for various fittings in the referenced sources and the Losses in Valves, Fittings and Bends section of the EDL. ", ,Combined Pump & System Curves,
