,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp. (°C),Density (kg/m³),Specific Volume (m³/kg),SG 4 °C Ref,SG 15.56 °C Ref,SG 20 °C Ref,Pressure (kPa)
data,0,999.792,0.001,0.99987,1.00082,1.00164,0.6117
data,4.4,999.92,0.001,1,1.00095,1.00177,0.8393
data,10,999.648,0.001,0.99973,1.00067,1.00149,1.22823
data,15.6,998.975,0.001,0.99906,1,1.00082,1.76782
data,21.1,997.934,0.001,0.99801,0.99896,0.99978,2.50528
data,26.7,996.556,0.001,0.99664,0.99758,0.9984,3.49888
data,32.2,994.906,0.00101,0.99499,0.99593,0.99674,4.81971
data,37.8,993,0.00101,0.99308,0.99402,0.99483,6.55354
data,43.3,990.853,0.00101,0.99093,0.99187,0.99268,8.80254
data,48.9,988.499,0.00101,0.98858,0.98951,0.99032,11.68661
data,54.4,985.92,0.00101,0.986,0.98693,0.98774,15.34704
data,60,983.165,0.00102,0.98324,0.98417,0.98498,19.94653
data,65.6,980.217,0.00102,0.9803,0.98122,0.98203,25.67056
data,71.1,977.094,0.00102,0.97717,0.9781,0.9789,32.73079
data,76.7,973.81,0.00103,0.97389,0.97481,0.97561,41.36716
data,82.2,970.366,0.00103,0.97044,0.97136,0.97216,51.84513
data,87.8,966.778,0.00103,0.96686,0.96777,0.96856,64.46322
data,93.3,963.029,0.00104,0.96311,0.96402,0.96481,79.55171
data,98.9,959.137,0.00104,0.95921,0.96012,0.96091,97.46428
data,100,958.352,0.00104,0.95843,0.95934,0.96012,101.41498
data,104.4,955.116,0.00105,0.95519,0.9561,0.95688,118.59672
data,110,950.951,0.00105,0.95103,0.95193,0.95271,143.37647
data,115.6,946.643,0.00106,0.94672,0.94761,0.94839,172.2724
data,121.1,942.205,0.00106,0.94228,0.94317,0.94394,205.76713
data,126.7,937.64,0.00107,0.93772,0.9386,0.93937,244.39845
data,132.2,932.931,0.00107,0.93301,0.93389,0.93465,288.73863
data,137.8,928.109,0.00108,0.92818,0.92906,0.92982,339.37373
data,143.3,923.143,0.00108,0.92322,0.92409,0.92485,396.95874
data,148.9,918.05,0.00109,0.91812,0.91899,0.91974,462.14867
data,154.4,912.812,0.0011,0.91289,0.91375,0.9145,535.66057
data,160,907.445,0.0011,0.90752,0.90838,0.90912,618.23218
data,165.6,901.951,0.00111,0.90202,0.90288,0.90362,710.6426
data,171.1,896.313,0.00112,0.89638,0.89723,0.89797,813.71922
data,176.7,890.53,0.00112,0.8906,0.89144,0.89217,928.24113
data,182.2,884.619,0.00113,0.88469,0.88553,0.88625,1055.10466
data,187.8,878.548,0.00114,0.87862,0.87945,0.88017,1195.27507
data,193.3,872.333,0.00115,0.8724,0.87323,0.87394,1349.57974
data,198.9,865.958,0.00115,0.86603,0.86685,0.86756,1519.12181
data,204.4,859.422,0.00116,0.85949,0.8603,0.86101,1704.79762
data,210,852.71,0.00117,0.85278,0.85359,0.85428,1907.64137
data,215.6,845.838,0.00118,0.84591,0.84671,0.8474,2128.82517
data,221.1,838.79,0.00119,0.83886,0.83965,0.84034,2369.3143
data,226.7,831.55,0.0012,0.83162,0.8324,0.83309,2630.2119
data,232.2,824.117,0.00121,0.82418,0.82496,0.82564,2912.75904
data,237.8,816.477,0.00122,0.81654,0.81731,0.81798,3218.12783
data,243.3,808.628,0.00124,0.80869,0.80946,0.81012,3547.49037
data,248.9,800.538,0.00125,0.8006,0.80136,0.80202,3902.08772
data,254.4,792.209,0.00126,0.79227,0.79302,0.79367,4283.22989
data,260,783.623,0.00128,0.78369,0.78443,0.78507,4692.22688
data,265.6,774.765,0.00129,0.77483,0.77556,0.77619,5130.45763
data,271.1,765.602,0.00131,0.76566,0.76639,0.76702,5599.23216
data,276.7,756.119,0.00132,0.75618,0.7569,0.75751,6100.06731
data,282.2,746.3,0.00134,0.74636,0.74707,0.74768,6634.41098
data,287.8,736.096,0.00136,0.73616,0.73685,0.73745,7203.64211
data,293.3,725.476,0.00138,0.72553,0.72622,0.72682,7809.69125
data,298.9,714.407,0.0014,0.71446,0.71514,0.71573,8454.35103
data,304.4,702.826,0.00142,0.70288,0.70355,0.70412,9139.0004
data,310,690.668,0.00145,0.69072,0.69138,0.69194,9865.01832
data,315.6,677.869,0.00148,0.67792,0.67857,0.67912,10635.16267
data,321.1,664.317,0.00151,0.66437,0.665,0.66554,11451.5019
data,326.7,649.901,0.00154,0.64995,0.65057,0.6511,12315.41495
data,332.2,634.459,0.00158,0.63451,0.63511,0.63563,13230.34921
data,337.8,617.768,0.00162,0.61782,0.6184,0.61891,14197.68361
data,343.3,599.491,0.00167,0.59954,0.60011,0.6006,15222.2445
data,348.9,579.099,0.00173,0.57915,0.57969,0.58017,16305.41083
data,354.4,555.696,0.0018,0.55574,0.55627,0.55672,17452.00892
data,360,527.584,0.0019,0.52763,0.52813,0.52856,18666.17563
data,365.6,491.654,0.00203,0.49169,0.49216,0.49256,19953.42676
data,371.1,437.031,0.00229,0.43707,0.43748,0.43784,21325.4834
data,373.9,328.362,0.00305,0.32839,0.3287,0.32897,22063.91188
