,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp. (°F),Density (lbm/ft³),Specific Volume (ft3/lbm),SG 39.2 °F Ref,SG 60 °F Ref,SG 68 °F Ref,Pressure (psia)
data,32,62.4150,0.01602,0.99987,1.00082,1.00164,0.08872
data,40,62.4230,0.01602,1.00000,1.00095,1.00177,0.12173
data,50,62.4060,0.01602,0.99973,1.00067,1.00149,0.17814
data,60,62.3640,0.01603,0.99906,1.00000,1.00082,0.25640
data,70,62.2990,0.01605,0.99801,0.99896,0.99978,0.36336
data,80,62.2130,0.01607,0.99664,0.99758,0.99840,0.50747
data,90,62.1100,0.01610,0.99499,0.99593,0.99674,0.69904
data,100,61.9910,0.01613,0.99308,0.99402,0.99483,0.95051
data,110,61.8570,0.01617,0.99093,0.99187,0.99268,1.27670
data,120,61.7100,0.01620,0.98858,0.98951,0.99032,1.69500
data,130,61.5490,0.01625,0.98600,0.98693,0.98774,2.22590
data,140,61.3770,0.01629,0.98324,0.98417,0.98498,2.89300
data,150,61.1930,0.01634,0.98030,0.98122,0.98203,3.72320
data,160,60.9980,0.01639,0.97717,0.97810,0.97890,4.74720
data,170,60.7930,0.01645,0.97389,0.97481,0.97561,5.99980
data,180,60.5780,0.01651,0.97044,0.97136,0.97216,7.51950
data,190,60.3540,0.01657,0.96686,0.96777,0.96856,9.34960
data,200,60.1200,0.01663,0.96311,0.96402,0.96481,11.53800
data,210,59.8770,0.01670,0.95921,0.96012,0.96091,14.13600
data,212,59.8280,0.01671,0.95843,0.95934,0.96012,14.70900
data,220,59.6260,0.01677,0.95519,0.95610,0.95688,17.20100
data,230,59.3660,0.01684,0.95103,0.95193,0.95271,20.79500
data,240,59.0970,0.01692,0.94672,0.94761,0.94839,24.98600
data,250,58.8200,0.01700,0.94228,0.94317,0.94394,29.84400
data,260,58.5350,0.01708,0.93772,0.93860,0.93937,35.44700
data,270,58.2410,0.01717,0.93301,0.93389,0.93465,41.87800
data,280,57.9400,0.01726,0.92818,0.92906,0.92982,49.22200
data,290,57.6300,0.01735,0.92322,0.92409,0.92485,57.57400
data,300,57.3120,0.01745,0.91812,0.91899,0.91974,67.02900
data,310,56.9850,0.01755,0.91289,0.91375,0.91450,77.69100
data,320,56.6500,0.01765,0.90752,0.90838,0.90912,89.66700
data,330,56.3070,0.01776,0.90202,0.90288,0.90362,103.07000
data,340,55.9550,0.01787,0.89638,0.89723,0.89797,118.02000
data,350,55.5940,0.01799,0.89060,0.89144,0.89217,134.63000
data,360,55.2250,0.01811,0.88469,0.88553,0.88625,153.03000
data,370,54.8460,0.01823,0.87862,0.87945,0.88017,173.36000
data,380,54.4580,0.01836,0.87240,0.87323,0.87394,195.74000
data,390,54.0600,0.01850,0.86603,0.86685,0.86756,220.33000
data,400,53.6520,0.01864,0.85949,0.86030,0.86101,247.26000
data,410,53.2330,0.01879,0.85278,0.85359,0.85428,276.68000
data,420,52.8040,0.01894,0.84591,0.84671,0.84740,308.76000
data,430,52.3640,0.01910,0.83886,0.83965,0.84034,343.64000
data,440,51.9120,0.01926,0.83162,0.83240,0.83309,381.48000
data,450,51.4480,0.01944,0.82418,0.82496,0.82564,422.46000
data,460,50.9710,0.01962,0.81654,0.81731,0.81798,466.75000
data,470,50.4810,0.01981,0.80869,0.80946,0.81012,514.52000
data,480,49.9760,0.02001,0.80060,0.80136,0.80202,565.95000
data,490,49.4560,0.02022,0.79227,0.79302,0.79367,621.23000
data,500,48.9200,0.02044,0.78369,0.78443,0.78507,680.55000
data,510,48.3670,0.02068,0.77483,0.77556,0.77619,744.11000
data,520,47.7950,0.02092,0.76566,0.76639,0.76702,812.10000
data,530,47.2030,0.02119,0.75618,0.75690,0.75751,884.74000
data,540,46.5900,0.02146,0.74636,0.74707,0.74768,962.24000
data,550,45.9530,0.02176,0.73616,0.73685,0.73745,1044.80000
data,560,45.2900,0.02208,0.72553,0.72622,0.72682,1132.70000
data,570,44.5990,0.02242,0.71446,0.71514,0.71573,1226.20000
data,580,43.8760,0.02279,0.70288,0.70355,0.70412,1325.50000
data,590,43.1170,0.02319,0.69072,0.69138,0.69194,1430.80000
data,600,42.3180,0.02363,0.67792,0.67857,0.67912,1542.50000
data,610,41.4720,0.02411,0.66437,0.66500,0.66554,1660.90000
data,620,40.5720,0.02465,0.64995,0.65057,0.65110,1786.20000
data,630,39.6080,0.02525,0.63451,0.63511,0.63563,1918.90000
data,640,38.5660,0.02593,0.61782,0.61840,0.61891,2059.20000
data,650,37.4250,0.02672,0.59954,0.60011,0.60060,2207.80000
data,660,36.1520,0.02766,0.57915,0.57969,0.58017,2364.90000
data,670,34.6910,0.02883,0.55574,0.55627,0.55672,2531.20000
data,680,32.9360,0.03036,0.52763,0.52813,0.52856,2707.30000
data,690,30.6930,0.03258,0.49169,0.49216,0.49256,2894.00000
data,700,27.2830,0.03665,0.43707,0.43748,0.43784,3093.00000
data,705.1,20.4990,0.04878,0.32839,0.32870,0.32897,3200.10000
