,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temperature (F),Pressure (psia),Density (lbm/ft3),Volume (ft3/lbm),Internal Energy (Btu/lbm),Enthalpy (Btu/lbm),Entropy (Btu/lbm*R),Cv (Btu/lbm*R),Cp (Btu/lbm*R),Sound Spd. (ft/s),Joule-Thomson (F/psia),Viscosity (lbm/ft*s),Therm. Cond. (W/m*K),Surf. Tension (lb/ft)
data,32,0.08872,62.415,0.016022,0.0020172,0.0022804,4.10E-06,1.008,1.0086,4600.6,-0.0029962,0.0012036,0.56104,0.0051834
data,40,0.12173,62.423,0.01602,8.0373,8.0377,0.016215,1.0054,1.0055,4670.3,-0.0029445,0.0010384,0.56947,0.0051406
data,50,0.17814,62.406,0.016024,18.077,18.078,0.03611,1.0017,1.0028,4747.7,-0.0028856,0.00087758,0.58,0.0050858
data,60,0.2564,62.364,0.016035,28.096,28.096,0.055576,0.99735,1.001,4815.3,-0.0028317,0.00075333,0.59036,0.0050297
data,70,0.36336,62.299,0.016052,38.1,38.101,0.074644,0.99257,0.99991,4873.8,-0.0027817,0.00065515,0.60039,0.0049725
data,80,0.50747,62.213,0.016074,48.095,48.097,0.09334,0.98739,0.99928,4924.2,-0.0027348,0.0005761,0.60997,0.004914
data,90,0.69904,62.11,0.0161,58.086,58.088,0.11168,0.98187,0.99898,4967,-0.0026904,0.0005114,0.619,0.0048543
data,100,0.95051,61.991,0.016131,68.076,68.078,0.12969,0.97604,0.99893,5003,-0.002648,0.00045773,0.62741,0.0047935
data,110,1.2767,61.857,0.016166,78.065,78.069,0.14738,0.96994,0.99906,5032.6,-0.0026071,0.00041265,0.63515,0.0047315
data,120,1.695,61.71,0.016205,88.057,88.062,0.16477,0.96362,0.99934,5056.3,-0.0025674,0.00037441,0.64222,0.0046684
data,130,2.2259,61.549,0.016247,98.052,98.059,0.18187,0.95711,0.99975,5074.7,-0.0025286,0.00034166,0.64861,0.0046041
data,140,2.893,61.377,0.016293,108.05,108.06,0.19868,0.95044,1.0003,5088,-0.0024904,0.00031339,0.65435,0.0045388
data,150,3.7232,61.193,0.016342,118.06,118.07,0.21523,0.94365,1.0009,5096.7,-0.0024524,0.00028881,0.65945,0.0044723
