,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temperature (F),Pressure (psia),Density (lbm/ft3),Volume (ft3/lbm),Internal Energy (Btu/lb-mole),Enthalpy (Btu/lb-mole),Entropy (Btu/lb-mole*R),Cv (Btu/lb-mole*R),Cp (Btu/lb-mole*R),Sound Spd. (ft./s),Joule-Thomson (F/psia),Viscosity (cP),Term. Cond. (W/m*K),Surf. Tension (lb/in)
data,32,0.088713,62.415,0.016022,4.76E-10,0.0047415,8.22E-13,18.159,18.17,4600.6,-0.0029962,1.7912,0.56104,0.00043195
data,52,0.19197,62.4,0.016026,362.12,362.13,0.72191,18.03,18.057,4762.1,-0.0028743,1.2649,0.58211,0.00042288
data,72,0.38914,62.283,0.016056,722.73,722.75,1.4132,17.863,18.011,4884.6,-0.002772,0.94921,0.60236,0.0004134
data,92,0.74452,62.088,0.016106,1082.8,1082.8,2.078,17.668,17.996,4974.8,-0.0026817,0.74375,0.62075,0.00040351
data,112,1.3531,61.829,0.016174,1442.7,1442.8,2.7188,17.451,17.999,5037.8,-0.002599,0.60186,0.63663,0.00039324
data,132,2.3488,61.515,0.016256,1802.8,1802.9,3.3379,17.219,18.012,5077.8,-0.0025208,0.49946,0.64982,0.00038259
data,152,3.9132,61.154,0.016352,2163.2,2163.4,3.937,16.975,18.034,5097.9,-0.0024448,0.423,0.6604,0.00037156
data,172,6.2836,60.751,0.016461,2524.2,2524.5,4.5177,16.726,18.064,5100.8,-0.0023689,0.36437,0.66861,0.00036018
data,192,9.7607,60.307,0.016582,2885.8,2886.3,5.0812,16.475,18.102,5088.5,-0.0022916,0.3184,0.67475,0.00034845
data,212,14.715,59.827,0.016715,3248.2,3249,5.629,16.225,18.152,5062.8,-0.0022114,0.28171,0.6791,0.00033638
data,232,21.591,59.312,0.01686,3611.7,3612.9,6.1623,15.978,18.213,5024.9,-0.0021268,0.25196,0.68191,0.000324
data,252,30.912,58.763,0.017017,3976.5,3978.3,6.6822,15.738,18.288,4975.8,-0.0020366,0.2275,0.68338,0.0003113
data,272,43.283,58.181,0.017188,4342.8,4345.3,7.1899,15.505,18.378,4916.4,-0.0019394,0.20714,0.68366,0.00029831
data,292,59.39,57.566,0.017371,4711,4714.5,7.6864,15.279,18.485,4847.2,-0.0018337,0.19002,0.68284,0.00028504
data,312,79.999,56.918,0.017569,5081.4,5086.1,8.1727,15.063,18.611,4768.8,-0.0017178,0.17545,0.68098,0.00027151
data,332,105.96,56.237,0.017782,5454.3,5460.5,8.6498,14.855,18.758,4681.7,-0.0015899,0.16295,0.67811,0.00025773
data,352,138.19,55.52,0.018011,5830,5838.3,9.1186,14.656,18.929,4586,-0.0014477,0.15212,0.67422,0.00024373
data,372,177.7,54.768,0.018259,6209,6219.9,9.5801,14.467,19.128,4482.1,-0.0012887,0.14266,0.6693,0.00022951
data,392,225.57,53.978,0.018526,6591.8,6605.8,10.035,14.286,19.358,4370.1,-0.0011096,0.13431,0.66331,0.00021511
data,412,282.94,53.148,0.018815,6978.9,6996.7,10.485,14.115,19.625,4250.2,-0.0009065,0.12689,0.65619,0.00020055
data,432,351.03,52.274,0.01913,7370.9,7393.3,10.93,13.953,19.936,4122.3,-0.00067451,0.12023,0.64788,0.00018585
data,452,431.13,51.353,0.019473,7768.4,7796.4,11.371,13.8,20.299,3986.4,-0.00040736,0.11421,0.63827,0.00017104
data,472,524.6,50.38,0.019849,8172.3,8207,11.81,13.658,20.727,3842.3,-9.6974E-05,0.1087,0.62726,0.00015616
data,492,632.87,49.349,0.020264,8583.5,8626.3,12.247,13.527,21.236,3689.7,0.00026734,0.10361,0.6147,0.00014123
data,512,757.47,48.253,0.020724,9003.3,9055.6,12.685,13.407,21.85,3528.3,0.00070004,0.098863,0.6005,0.0001263
data,532,899.98,47.081,0.02124,9433.1,9496.9,13.124,13.302,22.602,3357.4,0.0012212,0.094375,0.58454,0.00011141
data,552,1062.1,45.822,0.021824,9874.9,9952.2,13.567,13.213,23.545,3176.2,0.0018594,0.090075,0.56681,9.6614E-05
data,572,1245.7,44.456,0.022494,10331,10425,14.016,13.145,24.761,2983.4,0.002657,0.085892,0.54741,8.1982E-05
data,592,1452.8,42.959,0.023278,10806,10919,14.475,13.106,26.388,2777.6,0.0036791,0.081749,0.52659,6.759E-05
data,612,1685.6,41.295,0.024216,11304,11440,14.949,13.105,28.682,2556.4,0.0050313,0.077557,0.50475,5.3537E-05
data,632,1946.6,39.405,0.025378,11834,11999,15.446,13.168,32.174,2316.1,0.0069017,0.073197,0.48225,3.9956E-05
data,652,2238.8,37.18,0.026896,12412,12613,15.979,13.344,38.278,2047.5,0.0096861,0.068479,0.45918,2.704E-05
data,672,2565.9,34.365,0.029099,13073,13322,16.584,13.805,52.339,1726.2,0.014427,0.062974,0.43531,1.5096E-05
data,692,2933.1,30.149,0.033169,13932,14256,17.369,15.375,109.44,1321.3,0.02403,0.055398,0.41495,4.7598E-06
