,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F,Degrees A.P.I.,Specific gravity at 60-60°F
data,10,1,15,0.9659,20,0.934,25,0.9042,30,0.8762,35,0.8498,40,0.8251,45,0.8017
data,10.1,0.9993,15.1,0.9652,20.1,0.9334,25.1,0.9036,30.1,0.8756,35.1,0.8493,40.1,0.8246,45.1,0.8012
data,10.2,0.9986,15.2,0.9646,20.2,0.9328,25.2,0.903,30.2,0.8751,35.2,0.8488,40.2,0.8241,45.2,0.8008
data,10.3,0.9979,15.3,0.9639,20.3,0.9321,25.3,0.9024,30.3,0.8745,35.3,0.8483,40.3,0.8236,45.3,0.8003
data,10.4,0.9972,15.4,0.9632,20.4,0.9315,25.4,0.9018,30.4,0.874,35.4,0.8478,40.4,0.8232,45.4,0.7999
data,10.5,0.9965,15.5,0.9626,20.5,0.9309,25.5,0.9013,30.5,0.8735,35.5,0.8473,40.5,0.8227,45.5,0.7994
data,10.6,0.9958,15.6,0.9619,20.6,0.9303,25.6,0.9007,30.6,0.8729,35.6,0.8468,40.6,0.8222,45.6,0.799
data,10.7,0.9951,15.7,0.9613,20.7,0.9297,25.7,0.9001,30.7,0.8724,35.7,0.8463,40.7,0.8217,45.7,0.7985
data,10.8,0.9944,15.8,0.9606,20.8,0.9291,25.8,0.8996,30.8,0.8718,35.8,0.8458,40.8,0.8212,45.8,0.7981
data,10.9,0.9937,15.9,0.96,20.9,0.9285,25.9,0.899,30.9,0.8713,35.9,0.8453,40.9,0.8208,45.9,0.7976
data,11,0.993,16,0.9593,21,0.9279,26,0.8984,31,0.8708,36,0.8448,41,0.8203,46,0.7972
data,11.1,0.9923,16.1,0.9587,21.1,0.9273,26.1,0.8978,31.1,0.8702,36.1,0.8443,41.1,0.8198,46.1,0.7967
data,11.2,0.9916,16.2,0.958,21.2,0.9267,26.2,0.8973,31.2,0.8697,36.2,0.8438,41.2,0.8193,46.2,0.7963
data,11.3,0.9909,16.3,0.9574,21.3,0.926,26.3,0.8967,31.3,0.8692,36.3,0.8433,41.3,0.8189,46.3,0.7958
data,11.4,0.9902,16.4,0.9567,21.4,0.9254,26.4,0.8961,31.4,0.8686,36.4,0.8428,41.4,0.8184,46.4,0.7954
data,11.5,0.9895,16.5,0.9561,21.5,0.9248,26.5,0.8956,31.5,0.8681,36.5,0.8423,41.5,0.8179,46.5,0.7949
data,11.6,0.9888,16.6,0.9554,21.6,0.9242,26.6,0.895,31.6,0.8676,36.6,0.8418,41.6,0.8174,46.6,0.7945
data,11.7,0.9881,16.7,0.9548,21.7,0.9236,26.7,0.8944,31.7,0.867,36.7,0.8413,41.7,0.817,46.7,0.7941
data,11.8,0.9874,16.8,0.9541,21.8,0.923,26.8,0.8939,31.8,0.8665,36.8,0.8408,41.8,0.8165,46.8,0.7936
data,11.9,0.9868,16.9,0.9535,21.9,0.9224,26.9,0.8933,31.9,0.866,36.9,0.8403,41.9,0.816,46.9,0.7932
data,12,0.9861,17,0.9529,22,0.9218,27,0.8927,32,0.8654,37,0.8398,42,0.8156,47,0.7927
data,12.1,0.9854,17.1,0.9522,22.1,0.9212,27.1,0.8922,32.1,0.8649,37.1,0.8393,42.1,0.8151,47.1,0.7923
data,12.2,0.9847,17.2,0.9516,22.2,0.9206,27.2,0.8916,32.2,0.8644,37.2,0.8388,42.2,0.8146,47.2,0.7918
data,12.3,0.984,17.3,0.9509,22.3,0.92,27.3,0.8911,32.3,0.8639,37.3,0.8383,42.3,0.8142,47.3,0.7914
data,12.4,0.9833,17.4,0.9503,22.4,0.9194,27.4,0.8905,32.4,0.8633,37.4,0.8378,42.4,0.8137,47.4,0.7909
data,12.5,0.9826,17.5,0.9497,22.5,0.9188,27.5,0.8899,32.5,0.8628,37.5,0.8373,42.5,0.8132,47.5,0.7905
data,12.6,0.982,17.6,0.949,22.6,0.9182,27.6,0.8894,32.6,0.8623,37.6,0.8368,42.6,0.8128,47.6,0.7901
data,12.7,0.9813,17.7,0.9484,22.7,0.9176,27.7,0.8888,32.7,0.8618,37.7,0.8363,42.7,0.8123,47.7,0.7896
data,12.8,0.9806,17.8,0.9478,22.8,0.917,27.8,0.8883,32.8,0.8612,37.8,0.8358,42.8,0.8118,47.8,0.7892
data,12.9,0.9799,17.9,0.9471,22.9,0.9165,27.9,0.8877,32.9,0.8607,37.9,0.8353,42.9,0.8114,47.9,0.7887
data,13,0.9792,18,0.9465,23,0.9159,28,0.8871,33,0.8602,38,0.8348,43,0.8109,48,0.7883
data,13.1,0.9786,18.1,0.9459,23.1,0.9153,28.1,0.8866,33.1,0.8597,38.1,0.8343,43.1,0.8104,48.1,0.7879
data,13.2,0.9779,18.2,0.9452,23.2,0.9147,28.2,0.886,33.2,0.8591,38.2,0.8338,43.2,0.81,48.2,0.7874
data,13.3,0.9772,18.3,0.9446,23.3,0.9141,28.3,0.8855,33.3,0.8586,38.3,0.8333,43.3,0.8095,48.3,0.787
data,13.4,0.9765,18.4,0.944,23.4,0.9135,28.4,0.8849,33.4,0.8581,38.4,0.8328,43.4,0.809,48.4,0.7865
data,13.5,0.9759,18.5,0.9433,23.5,0.9129,28.5,0.8844,33.5,0.8576,38.5,0.8324,43.5,0.8086,48.5,0.7861
data,13.6,0.9752,18.6,0.9427,23.6,0.9123,28.6,0.8838,33.6,0.8571,38.6,0.8319,43.6,0.8081,48.6,0.7857
data,13.7,0.9745,18.7,0.9421,23.7,0.9117,28.7,0.8833,33.7,0.8565,38.7,0.8314,43.7,0.8076,48.7,0.7852
data,13.8,0.9738,18.8,0.9415,23.8,0.9111,28.8,0.8827,33.8,0.856,38.8,0.8309,43.8,0.8072,48.8,0.7848
data,13.9,0.9732,18.9,0.9408,23.9,0.9106,28.9,0.8822,33.9,0.8555,38.9,0.8304,43.9,0.8067,48.9,0.7844
data,14,0.9725,19,0.9402,24,0.91,29,0.8816,34,0.855,39,0.8299,44,0.8063,49,0.7839
data,14.1,0.9718,19.1,0.9396,24.1,0.9094,29.1,0.8811,34.1,0.8545,39.1,0.8294,44.1,0.8058,49.1,0.7835
data,14.2,0.9712,19.2,0.939,24.2,0.9088,29.2,0.8805,34.2,0.854,39.2,0.8289,44.2,0.8054,49.2,0.7831
data,14.3,0.9705,19.3,0.9383,24.3,0.9082,29.3,0.88,34.3,0.8534,39.3,0.8285,44.3,0.8049,49.3,0.7826
data,14.4,0.9698,19.4,0.9377,24.4,0.9076,29.4,0.8794,34.4,0.8529,39.4,0.828,44.4,0.8044,49.4,0.7822
data,14.5,0.9692,19.5,0.9371,24.5,0.9071,29.5,0.8789,34.5,0.8524,39.5,0.8275,44.5,0.804,49.5,0.7818
data,14.6,0.9685,19.6,0.9365,24.6,0.9065,29.6,0.8783,34.6,0.8519,39.6,0.827,44.6,0.8035,49.6,0.7813
data,14.7,0.9679,19.7,0.9358,24.7,0.9059,29.7,0.8778,34.7,0.8514,39.7,0.8265,44.7,0.8031,49.7,0.7809
data,14.8,0.9672,19.8,0.9352,24.8,0.9053,29.8,0.8772,34.8,0.8509,39.8,0.826,44.8,0.8026,49.8,0.7805
data,14.9,0.9665,19.9,0.9346,24.9,0.9047,29.9,0.8767,34.9,0.8504,39.9,0.8256,44.9,0.8022,49.9,0.78
