,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp. (°F),Density (lbm/ft³),Specific Volume (ft³/lbm),SG 39.2 °F Ref,SG 60 °F Ref,SG 68 °F Ref,Vapor Pressure (psia)
data,32,62.415,0.01602,0.99987,1.00082,1.00164,0.08872
data,40,62.423,0.01602,1,1.00095,1.00177,0.12173
data,50,62.406,0.01602,0.99973,1.00067,1.00149,0.17814
data,60,62.364,0.01603,0.99906,1,1.00082,0.2564
data,70,62.299,0.01605,0.99801,0.99896,0.99978,0.36336
data,80,62.213,0.01607,0.99664,0.99758,0.9984,0.50747
data,90,62.11,0.0161,0.99499,0.99593,0.99674,0.69904
data,100,61.991,0.01613,0.99308,0.99402,0.99483,0.95051
data,110,61.857,0.01617,0.99093,0.99187,0.99268,1.2767
data,120,61.71,0.0162,0.98858,0.98951,0.99032,1.695
data,130,61.549,0.01625,0.986,0.98693,0.98774,2.2259
data,140,61.377,0.01629,0.98324,0.98417,0.98498,2.893
data,150,61.193,0.01634,0.9803,0.98122,0.98203,3.7232
data,160,60.998,0.01639,0.97717,0.9781,0.9789,4.7472
data,170,60.793,0.01645,0.97389,0.97481,0.97561,5.9998
data,180,60.578,0.01651,0.97044,0.97136,0.97216,7.5195
data,190,60.354,0.01657,0.96686,0.96777,0.96856,9.3496
data,200,60.12,0.01663,0.96311,0.96402,0.96481,11.538
data,210,59.877,0.0167,0.95921,0.96012,0.96091,14.136
data,212,59.828,0.01671,0.95843,0.95934,0.96012,14.709
data,220,59.626,0.01677,0.95519,0.9561,0.95688,17.201
data,230,59.366,0.01684,0.95103,0.95193,0.95271,20.795
data,240,59.097,0.01692,0.94672,0.94761,0.94839,24.986
data,250,58.82,0.017,0.94228,0.94317,0.94394,29.844
data,260,58.535,0.01708,0.93772,0.9386,0.93937,35.447
data,270,58.241,0.01717,0.93301,0.93389,0.93465,41.878
data,280,57.94,0.01726,0.92818,0.92906,0.92982,49.222
data,290,57.63,0.01735,0.92322,0.92409,0.92485,57.574
data,300,57.312,0.01745,0.91812,0.91899,0.91974,67.029
data,310,56.985,0.01755,0.91289,0.91375,0.9145,77.691
data,320,56.65,0.01765,0.90752,0.90838,0.90912,89.667
data,330,56.307,0.01776,0.90202,0.90288,0.90362,103.07
data,340,55.955,0.01787,0.89638,0.89723,0.89797,118.02
data,350,55.594,0.01799,0.8906,0.89144,0.89217,134.63
data,360,55.225,0.01811,0.88469,0.88553,0.88625,153.03
data,370,54.846,0.01823,0.87862,0.87945,0.88017,173.36
data,380,54.458,0.01836,0.8724,0.87323,0.87394,195.74
data,390,54.06,0.0185,0.86603,0.86685,0.86756,220.33
data,400,53.652,0.01864,0.85949,0.8603,0.86101,247.26
data,410,53.233,0.01879,0.85278,0.85359,0.85428,276.68
data,420,52.804,0.01894,0.84591,0.84671,0.8474,308.76
data,430,52.364,0.0191,0.83886,0.83965,0.84034,343.64
data,440,51.912,0.01926,0.83162,0.8324,0.83309,381.48
data,450,51.448,0.01944,0.82418,0.82496,0.82564,422.46
data,460,50.971,0.01962,0.81654,0.81731,0.81798,466.75
data,470,50.481,0.01981,0.80869,0.80946,0.81012,514.52
data,480,49.976,0.02001,0.8006,0.80136,0.80202,565.95
data,490,49.456,0.02022,0.79227,0.79302,0.79367,621.23
data,500,48.92,0.02044,0.78369,0.78443,0.78507,680.55
data,510,48.367,0.02068,0.77483,0.77556,0.77619,744.11
data,520,47.795,0.02092,0.76566,0.76639,0.76702,812.1
data,530,47.203,0.02119,0.75618,0.7569,0.75751,884.74
data,540,46.59,0.02146,0.74636,0.74707,0.74768,962.24
data,550,45.953,0.02176,0.73616,0.73685,0.73745,1044.8
data,560,45.29,0.02208,0.72553,0.72622,0.72682,1132.7
data,570,44.599,0.02242,0.71446,0.71514,0.71573,1226.2
data,580,43.876,0.02279,0.70288,0.70355,0.70412,1325.5
data,590,43.117,0.02319,0.69072,0.69138,0.69194,1430.8
data,600,42.318,0.02363,0.67792,0.67857,0.67912,1542.5
data,610,41.472,0.02411,0.66437,0.665,0.66554,1660.9
data,620,40.572,0.02465,0.64995,0.65057,0.6511,1786.2
data,630,39.608,0.02525,0.63451,0.63511,0.63563,1918.9
data,640,38.566,0.02593,0.61782,0.6184,0.61891,2059.2
data,650,37.425,0.02672,0.59954,0.60011,0.6006,2207.8
data,660,36.152,0.02766,0.57915,0.57969,0.58017,2364.9
data,670,34.691,0.02883,0.55574,0.55627,0.55672,2531.2
data,680,32.936,0.03036,0.52763,0.52813,0.52856,2707.3
data,690,30.693,0.03258,0.49169,0.49216,0.49256,2894
data,700,27.283,0.03665,0.43707,0.43748,0.43784,3093
data,705.1,20.499,0.04878,0.32839,0.3287,0.32897,3200.1
