,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Term. Cond. (W/m*K)
data,0,0.0061165,0.0048546,205.99,2374.9,2500.9,9.1555,1.4184,1.8844,409,59.265,0.0092163,0.017071
data,10,0.01229,0.009413,106.24,2388.7,2519.2,8.8995,1.4269,1.8947,416.17,43.259,0.0094614,0.017622
data,20,0.023408,0.017324,57.723,2402.3,2537.5,8.6658,1.4359,1.9059,423.19,32.054,0.0097275,0.018228
data,30,0.042494,0.030432,32.86,2415.9,2555.6,8.4518,1.4453,1.918,430.04,24.278,0.010011,0.018887
data,40,0.073889,0.051268,19.505,2429.4,2573.5,8.2554,1.4553,1.9314,436.72,18.869,0.010308,0.019599
data,50,0.12358,0.083186,12.021,2442.7,2591.3,8.0747,1.4663,1.9468,443.22,15.058,0.010617,0.020365
data,60,0.19956,0.13048,7.6639,2455.9,2608.9,7.908,1.479,1.9648,449.51,12.319,0.010935,0.021188
data,70,0.31214,0.19851,5.0375,2468.9,2626.1,7.7539,1.4937,1.9862,455.58,10.302,0.011261,0.022069
data,80,0.47434,0.29378,3.4039,2481.6,2643,7.6109,1.5111,2.012,461.39,8.7799,0.011593,0.023012
data,90,0.70208,0.42405,2.3582,2494,2659.5,7.478,1.5316,2.043,466.94,7.6024,0.011929,0.02402
data,100,1.0145,0.59837,1.6712,2506,2675.6,7.354,1.5559,2.0801,472.2,6.6699,0.01227,0.025097
data,110,1.4343,0.82719,1.2089,2517.7,2691.1,7.238,1.5844,2.1244,477.14,5.9146,0.012612,0.026246
data,120,1.9874,1.1224,0.89095,2528.9,2705.9,7.129,1.6177,2.177,481.74,5.289,0.012956,0.027468
data,130,2.7036,1.4974,0.66782,2539.5,2720.1,7.0263,1.6563,2.2389,485.97,4.7596,0.013302,0.028766
data,140,3.6164,1.9673,0.50832,2549.6,2733.5,6.9292,1.7003,2.311,489.82,4.3029,0.013647,0.030142
data,150,4.7629,2.5487,0.39235,2559.1,2745.9,6.837,1.7498,2.394,493.27,3.9024,0.013992,0.031597
data,160,6.1839,3.2604,0.30671,2567.8,2757.5,6.749,1.8045,2.4884,496.3,3.547,0.014337,0.033132
data,170,7.9238,4.1231,0.24253,2575.7,2767.9,6.6649,1.8641,2.5946,498.89,3.2292,0.014682,0.03475
data,180,10.03,5.16,0.1938,2582.8,2777.2,6.584,1.928,2.713,501.04,2.9438,0.015026,0.03645
data,190,12.555,6.3968,0.15633,2589,2785.3,6.5058,1.9957,2.8444,502.73,2.6871,0.01537,0.038238
data,200,15.553,7.8626,0.12718,2594.2,2792,6.4301,2.0666,2.9897,503.92,2.4562,0.015715,0.040115
data,210,19.081,9.5903,0.10427,2598.3,2797.3,6.3562,2.1406,3.1505,504.62,2.2485,0.016062,0.04209
data,220,23.2,11.618,0.086076,2601.3,2800.9,6.2839,2.2173,3.3291,504.77,2.0618,0.016411,0.044172
data,230,27.976,13.988,0.07149,2602.9,2802.9,6.2127,2.2969,3.5287,504.35,1.8938,0.016765,0.046378
data,240,33.475,16.752,0.059694,2603.1,2803,6.1422,2.3795,3.7539,503.32,1.7425,0.017125,0.04873
data,250,39.768,19.97,0.050074,2601.8,2800.9,6.072,2.4656,4.0108,501.62,1.6057,0.017495,0.051266
data,260,46.93,23.716,0.042166,2598.7,2796.6,6.0015,2.5556,4.3079,499.2,1.4818,0.017877,0.054035
data,270,55.038,28.078,0.035615,2593.7,2789.7,5.9303,2.6503,4.6566,496,1.3689,0.018277,0.057115
data,280,64.176,33.17,0.030148,2586.4,2779.9,5.8578,2.7504,5.0736,491.92,1.2656,0.0187,0.060618
data,290,74.429,39.138,0.025551,2576.5,2766.7,5.7833,2.8569,5.5826,486.87,1.1704,0.019155,0.064713
data,300,85.891,46.176,0.021657,2563.6,2749.6,5.7058,2.9709,6.2204,480.72,1.082,0.019652,0.069655
data,310,98.664,54.551,0.018332,2547.1,2727.9,5.6243,3.0938,7.0459,473.31,0.99917,0.020208,0.075843
data,320,112.86,64.65,0.015468,2526,2700.6,5.5371,3.2277,8.1603,464.42,0.92051,0.020847,0.083916
data,330,128.6,77.064,0.012976,2499.1,2666,5.4421,3.3757,9.7546,453.72,0.84457,0.021607,0.094954
data,340,146.03,92.777,0.010779,2464.4,2621.8,5.3355,3.5432,12.239,440.7,0.76954,0.022555,0.11093
data,350,165.31,113.63,0.0088005,2418.1,2563.6,5.2109,3.742,16.698,424.37,0.69274,0.023822,0.13598
data,360,186.68,143.94,0.0069475,2351.7,2481.4,5.0534,4.0071,27.374,402.34,0.6088,0.025727,0.18158
data,370,210.46,201.94,0.004952,2230.1,2334.3,4.8008,4.5675,96.859,362.76,0.49491,0.029685,0.32419
