,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp. (°F),Pressure (psia),Density (lbm/ft3),Volume (ft3/lbm),Internal Energy (Btu/lb-mole),Enthalpy (Btu/lb-mole),Entropy (Btu/lb-mole*R),Cv (Btu/lb-mole*R),Cp (Btu/lb-mole*R),Sound Spd. (ft./s),Joule-Thomson (F/psia),Viscosity (cP),Term. Cond. (W/m*K)
data,32,0.088713,0.00030306,3299.7,18407,19383,39.421,6.1072,8.1136,1341.9,7.3551,0.0092163,0.017071
data,52,0.19197,0.0006304,1586.3,18525,19541,38.203,6.1482,8.1633,1368,5.1882,0.0094901,0.017686
data,72,0.38914,0.0012305,812.69,18642,19697,37.101,6.1914,8.2176,1393.4,3.7321,0.0097891,0.01837
data,92,0.74452,0.0022706,440.42,18759,19853,36.101,6.2369,8.277,1418.3,2.762,0.010108,0.019119
data,112,1.3531,0.0039862,250.86,18875,20007,35.192,6.2864,8.3444,1442.4,2.1115,0.010444,0.019933
data,132,2.3488,0.0066951,149.36,18989,20159,34.362,6.3428,8.4237,1465.7,1.6666,0.010792,0.020815
data,152,3.9132,0.01081,92.51,19101,20309,33.602,6.4092,8.5196,1488.1,1.354,0.011151,0.021768
data,172,6.2836,0.016848,59.354,19211,20456,32.904,6.4886,8.6368,1509.6,1.1274,0.011518,0.022797
data,192,9.7607,0.025444,39.302,19319,20598,32.26,6.5842,8.7805,1530,0.95805,0.011892,0.023905
data,212,14.715,0.037355,26.77,19423,20737,31.664,6.6991,8.9563,1549.2,0.82777,0.01227,0.025097
data,232,21.591,0.053468,18.703,19523,20870,31.111,6.8368,9.1705,1567.1,0.7247,0.01265,0.026378
data,252,30.912,0.07481,13.367,19618,20997,30.595,7.0003,9.4293,1583.7,0.64088,0.013033,0.02775
data,272,43.283,0.10255,9.7513,19709,21117,30.112,7.1919,9.7387,1598.7,0.57092,0.013417,0.029216
data,292,59.39,0.13802,7.2454,19794,21229,29.656,7.4128,10.104,1612.2,0.51116,0.0138,0.030779
data,312,79.999,0.18271,5.4731,19872,21333,29.226,7.6623,10.527,1624,0.45919,0.014184,0.03244
data,332,105.96,0.23831,4.1962,19943,21426,28.816,7.9386,11.013,1634.1,0.41344,0.014567,0.034201
data,352,138.19,0.30672,3.2603,20006,21509,28.425,8.2389,11.564,1642.4,0.37289,0.014949,0.036065
data,372,177.7,0.39009,2.5635,20061,21581,28.049,8.5598,12.182,1648.8,0.33686,0.015332,0.038035
data,392,225.57,0.49085,2.0373,20106,21639,27.686,8.8985,12.873,1653.3,0.30482,0.015715,0.040115
data,412,282.94,0.6118,1.6345,20141,21684,27.334,9.2529,13.647,1655.7,0.27636,0.0161,0.042316
data,432,351.03,0.75619,1.3224,20164,21713,26.989,9.6222,14.517,1655.9,0.25106,0.016489,0.044651
data,452,431.13,0.92785,1.0778,20175,21725,26.649,10.007,15.503,1653.8,0.22856,0.016884,0.047144
data,472,524.6,1.1313,0.88391,20172,21719,26.312,10.408,16.636,1649.1,0.2085,0.017288,0.049832
data,492,632.87,1.3722,0.72875,20153,21692,25.976,10.829,17.956,1641.6,0.19055,0.017706,0.052771
data,512,757.47,1.6574,0.60335,20117,21641,25.637,11.273,19.521,1631.1,0.17442,0.018142,0.056047
data,532,899.98,1.9957,0.50107,20060,21564,25.292,11.745,21.417,1617.1,0.15982,0.018604,0.059795
data,552,1062.1,2.3989,0.41686,19979,21456,24.938,12.249,23.77,1599.4,0.14652,0.019102,0.064221
data,572,1245.7,2.8826,0.3469,19869,21311,24.568,12.792,26.784,1577.2,0.13429,0.019652,0.069655
data,592,1452.8,3.4697,0.28821,19724,21121,24.176,13.383,30.799,1549.9,0.1229,0.020274,0.076632
data,612,1685.6,4.194,0.23843,19535,20876,23.754,14.033,36.442,1516.5,0.11212,0.021003,0.086062
data,632,1946.6,5.1109,0.19566,19287,20558,23.286,14.764,45.004,1475.3,0.10171,0.021898,0.099592
data,652,2238.8,6.3205,0.15821,18954,20136,22.747,15.615,59.674,1423.7,0.091322,0.023067,0.12055
data,672,2565.9,8.0406,0.12437,18482,19547,22.085,16.691,91.302,1355.4,0.08037,0.024763,0.15727
data,692,2933.1,10.99,0.090989,17697,18587,21.13,18.496,221.01,1248,0.067094,0.027863,0.2473
