,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temperature (C),Pressure (bar),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/bar),Viscosity (cP),Term. Cond. (W/m*K),Surf. Tension (N/m)
data,0.01,0.0061165,999.79,0.0010002,6.14E-11,0.00061178,1.91E-13,4.2174,4.2199,1402.3,-0.024142,1.7912,0.56104,0.075646
data,10.01,0.01229,999.65,0.0010003,42.062,42.063,0.15123,4.191,4.1955,1447.1,-0.02325,1.3056,0.58002,0.07422
data,20.01,0.023408,998.16,0.0010018,83.954,83.956,0.29663,4.157,4.1844,1482.2,-0.022491,1.0014,0.59843,0.072735
data,30.01,0.042494,995.6,0.0010044,125.77,125.78,0.43689,4.1175,4.1801,1509,-0.021819,0.79719,0.61547,0.071193
data,40.01,0.073889,992.17,0.0010079,167.57,167.57,0.57254,4.0736,4.1796,1528.8,-0.021203,0.65285,0.6306,0.069595
data,50.01,0.12358,987.99,0.0010122,209.37,209.38,0.70394,4.0264,4.1816,1542.4,-0.020624,0.54674,0.64356,0.067942
data,60.01,0.19956,983.16,0.0010171,251.2,251.22,0.83142,3.9766,4.1851,1550.8,-0.020066,0.46631,0.65436,0.066237
data,70.01,0.31214,977.73,0.0010228,293.08,293.11,0.95525,3.9252,4.1902,1554.6,-0.019516,0.40382,0.6631,0.064479
data,80.01,0.47434,971.76,0.0010291,335.01,335.05,1.0757,3.8729,4.1969,1554.3,-0.018965,0.35429,0.66999,0.062671
data,90.01,0.70208,965.29,0.001036,377.01,377.08,1.193,3.8203,4.2053,1550.4,-0.018402,0.31436,0.67526,0.060814
data,100.01,1.0145,958.34,0.0010435,419.1,419.21,1.3073,3.7681,4.2157,1543.1,-0.017818,0.28171,0.6791,0.05891
data,110.01,1.4343,950.94,0.0010516,461.31,461.46,1.4189,3.7166,4.2283,1532.9,-0.017207,0.25467,0.68169,0.05696
data,120.01,1.9874,943.1,0.0010603,503.64,503.85,1.528,3.6661,4.2435,1519.9,-0.01656,0.23203,0.68319,0.054966
data,130.01,2.7036,934.83,0.0010697,546.14,546.43,1.6348,3.617,4.2615,1504.3,-0.015869,0.21288,0.6837,0.05293
data,140.01,3.6164,926.13,0.0010798,588.81,589.2,1.7393,3.5693,4.2826,1486.2,-0.015125,0.19653,0.6833,0.050854
data,150.01,4.7629,917,0.0010905,631.7,632.22,1.8419,3.5232,4.3071,1465.8,-0.014319,0.18245,0.68204,0.048739
data,160.01,6.1839,907.44,0.001102,674.84,675.52,1.9427,3.4787,4.3354,1443.2,-0.013442,0.17023,0.67995,0.046589
data,170.01,7.9238,897.44,0.0011143,718.24,719.13,2.0418,3.436,4.3679,1418.5,-0.01248,0.15954,0.67705,0.044404
data,180.01,10.03,886.99,0.0011274,761.97,763.1,2.1393,3.3949,4.405,1391.7,-0.011421,0.15013,0.67332,0.042188
data,190.01,12.555,876.06,0.0011415,806.04,807.48,2.2356,3.3555,4.4474,1362.8,-0.010247,0.14177,0.66875,0.039943
data,200.01,15.553,864.65,0.0011565,850.52,852.32,2.3306,3.3179,4.4959,1332,-0.0089407,0.13431,0.66331,0.037672
data,210.01,19.081,852.71,0.0011727,895.44,897.68,2.4246,3.282,4.5513,1299.2,-0.0074777,0.1276,0.65696,0.035378
data,220.01,23.2,840.21,0.0011902,940.86,943.62,2.5178,3.2478,4.6147,1264.5,-0.0058297,0.12151,0.64964,0.033064
data,230.01,27.976,827.11,0.001209,986.85,990.24,2.6102,3.2155,4.6876,1227.7,-0.0039614,0.11596,0.6413,0.030734
data,240.01,33.475,813.35,0.0012295,1033.5,1037.6,2.7021,3.185,4.772,1189,-0.0018285,0.11085,0.63184,0.028391
data,250.01,39.768,798.88,0.0012518,1080.8,1085.8,2.7936,3.1565,4.8702,1148.2,0.00062563,0.10611,0.62118,0.026041
data,260.01,46.93,783.61,0.0012761,1129,1135,2.885,3.1301,4.9857,1105.3,0.0034748,0.10168,0.60923,0.023687
data,270.01,55.038,767.44,0.001303,1178.1,1185.3,2.9766,3.1061,5.1232,1060.1,0.0068167,0.097493,0.5959,0.021334
data,280.01,64.176,750.26,0.0013329,1228.4,1236.9,3.0686,3.0849,5.2891,1012.6,0.010784,0.093502,0.58113,0.018991
data,290.01,74.429,731.89,0.0013663,1279.9,1290.1,3.1613,3.0669,5.4933,962.39,0.01556,0.089653,0.56494,0.016662
data,300.01,85.891,712.12,0.0014043,1333,1345.1,3.2553,3.053,5.7507,909.35,0.021409,0.085892,0.54741,0.014357
data,310.01,98.664,690.65,0.0014479,1388,1402.3,3.3511,3.0443,6.0852,853.08,0.028719,0.082164,0.52873,0.012087
data,320.01,112.86,667.07,0.0014991,1445.4,1462.3,3.4495,3.0428,6.5379,793.1,0.03809,0.078404,0.50918,0.0098622
data,330.01,128.6,640.75,0.0015607,1505.9,1525.9,3.5519,3.0518,7.1871,728.65,0.050514,0.074531,0.48905,0.0077005
data,340.01,146.03,610.64,0.0016376,1570.7,1594.6,3.6602,3.0781,8.2093,658.19,0.067845,0.070427,0.46849,0.0056235
data,350.01,165.31,574.67,0.0017401,1642.2,1671,3.7785,3.1391,10.119,577.89,0.094231,0.065872,0.44735,0.0036635
data,360.01,186.68,527.54,0.0018956,1726.4,1761.8,3.9168,3.2975,15.013,479.63,0.14036,0.060323,0.4257,0.0018755
data,370.01,210.46,451.31,0.0022158,1844.2,1890.9,4.1114,3.8401,45.276,359.72,0.23626,0.052057,0.42513,0.00038699
