Pump Types  - Rotary Positive Displacement,Acronym,Pump Description,Reference:: https://www.pumps.org/what-we-do/standards/?pumps-search-product={{REF}},,Image?image_not_available.png?50%
,,Circumferential piston,ANSI/HI 3.1-3.5,,
,,Gear type - sealless,ANSI/HI 4.1-4.6,,
,,"Gear, external",ANSI/HI 3.1-3.5,,
,,"Gear, internal with crescent",ANSI/HI 3.1-3.5,,
,,"Gear, internal without crescent",ANSI/HI 3.1-3.5,,
,,"Lobe, single",ANSI/HI 3.1-3.5,,
,,"Lobe, three",ANSI/HI 3.1-3.5,,
,,"Piston, axial",ANSI/HI 3.1-3.5,,
,,Screw type - Sealless,ANSI/HI 4.1-4.6,,
,,"Screw, single (progressing cavity)",ANSI/HI 3.1-3.5,,
,,"Screw, three (untimed)",ANSI/HI 3.1-3.5,,
,,"Screw, two (timed)",ANSI/HI 3.1-3.5,,
,,"Tube, flexible (peristaltic)",ANSI/HI 3.1-3.5,,
,,Vane type - sealless,ANSI/HI 4.1-4.6,,
,,"Vane, flexible",ANSI/HI 3.1-3.5,,
,,"Vane, sliding",ANSI/HI 3.1-3.5,,
Pump Types - Reciprocating Positive Displacement,Acronym,Pump Description,Reference:: https://www.pumps.org/what-we-do/standards/?pumps-search-product={{REF}},,Image?image_not_available.png?50%
,AOD,Air-operated - Bellows - simplex or duplex,ANSI/HI 10.1-10.6,,
,AOD,Air-operated - Diaphragm - simplex or duplex,ANSI/HI 10.1-10.5,,
,,Air-operated - piston,,,
,,Air-operated - plunger,,,
,CVMP,Controlled volume metering - diaphragm,ANSI/HI 7.1-7.5,,
,CVMP,Controlled volume metering - piston,ANSI/HI 7.1-7.5,,
,,Piston - direct acting - single or double acting - simplex or duplex,HI 8.1-8.5,,
,,Plunger - direct acting - single or double acting - simplex or duplex,HI 8.1-8.5,,
,,Piston - single or double acting - simplex or multiplex,HI 6.1-6.5,,
,,Plunger- single or double acting - simplex or multiplex,HI 6.1-6.5,,
