,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
Heading,,,,Nozzle,Diameter,(inches),,,,,,,,,,,,,,,,,,,,,,,
Heading,,,,0.06,0.125,0.188,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.75,2,2.25,2.5,2.75,3,3.5,4,4.5,5,5.5,6
Heading,Pressure (psig),Head (ft),Velocity (ft/sec),,,,,,,,,,,,,,,,,,,,,,,,,,
data,10,23.10,38.6,0.4,1.5,3.3,5.9,13.3,23.6,36.9,53.0,72.0,94.0,119.0,147.0,178.0,212.0,289.0,378.0,478.0,590.0,714.0,849.0,1156.0,1510.0,1911.0,2359.0,2855.0,3398.0
data,15,34.65,47.2,0.5,1.8,4.1,7.2,16.3,28.9,45.2,65.0,88.0,116.0,146.0,181.0,219.0,260.0,354.0,462.0,585.0,722.0,874.0,1040.0,1416.0,1849.0,2341.0,2890.0,3496.0,4161.0
data,20,46.20,54.5,0.5,2.1,4.7,8.3,18.8,33.4,52.1,75.0,102.0,133.0,169.0,209.0,252.0,300.0,409.0,534.0,676.0,834.0,1009.0,1201.0,1635.0,2135.0,2703.0,3337.0,4037.0,4805.0
data,25,57.75,61.0,0.6,2.3,5.2,9.3,21.0,37.3,58.3,84.0,114.0,149.0,189.0,233.0,282.0,336.0,457.0,597.0,755.0,933.0,1128.0,1343.0,1828.0,2388.0,3022.0,3731.0,4514.0,5372.0
data,30,69.30,66.8,0.6,2.6,5.7,10.2,23.0,40.9,63.9,92.0,125.0,163.0,207.0,255.0,309.0,368.0,501.0,654.0,828.0,1022.0,1236.0,1471.0,2002.0,2615.0,3310.0,4087.0,4945.0,5885.0
data,35,80.85,72.2,0.7,2.8,6.2,11.0,24.8,44.1,69.0,99.0,135.0,177.0,223.0,276.0,334.0,397.0,541.0,706.0,894.0,1104.0,1335.0,1589.0,2163.0,2825.0,3575.0,4414.0,5341.0,6356.0
data,40,92.40,77.1,0.7,2.9,6.6,11.8,26.5,47.2,73.7,106.0,145.0,189.0,239.0,295.0,357.0,425.0,578.0,755.0,956.0,1180.0,1427.0,1699.0,2312.0,3020.0,3822.0,4719.0,5710.0,6795.0
data,45,103.95,81.8,0.8,3.1,7.0,12.5,28.2,50.1,78.2,113.0,153.0,200.0,253.0,313.0,379.0,450.0,613.0,801.0,1014.0,1251.0,1514.0,1802.0,2452.0,3203.0,4054.0,5005.0,6056.0,7207.0
data,50,115.50,86.2,0.8,3.3,7.4,13.2,29.7,52.8,82.4,119.0,162.0,211.0,267.0,330.0,399.0,475.0,646.0,844.0,1068.0,1319.0,1596.0,1899.0,2585.0,3376.0,4273.0,5276.0,6384.0,7597.0
data,55,127.05,90.5,0.9,3.5,7.8,13.8,31.1,55.3,86.5,124.0,169.0,221.0,280.0,346.0,418.0,498.0,678.0,885.0,1120.0,1383.0,1674.0,1992.0,2711.0,3541.0,4482.0,5533.0,6695.0,7968.0
data,60,138.60,94.5,0.9,3.6,8.1,14.4,32.5,57.8,90.3,130.0,177.0,231.0,293.0,361.0,437.0,520.0,708.0,925.0,1170.0,1445.0,1748.0,2081.0,2832.0,3699.0,4681.0,5779.0,6993.0,8322.0
data,65,150.15,98.3,0.9,3.8,8.5,15.0,33.8,60.2,94.0,135.0,184.0,241.0,305.0,376.0,455.0,541.0,737.0,962.0,1218.0,1504.0,1820.0,2166.0,2947.0,3850.0,4872.0,6015.0,7278.0,8662.0
data,70,161.70,102.0,1.0,3.9,8.8,15.6,35.1,62.4,97.5,140.0,191.0,250.0,316.0,390.0,472.0,562.0,765.0,999.0,1264.0,1561.0,1888.0,2247.0,3059.0,3995.0,5056.0,6242.0,7553.0,8989.0
data,75,173.25,105.6,1.0,4.0,9.1,16.2,36.3,64.6,101.0,145.0,198.0,258.0,327.0,404.0,489.0,582.0,792.0,1034.0,1308.0,1615.0,1955.0,2326.0,3166.0,4135.0,5234.0,6461.0,7818.0,9304.0
data,80,184.80,109.1,1.0,4.2,9.4,16.7,37.5,66.7,104.3,150.0,204.0,267.0,338.0,417.0,505.0,601.0,817.0,1068.0,1351.0,1668.0,2019.0,2402.0,3270.0,4271.0,5405.0,6673.0,8075.0,9610.0
data,85,196.35,112.4,1.1,4.3,9.7,17.2,38.7,68.8,107.5,155.0,211.0,275.0,348.0,430.0,520.0,619.0,843.0,1101.0,1393.0,1720.0,2081.0,2476.0,3371.0,4402.0,5572.0,6879.0,8323.0,9905.0
data,90,207.90,115.7,1.1,4.4,10.0,17.7,39.8,70.8,110.6,159.0,217.0,283.0,358.0,442.0,535.0,637.0,867.0,1133.0,1433.0,1770.0,2141.0,2548.0,3468.0,4530.0,5733.0,7078.0,8565.0,10193.0
data,95,219.45,118.9,1.1,4.5,10.2,18.2,40.9,72.7,113.6,164.0,223.0,291.0,368.0,455.0,550.0,654.0,891.0,1164.0,1473.0,1818.0,2200.0,2618.0,3563.0,4654.0,5890.0,7272.0,8799.0,10472.0
data,100,231.00,122.0,1.2,4.7,10.5,18.7,42.0,74.6,116.6,168.0,228.0,298.0,378.0,466.0,564.0,671.0,914.0,1194.0,1511.0,1865.0,2257.0,2686.0,3656.0,4775.0,6043.0,7461.0,9028.0,10744.0
data,105,242.55,125.0,1.2,4.8,10.8,19.1,43.0,76.5,119.5,172.0,234.0,306.0,387.0,478.0,578.0,688.0,937.0,1223.0,1548.0,1911.0,2313.0,2752.0,3746.0,4893.0,6193.0,7645.0,9251.0,11009.0
data,110,254.10,127.9,1.2,4.9,11.0,19.6,44.0,78.3,122.3,176.0,240.0,313.0,396.0,489.0,592.0,704.0,959.0,1252.0,1585.0,1956.0,2367.0,2817.0,3834.0,5008.0,6338.0,7825.0,9468.0,11268.0
data,115,265.65,130.8,1.3,5.0,11.3,20.0,45.0,80.0,125.0,180.0,245.0,320.0,405.0,500.0,605.0,720.0,980.0,1280.0,1620.0,2000.0,2420.0,2880.0,3921.0,5121.0,6481.0,8001.0,9681.0,11522.0
data,120,277.20,133.6,1.3,5.1,11.5,20.4,46.0,81.7,127.7,184.0,250.0,327.0,414.0,511.0,618.0,736.0,1001.0,1308.0,1655.0,2043.0,2472.0,2942.0,4005.0,5231.0,6620.0,8173.0,9890.0,11769.0
data,125,288.75,136.4,1.3,5.2,11.7,20.9,46.9,83.4,130.3,188.0,255.0,334.0,422.0,521.0,631.0,751.0,1022.0,1335.0,1689.0,2085.0,2523.0,3003.0,4087.0,5339.0,6757.0,8342.0,10093.0,12012.0
data,130,300.30,139.1,1.3,5.3,12.0,21.3,47.9,85.1,132.9,191.0,261.0,340.0,431.0,532.0,643.0,766.0,1042.0,1361.0,1723.0,2127.0,2573.0,3062.0,4168.0,5444.0,6891.0,8507.0,10293.0,12250.0
