,text,text,numeric,numeric
heading,Pulp Type (5),Pipe Material,K,σ
data,Unbeaten aspen sulfite never dried (2),Stainless Steel,0.85,1.6
data,Long fibered kraft never dried CSF = 725 (6) (2),PVC ,0.98,1.85
data,Long fibered kraft never dried CSF = 725 (6) (2),Stainless Steel,0.89,1.5
data,Long fibered kraft never dried CSF = 650 (6) (2),PVC,0.85,1.9
data,Long fibered kraft never dried CSF = 550 (6) (2),PVC,0.75,1.65
data,Long fibered kraft never dried CSF = 260 (6) (2),PVC,0.75,1.8
data,Bleached kraft pine dried and reslurried (6) (2),PVC  ,0.79,1.5
data,Bleached kraft pine dried and reslurried (6) (2),Stainless Steel,0.59,1.45
data,Long fibered kraft dried and reslurried (6) (2),PVC,0.49,1.8
data,Kraft birch dried and reslurried (6) (2),PVC,0.69,1.3
data,Stone groundwood CSF = 114 (2),PVC,4.0,1.40
data,Refiner groundwood CSF = 150 (2),PVC,4.0,1.40
data,Newsprint broke CSF = 75 (2),PVC,4.0,1.40
data,Refiner grouridwood (hardboard) (2),PVC,4.0,1.40
data,Refiner groundwood (insulating board) (2),PVC,4.0,1.40
data,Hardwood NSSC CSF = 620 (2),PVC,0.59,1.8
data,Unbleached sulfite (1),Copper,0.98,1.2
data,Bleached sulfite (1),Copper,0.98,1.2
data,Kraft(1),Copper,0.98,1.2
data,Bleached straw (1),Copper,0.98,1.2
data,Unbleached straw (1),Copper,0.98,1.2
data,Cooked groundwood (1),Copper,0.75,1.8
data,Soda (1),Steel,4.0,1.4
