,numeric,numeric,numeric,numeric,numeric,
heading,Discharge (CFS),Discharge (GPM),V (ft/sec),V2/2g (feet),hf (feet / 100 feet of pipe),
data,0.00334,1.5,0.322,0.00161,0.0623,
data,0.00446,2.0,0.429,0.00286,0.102,
data,0.00668,3.0,0.644,0.00644,0.207,
data,0.00891,4.0,0.858,0.01144,0.342,
data,0.0111,5.0,1.073,0.0179,0.508,
data,0.0134,6.0,1.29,0.0257,0.704,
data,0.0156,7.0,1.5,0.035,0.93,
data,0.0178,8.0,1.72,0.0458,1.18,
data,0.0201,9.0,1.93,0.0579,1.46,
data,0.0223,10.0,2.15,0.0715,1.77,
data,0.0267,12.0,2.57,0.103,2.48,
data,0.0312,14.0,3.0,0.14,3.28,
data,0.0356,16.0,3.43,0.183,4.2,
data,0.0401,18.0,3.86,0.232,5.22,
data,0.0446,20.0,4.29,0.286,6.34,
data,0.049,22.0,4.72,0.346,7.58,
data,0.0535,24.0,5.15,0.412,8.92,
data,0.0579,26.0,5.58,0.483,10.37,
data,0.0624,28.0,6.01,0.561,11.9,
data,0.0668,30.0,6.44,0.644,13.6,
data,0.0713,32.0,6.86,0.732,15.3,
data,0.0758,34.0,7.29,0.827,17.2,
data,0.0802,36.0,7.72,0.927,19.2,
data,0.0847,38.0,8.15,1.032,21.3,
data,0.0891,40.0,8.58,1.14,23.5,
data,0.0936,42.0,9.01,1.26,25.8,
data,0.098,44.0,9.44,1.38,28.2,
data,0.102,46.0,9.87,1.51,30.7,
data,0.107,48.0,10.3,1.65,33.3,
data,0.111,50.0,10.7,1.79,36.0,
data,0.123,55.0,11.8,2.16,43.2,
data,0.134,60.0,12.9,2.57,51.0,
data,0.145,65.0,13.9,3.02,59.6,
data,0.156,70.0,15,3.5,68.8,
data,0.167,75.0,16.1,4.02,78.7,
data,0.178,80.0,17.2,4.58,89.2,
data,0.189,85.0,18.2,5.17,100.2,
data,0.201,90.0,19.3,5.79,112,
data,0.212,95.0,20.4,6.45,124,
data,0.223,100,21.5,7.15,138,
data,0.245,110,23.6,8.65,166,
data,0.267,120,25.7,10.3,197,
data,0.29,130,27.9,12.1,230,
data,0.312,140,30.0,14.0,267,
data,0.334,150,32.2,16.1,306,
