,numeric,numeric,numeric,numeric
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe)
data,0.341,0.072,0.000265,0.03
data,0.454,0.096,0.000469,0.0492
data,0.681,0.144,0.00106,0.0988
data,0.908,0.192,0.00188,0.164
data,1.136,0.240,0.00294,0.242
data,1.363,0.288,0.00424,0.333
data,1.590,0.336,0.0058,0.439
data,1.817,0.384,0.0075,0.558
data,2.044,0.433,0.0095,0.689
data,2.271,0.482,0.0118,0.829
data,2.725,0.576,0.0169,1.16
data,3.180,0.674,0.0230,1.53
data,3.634,0.768,0.0301,1.96
data,4.088,0.866,0.0381,2.42
data,4.542,0.960,0.0469,2.94
data,4.997,1.058,0.057,3.52
data,5.451,1.152,0.068,4.14
data,5.905,1.250,0.080,4.81
data,6.359,1.344,0.092,5.51
data,6.814,1.442,0.106,6.26
data,7.268,1.536,0.120,7.07
data,7.722,1.634,0.136,7.92
data,8.176,1.728,0.152,8.82
data,8.631,1.826,0.176,9.78
data,9.085,1.920,0.188,10.79
data,9.539,2.018,0.208,11.8
data,9.993,2.112,0.228,12.9
data,10.448,2.210,0.249,14.0
data,10.902,2.304,0.271,15.2
data,11.356,2.402,0.294,16.4
data,12.492,2.643,0.357,19.7
data,13.627,2.883,0.424,23.2
data,14.763,3.121,0.497,27.1
data,15.899,3.362,0.576,31.3
data,17.034,3.597,0.661,35.8
data,18.170,3.840,0.753,40.5
data,19.306,4.084,0.850,45.6
data,20.441,4.328,0.954,51
data,21.577,4.572,1.061,56.5
data,22.712,4.816,1.177,62.2
data,24.984,5.273,1.423,74.5
data,27.255,5.761,1.695,88.3
data,29.526,6.248,1.987,103
data,31.797,6.736,2.304,119
data,34.069,7.193,2.646,137
data,36.340,7.681,3.011,156
data,38.611,8.169,3.399,175
data,40.882,8.656,3.810,196
data,43.154,9.114,4.237,218
data,45.425,9.601,4.694,241
