,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Head,,Nozzle Velocity,Nozzle Diameter (inches),,,,,,,,,,,,,,,,,,,,,,,,,
heading,(Bar),(m),(m/s),0.06,0.125,0.188,0.25,0.375,0.5,0.625,0.75,0.875,1,1.125,1.25,1.375,1.5,1.75,2,2.25,2.5,2.75,3,3.5,4,4.5,5,5.5,6
data,0.5,5.095,10,0.2,0.7,1.6,2.8,6.2,11.1,17.3,24.9,33.9,44.3,56.1,69.3,83.8,99.7,135.7,177.3,224.4,277,335.2,398.9,543,709.2,897.5,1108.1,1340.8,1595.6
data,1,10.19,14.1,0.2,1,2.2,3.9,8.8,15.7,24.5,35.3,48,62.7,79.3,97.9,118.5,141,192,250.7,317.3,391.8,474,564.1,767.8,1002.9,1269.3,1567,1896.1,2256.5
data,1.5,15.285,17.3,0.3,1.2,2.7,4.8,10.8,19.2,30,43.2,58.8,76.8,97.2,120,145.1,172.7,235.1,307.1,388.6,479.8,580.6,690.9,940.4,1228.3,1554.6,1919.2,2322.3,2763.7
data,2,20.38,20,0.3,1.4,3.1,5.5,12.5,22.2,34.6,49.9,67.9,88.6,112.2,138.5,167.6,199.5,271.5,354.6,448.8,554,670.4,797.8,1085.9,1418.3,1795.1,2216.1,2681.5,3191.2
data,2.5,25.475,22.4,0.4,1.5,3.5,6.2,13.9,24.8,38.7,55.7,75.9,99.1,125.4,154.9,187.4,223,303.5,396.4,501.7,619.4,749.5,892,1214.1,1585.7,2006.9,2477.7,2998,3567.9
data,3,30.57,24.5,0.4,1.7,3.8,6.8,15.3,27.1,42.4,61.1,83.1,108.6,137.4,169.6,205.3,244.3,332.5,434.3,549.6,678.5,821,977.1,1330,1737.1,2198.5,2714.2,3284.2,3908.4
data,3.5,35.665,26.5,0.5,1.8,4.1,7.3,16.5,29.3,45.8,66,89.8,117.3,148.4,183.2,221.7,263.8,359.1,469.1,593.7,732.9,886.8,1055.4,1436.5,1876.3,2374.6,2931.7,3547.3,4221.6
data,4,40.76,28.3,0.5,2,4.4,7.8,17.6,31.3,49,70.5,96,125.4,158.7,195.9,237,282.1,383.9,501.5,634.7,783.5,948.1,1128.3,1535.7,2005.8,2538.6,3134.1,3792.2,4513.1
data,4.5,45.855,30,0.5,2.1,4.7,8.3,18.7,33.2,51.9,74.8,101.8,133,168.3,207.8,251.4,299.2,407.2,531.9,673.1,831,1005.6,1196.7,1628.9,2127.5,2692.6,3324.2,4022.3,4786.8
data,5,50.95,31.6,0.5,2.2,4.9,8.8,19.7,35,54.8,78.8,107.3,140.2,177.4,219,265,315.4,429.2,560.6,709.6,876,1060,1261.4,1717,2242.6,2838.2,3504,4239.9,5045.8
data,5.5,56.045,33.2,0.6,2.3,5.2,9.2,20.7,36.8,57.4,82.7,112.5,147,186,229.7,277.9,330.8,450.2,588,744.2,918.8,1111.7,1323,1800.8,2352,2976.8,3675,4446.8,5292.1
data,6,61.14,34.6,0.6,2.4,5.4,9.6,21.6,38.4,60,86.4,117.6,153.5,194.3,239.9,290.3,345.5,470.2,614.2,777.3,959.6,1161.1,1381.8,1880.8,2456.6,3109.1,3838.4,4644.5,5527.4
data,6.5,66.235,36,0.6,2.5,5.6,10,22.5,40,62.4,89.9,122.4,159.8,202.3,249.7,302.1,359.6,489.4,639.2,809,998.8,1208.5,1438.3,1957.6,2556.9,3236.1,3995.2,4834.2,5753.1
data,7,71.33,37.4,0.6,2.6,5.8,10.4,23.3,41.5,64.8,93.3,127,165.8,209.9,259.1,313.5,373.1,507.9,663.4,839.6,1036.5,1254.2,1492.6,2031.5,2653.4,3358.3,4146,5016.7,5970.2
data,7.5,76.425,38.7,0.7,2.7,6,10.7,24.1,42.9,67.1,96.6,131.4,171.7,217.3,268.2,324.5,386.2,525.7,686.6,869,1072.9,1298.2,1544.9,2102.8,2746.6,3476.1,4291.5,5192.7,6179.8
data,8,81.52,40,0.7,2.8,6.2,11.1,24.9,44.3,69.3,99.7,135.7,177.3,224.4,277,335.2,398.9,543,709.2,897.5,1108.1,1340.8,1595.6,2171.8,2836.6,3590.1,4432.3,5363,6382.5
data,8.5,86.615,41.2,0.7,2.9,6.4,11.4,25.7,45.7,71.4,102.8,139.9,182.7,231.3,285.5,345.5,411.2,559.7,731,925.2,1142.2,1382,1644.7,2238.6,2923.9,3700.6,4568.7,5528.1,6578.9
data,9,91.71,42.4,0.7,2.9,6.6,11.8,26.4,47,73.5,105.8,144,188,238,293.8,355.5,423.1,575.9,752.2,952,1175.3,1422.1,1692.4,2303.5,3008.7,3807.9,4701.1,5688.4,6769.6
data,9.5,96.805,43.6,0.8,3,6.8,12.1,27.2,48.3,75.5,108.7,147.9,193.2,244.5,301.9,365.3,434.7,591.7,772.8,978.1,1207.5,1461.1,1738.8,2366.7,3091.2,3912.3,4829.9,5844.2,6955.1
data,10,101.9,44.7,0.8,3.1,7,12.4,27.9,49.6,77.4,111.5,151.8,198.2,250.9,309.7,374.8,446,607,792.9,1003.5,1238.9,1499,1783.9,2428.2,3171.5,4013.9,4955.4,5996.1,7135.8
data,10.5,106.995,45.8,0.8,3.2,7.1,12.7,28.6,50.8,79.3,114.3,155.5,203.1,257.1,317.4,384,457,622,812.4,1028.3,1269.4,1536,1828,2488.1,3249.8,4113,5077.8,6144.1,7312
data,11,112.09,46.9,0.8,3.2,7.3,13,29.2,52,81.2,116.9,159.2,207.9,263.1,324.8,393,467.8,636.7,831.6,1052.5,1299.3,1572.2,1871,2546.7,3326.3,4209.8,5197.3,6288.7,7484.1
data,11.5,117.185,47.9,0.8,3.3,7.5,13.3,29.9,53.1,83,119.6,162.7,212.6,269,332.1,401.9,478.3,651,850.3,1076.1,1328.5,1607.5,1913.1,2603.9,3401,4304.4,5314.1,6430.1,7652.3
data,12,122.28,49,0.8,3.4,7.6,13.6,30.5,54.3,84.8,122.1,166.2,217.1,274.8,339.3,410.5,488.6,665,868.5,1099.2,1357.1,1642.1,1954.2,2659.9,3474.2,4397,5428.4,6568.3,7816.9
data,12.5,127.375,50,0.9,3.5,7.8,13.9,31.2,55.4,86.6,124.7,169.7,221.6,280.5,346.3,419,498.6,678.7,886.5,1121.9,1385.1,1675.9,1994.5,2714.8,3545.8,4487.7,5540.3,6703.8,7978.1
