,numeric,numeric,numeric,numeric,,,,,,,,
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe),,,,,,,,
data,0.14,0.31,0.005,1.74,,,,,,,,
data,0.18,0.41,0.009,2.89,,,,,,,,
data,0.23,0.51,0.013,4.3,,,,,,,,
data,0.34,0.77,0.030,8.93,,,,,,,,
data,0.45,1.02,0.054,15,,,,,,,,
data,0.57,1.28,0.084,22.6,,,,,,,,
data,0.68,1.54,0.120,31.8,,,,,,,,
data,0.79,1.79,0.164,42.6,,,,,,,,
data,0.91,2.05,0.214,54.9,,,,,,,,
data,1.02,2.30,0.271,68.4,,,,,,,,
data,1.14,2.56,0.334,83.5,,,,,,,,
data,1.25,2.82,0.405,100,,,,,,,,
data,1.36,3.07,0.482,118,,,,,,,,
data,1.48,3.32,0.564,137,,,,,,,,
data,1.59,3.60,0.655,158,,,,,,,,
data,1.70,3.84,0.753,181,,,,,,,,
data,1.82,4.08,0.856,205,,,,,,,,
data,1.93,4.36,0.966,231,,,,,,,,
data,2.04,4.60,1.085,258,,,,,,,,
data,2.16,4.88,1.207,286,,,,,,,,
data,2.27,5.12,1.338,316,,,,,,,,
