,numeric,numeric,numeric,numeric
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe)
data,0.454,0.058,0.000173,0.0151
data,0.681,0.087,0.000390,0.0302
data,0.908,0.116,0.00069,0.0497
data,1.136,0.146,0.00108,0.0731
data,1.363,0.175,0.00156,0.1004
data,1.590,0.204,0.00212,0.131
data,1.817,0.233,0.0028,0.166
data,2.044,0.262,0.0035,0.205
data,2.271,0.291,0.0043,0.248
data,2.725,0.351,0.0062,0.343
data,3.180,0.408,0.0085,0.453
data,3.634,0.466,0.0111,0.578
data,4.088,0.524,0.0140,0.717
data,4.542,0.582,0.0173,0.868
data,4.997,0.640,0.0210,1.03
data,5.451,0.698,0.025,1.20
data,5.905,0.759,0.029,1.39
data,6.359,0.817,0.034,1.60
data,6.814,0.875,0.039,1.82
data,7.949,1.021,0.053,2.42
data,9.085,1.164,0.069,3.10
data,10.221,1.311,0.088,3.85
data,11.356,1.457,0.108,4.67
data,12.492,1.603,0.131,5.59
data,13.627,1.750,0.156,6.59
data,14.763,1.893,0.183,7.69
data,15.899,2.039,0.212,8.86
data,17.034,2.185,0.244,10.1
data,18.170,2.332,0.277,11.4
data,19.306,2.478,0.314,12.8
data,20.441,2.621,0.351,14.2
data,21.577,2.768,0.390,15.8
data,22.712,2.914,0.433,17.4
data,24.984,3.206,0.524,20.9
data,27.255,3.505,0.625,24.7
data,29.526,3.780,0.732,28.8
data,31.797,4.084,0.847,33.2
data,34.069,4.359,0.975,38.0
data,36.340,4.663,1.109,43.0
data,38.611,4.968,1.253,48.4
data,40.882,5.243,1.402,54.1
data,43.154,5.547,1.564,60.1
data,45.425,5.822,1.731,66.3
data,49.967,6.401,2.097,80.0
data,54.510,6.980,2.493,95.0
data,59.052,7.590,2.926,111
data,63.595,8.169,3.395,128
data,68.137,8.748,3.901,146
data,72.680,9.327,4.420,166
data,77.222,9.906,4.999,187
data,81.765,10.485,5.608,209
data,86.307,11.064,6.248,233
data,90.850,11.643,6.919,258
