,numeric,numeric,numeric,numeric,numeric,
heading,Discharge (CFS),Discharge (GPM),V (ft/sec),V2/2g (feet),hf (feet / 100 feet of pipe),
data,0.00446,2.0,0.191,0.000568,0.0151,
data,0.00668,3.0,0.287,0.00128,0.0302,
data,0.00891,4.0,0.382,0.00227,0.0497,
data,0.0111,5.0,0.478,0.00355,0.0731,
data,0.0134,6.0,0.574,0.00511,0.1004,
data,0.0156,7.0,0.669,0.00696,0.131,
data,0.0178,8.0,0.765,0.00909,0.166,
data,0.0201,9.0,0.86,0.0115,0.205,
data,0.0223,10.0,0.956,0.0142,0.248,
data,0.0267,12.0,1.15,0.0205,0.343,
data,0.0312,14.0,1.34,0.0278,0.453,
data,0.0356,16.0,1.53,0.0364,0.578,
data,0.0401,18.0,1.72,0.046,0.717,
data,0.0446,20.0,1.91,0.0568,0.868,
data,0.049,22.0,2.1,0.0688,1.03,
data,0.0535,24.0,2.29,0.0818,1.2,
data,0.0579,26.0,2.49,0.096,1.39,
data,0.0624,28.0,2.68,0.111,1.6,
data,0.0668,30.0,2.87,0.128,1.82,
data,0.078,35.0,3.35,0.174,2.42,
data,0.0891,40.0,3.82,0.227,3.10,
data,0.1,45.0,4.3,0.288,3.85,
data,0.111,50.0,4.78,0.355,4.67,
data,0.123,55.0,5.26,0.43,5.59,
data,0.134,60.0,5.74,0.511,6.59,
data,0.145,65.0,6.21,0.6,7.7,
data,0.156,70.0,6.69,0.696,8.9,
data,0.167,75.0,7.17,0.799,10.1,
data,0.178,80.0,7.65,0.909,11.4,
data,0.189,85.0,8.13,1.03,12.8,
data,0.201,90.0,8.6,1.15,14.2,
data,0.212,95.0,9.08,1.28,15.8,
data,0.223,100,9.56,1.42,17.4,
data,0.245,110,10.52,1.72,20.9,
data,0.267,120,11.5,2.05,24.7,
data,0.29,130,12.4,2.4,28.8,
data,0.312,140,13.4,2.78,33.2,
data,0.334,150,14.3,3.2,38.0,
data,0.356,160,15.3,3.64,43.0,
data,0.379,170,16.3,4.11,48.4,
data,0.401,180,17.2,4.6,54.1,
data,0.423,190,18.2,5.13,60.1,
data,0.446,200,19.1,5.68,66,
data,0.49,220,21.0,6.88,80,
data,0.535,240,22.9,8.18,95,
data,0.579,260,24.9,9.6,111,
data,0.624,280,26.8,11.14,128,
data,0.668,300,28.7,12.8,146,
data,0.713,320,30.6,14.5,166,
data,0.758,340,32.5,16.4,187,
data,0.802,360,34.4,18.4,209,
data,0.847,380,36.3,20.5,233,
data,0.891,400,38.2,22.7,258,
