,string,numeric
heading,Material,"Roughness, ε (ft)"
data,Commercial steel or wrought iron,0.00015
data,"Drawn tubing - glass, brass, plastic",0.000005
data,Galvanized iron,0.0005
data,Cast iron - uncoated,0.00085
data,Cast iron - asphalt dipped,0.0004
data,Concrete,0.001 - 0.01
data,Riveted steel,0.003 - 0.03
data,Wood stave,0.0006 - 0.003
data,Brass or copper (tubing),0.000005
data,"Aluminum, Lead",N/A
data,Fiberglass,0.0000164
data,Stainless steel,0.00005
data,"Rubber, smoothed",0.000033
data,Carbon steel (cement-lined),0.005
data,Water mains with tuberculations,0.004
