,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity,Degrees Baumé,Specific gravity
data,0,1.0000,12,1.0902,24,1.1983,36,1.3303,48,1.4948,60,1.7059
data,1,1.0069,13,1.0985,25,1.2083,37,1.3426,49,1.5104,61,1.7262
data,2,1.0140,14,1.1069,26,1.2185,38,1.3551,50,1.5263,62,1.7470
data,3,1.0211,15,1.1154,27,1.2288,39,1.3679,51,1.5426,63,1.7683
data,4,1.0284,16,1.1240,28,1.2393,40,1.3810,52,1.5591,64,1.7901
data,5,1.0357,17,1.1328,29,1.2500,41,1.3942,53,1.5761,65,1.8125
data,6,1.0432,18,1.1417,30,1.2609,42,1.4078,54,1.5934,66,1.8354
data,7,1.0507,19,1.1508,31,1.2719,43,1.4216,55,1.6111,67,1.8590
data,8,1.0584,20,1.1600,32,1.2832,44,1.4356,56,1.6292,68,1.8831
data,9,1.0662,21,1.1694,33,1.2946,45,1.4500,57,1.6477,69,1.9079
data,10,1.0741,22,1.1789,34,1.3063,46,1.4646,58,1.6667,70,1.9333
data,11,1.0821,23,1.1885,35,1.3182,47,1.4796,59,1.6860,
