,numeric,numeric
heading,Temperature (R),Pressure (psia)
data,26.0,1.4000
data,27.0,1.8710
data,28.0,2.4530
data,29.0,3.1630
data,30.0,4.0180
data,31.0,5.0330
data,32.0,6.2270
data,33.0,7.6180
data,34.0,9.2250
data,35.0,11.065
data,36.0,13.157
data,37.0,15.522
data,38.0,18.177
data,39.0,21.143
data,40.0,24.438
data,41.0,28.083
data,42.0,32.098
data,43.0,36.501
data,44.0,41.314
data,45.0,46.557
data,46.0,52.250
data,47.0,58.414
data,48.0,65.072
data,49.0,72.244
data,50.0,79.953
data,51.0,88.223
data,52.0,97.079
data,53.0,106.55
data,54.0,116.66
data,55.0,127.44
data,56.0,138.93
data,57.0,151.18
data,58.0,164.24
data,59.0,178.21
