,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp (°F),Pressure (psia),Density (lbm/ft³),Volume (ft³/lbm),Internal Energy (Btu/lbm),Enthalpy (Btu/lbm),Entropy (Btu/lbm°R),Cv (Btu/lbm°R),Cp (Btu/lbm°R),Sound Spd. (ft/s),Joule-Thomson (F/psia),Viscosity (lbm/ft-s),Therm. Cond. (W/m°K)
data,32.02,0.08872,0.00030308,3299.4,1021.7,1075.9,2.1882,0.339,0.45037,1341.9,7.3548,0.00000619,0.017071
data,40,0.12173,0.00040928,2443.3,1024.3,1079.4,2.1604,0.33989,0.45144,1352.4,6.3885,0.00000626,0.017308
data,50,0.17814,0.00058726,1702.8,1027.6,1083.8,2.1271,0.34104,0.45284,1365.4,5.3703,0.00000636,0.017621
data,60,0.2564,0.0008292,1206,1030.9,1088.2,2.0954,0.34222,0.45431,1378.2,4.5356,0.00000646,0.017951
data,70,0.36336,0.0011533,867.11,1034.2,1092.5,2.0653,0.34343,0.45583,1390.9,3.8536,0.00000656,0.018298
data,80,0.50747,0.0015813,632.38,1037.4,1096.8,2.0366,0.34466,0.45742,1403.4,3.2973,0.00000666,0.018661
data,90,0.69904,0.0021395,467.4,1040.6,1101.1,2.0093,0.34594,0.4591,1415.8,2.8431,0.00000677,0.01904
data,100,0.95051,0.0028585,349.83,1043.9,1105.4,1.9832,0.34726,0.46087,1428,2.4715,0.00000688,0.019436
data,110,1.2767,0.0037741,264.97,1047.1,1109.7,1.9583,0.34866,0.46278,1440,2.1663,0.00000699,0.019848
data,120,1.695,0.0049274,202.95,1050.3,1114,1.9346,0.35014,0.46485,1451.8,1.9142,0.00000711,0.020277
data,130,2.2259,0.0063657,157.09,1053.4,1118.2,1.9118,0.35174,0.46711,1463.4,1.7046,0.00000723,0.020723
data,140,2.893,0.0081422,122.82,1056.6,1122.3,1.8901,0.35348,0.46959,1474.7,1.5291,0.00000735,0.021187
data,150,3.7232,0.010317,96.93,1059.7,1126.5,1.8693,0.35536,0.47232,1485.9,1.381,0.00000747,0.021669
data,160,4.7472,0.012956,77.183,1062.7,1130.6,1.8493,0.35743,0.47535,1496.8,1.2551,0.00000759,0.02217
data,170,5.9998,0.016134,61.98,1065.8,1134.6,1.8302,0.35969,0.4787,1507.5,1.1473,0.00000772,0.02269
data,180,7.5195,0.019933,50.169,1068.8,1138.6,1.8118,0.36217,0.4824,1517.9,1.0541,0.00000784,0.023229
data,190,9.3496,0.02444,40.916,1071.8,1142.6,1.7942,0.3649,0.48651,1528,0.97312,0.00000797,0.02379
data,200,11.538,0.029754,33.609,1074.7,1146.5,1.7772,0.36788,0.49105,1537.8,0.90214,0.00000809,0.024371
data,210,14.136,0.035978,27.794,1077.6,1150.3,1.7609,0.37116,0.49608,1547.3,0.83952,0.00000822,0.024973
data,212,14.709,0.037343,26.779,1078.1,1151.1,1.7577,0.37185,0.49714,1549.2,0.82788,0.00000824,0.025096
data,220,17.201,0.043228,23.133,1080.4,1154.1,1.7451,0.37475,0.50162,1556.5,0.78389,0.00000835,0.025598
