,numeric,numeric,numeric,numeric,,,,,,,
heading,Discharge (m3/h),V (m/sec),V2/2g (m),hf (m / 100 m of pipe),,,,,,,
data,0.00455,0.034,0.0000604,0.272,,,,,,,
data,0.00908,0.069,0.000241,0.543,,,,,,,
data,0.0137,0.10,0.000543,0.815,,,,,,,
data,0.0181,0.14,0.000966,1.087,,,,,,,
data,0.0227,0.17,0.00151,1.359,,,,,,,
data,0.0272,0.21,0.00217,1.63,,,,,,,
data,0.0318,0.24,0.00296,1.902,,,,,,,
data,0.0363,0.28,0.00390,2.174,,,,,,,
data,0.0409,0.31,0.00488,2.445,,,,,,,
data,0.0455,0.34,0.00604,2.717,,,,,,,
data,0.0681,0.52,0.0136,9.7,,,,,,,
data,0.0908,0.69,0.0241,16.2,,,,,,,
data,0.113,0.86,0.0378,24.2,,,,,,,
data,0.137,1.03,0.0543,33.8,,,,,,,
data,0.159,1.20,0.0741,44.8,,,,,,,
data,0.181,1.38,0.0966,57.4,,,,,,,
data,0.205,1.55,0.122,71.6,,,,,,,
data,0.227,1.72,0.151,87,,,,,,,
data,0.272,2.06,0.217,122,,,,,,,
data,0.318,2.41,0.296,164,,,,,,,
data,0.363,2.75,0.390,212,,,,,,,
data,0.409,3.11,0.488,265,,,,,,,
data,0.455,3.44,0.604,324,,,,,,,
,,,,,,,,,,,
