,numeric,numeric,numeric,numeric,numeric
heading,Discharge (CFS),Discharge (GPM),V (ft/sec),V2/2g (feet),hf (feet / 100 feet of pipe)
data,0.00223,1.0,0.602,0.00563,0.26
data,0.00334,1.5,0.903,0.0127,0.73
data,0.00446,2.0,1.2,0.0225,1.21
data,0.00557,2.5,1.5,0.0352,1.8
data,0.00668,3.0,1.81,0.0506,2.5
data,0.00780,3.5,2.11,0.0689,3.3
data,0.00891,4.0,2.41,0.09,4.21
data,0.01000,4.5,2.71,0.114,5.21
data,0.01110,5.0,3.01,0.141,6.32
data,0.01340,6.0,3.61,0.203,8.87
data,0.01560,7.0,4.21,0.276,11.8
data,0.01780,8.0,4.81,0.36,15
data,0.0201,9.0,5.42,0.456,18.8
data,0.02230,10.0,6.02,0.563,23
data,0.02450,11.0,6.62,0.681,27.6
data,0.02670,12.0,7.22,0.81,32.6
data,0.02900,13.0,7.82,0.951,37.8
data,0.03120,14.0,8.42,1.103,43.5
data,0.03340,15.0,9.03,1.27,49.7
data,0.0356,16.0,9.63,1.44,56.3
data,0.03790,17.0,10.23,1.63,63.1
data,0.0401,18.0,10.8,1.82,70.3
data,0.0423,19.0,11.4,2.03,78
data,0.0446,20.0,12.0,2.25,86.1
data,0.049,22.0,13.2,2.72,104
data,0.0535,24.0,14.4,3.24,122
data,0.0579,26.0,15.6,3.8,143
data,0.0624,28.0,16.8,4.41,164
data,0.0668,30.0,18.1,5.06,187
