,numeric,numeric,string,string,string,string,string
heading,Outside Diameter (in),"Nominal Weight, Threads and Coupling (lb. per ft)",Grade,Short Thread,Long Thread,Buttress Thread,Extreme Line Thread
data,8.625,24.00,"J,K",X,-,-,-
data,8.625,28.00,H,X,-,-,-
data,8.625,32.00,H,X,-,-,-
data,8.625,32.00,"J,K",X,X,X,X
data,8.625,36.00,"J,K",X,X,X,X
data,8.625,36.00,N,-,X,X,X
data,8.625,40.00,N,-,X,X,X
data,8.625,44.00,N,-,X,X,X
data,8.625,49.00,N,-,X,X,X
data,9.625,32.30,H,X,-,-,-
data,9.625,36.00,H,X,-,-,-
data,9.625,36.00,"J,K",X,X,X,-
data,9.625,40.00,"J,K",X,X,X,X
data,9.625,40.00,N,-,X,X,X
data,9.625,43.50,N,-,X,X,X
data,9.625,47.00,N,-,X,X,X
data,9.625,53.50,N,-,X,X,X
data,10.75,32.75,H,X,-,-,-
data,10.75,40.50,H,X,-,-,-
data,10.75,40.50,"J,K",X,-,X,-
data,10.75,45.50,"J,K",X,-,X,X
data,10.75,51.00,"J,K,N",X,-,X,X
data,10.75,55.50,N,X,-,X,X
data,11.75,42.00,H,X,-,-,-
data,11.75,47.00,"J,K",X,-,X,-
data,11.75,54.00,"J,K",X,-,X,-
data,11.75,60.00,"J,K,N",X,-,X,-
data,13.375,48.00,H,X,-,-,-
data,13.375,54.50,"J,K",X,-,X,-
data,13.375,61.00,"J,K",X,-,X,-
data,13.375,68.00,"J,K",X,-,X,-
data,13.375,72.00,N,X,-,X,-
data,16,65.00,H,X,-,-,-
data,16,75.00,"J,K",X,-,X,-
data,16,84.00,"J,K",X,-,X,-
data,18.625,87.50,"H,J,K",X,-,-,-
data,20,94.00,"H,J,K",X,X,-,-
data,20,106.50,"J,K",X,X,-,-
data,20,133,"J,K",X,X,-,-
