,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Outside Dia. (in),Outside Diameter (Min),Outside Diameter (Max),Nominal Wall Thickness (in),Wall Thickness Tolerance +/-,Nominal Internal Diameter (in),e (ft)
data,0.125,0.125,0.123,0.127,0.025,0.002,0.075,0.000007
data,0.1875,0.1875,0.1855,0.1895,0.028,0.002,0.132,0.000007
data,0.25,0.25,0.248,0.252,0.032,0.002,0.186,0.000007
data,0.3125,0.3125,0.3105,0.3145,0.035,0.002,0.243,0.000007
data,0.375,0.375,0.373,0.377,0.035,0.002,0.305,0.000007
data,0.4375,0.4375,0.4355,0.4395,0.035,0.002,0.368,0.000007
data,0.5,0.5,0.498,0.502,0.035,0.002,0.430,0.000007
data,0.5625,0.5625,0.5595,0.5655,0.042,0.003,0.479,0.000007
data,0.625,0.625,0.622,0.628,0.042,0.003,0.541,0.000007
data,0.75,0.75,0.747,0.753,0.049,0.003,0.652,0.000007
data,0.875,0.875,0.872,0.878,0.049,0.003,0.777,0.000007
data,1,1,0.997,1.003,0.049,0.003,0.902,0.000007
data,1.125,1.125,1.122,1.128,0.049,0.003,1.027,0.000007
data,1.25,1.25,1.246,1.254,0.058,0.003,1.134,0.000007
data,1.375,1.375,1.371,1.379,0.058,0.003,1.259,0.000007
data,1.5,1.5,1.496,1.504,0.065,0.003,1.370,0.000007
data,1.625,1.625,1.621,1.629,0.065,0.003,1.495,0.000007
data,1.75,1.75,1.746,1.754,0.065,0.003,1.620,0.000007
data,2,2,1.996,2.004,0.072,0.003,1.856,0.000007
