,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Flange Class (lb),Nominal Pipe Size,Flange Diameter A,Flange Thickness B (Min),Diameter of Raised Feet C,Diameter of Bolt Circle D,Diameter of Bolt Holes E,Number of Bolts,Diameter of Bolts,Length of Machine Bolts - 25 Lb Fig. to 25 Lb Fig. F,Length of Machine Bolts - 25 Lb Fig. to 125 Lb Fig. F,Length of Machine Bolts F,Outisde Diameter A,Raised Face - O.D. Male C,Riased Face I.D. of Large Female D,Diameter of Bolt Circle E,Diameter of Bolt Holes F,Length of Machine Bolts G
data,25,4        ,9        ,   3/4  ,--,7   1/2  ,   3/4  ,8        ,   5/8  ,2   1/2  ,2   1/2  ,--,--,--,--,--,--,--
data,25,5        ,10        ,   3/4  ,--,8   1/2  ,   3/4  ,8        ,   5/8  ,2   1/2  ,2   1/2  ,--,--,--,--,--,--,--
data,25,6        ,11        ,   3/4  ,--,9   1/2  ,   3/4  ,8        ,   5/8  ,2   1/2  ,2   1/2  ,--,--,--,--,--,--,--
data,25,8        ,13   1/2  ,   3/4  ,--,11   3/4  ,   3/4  ,8        ,   5/8  ,2   1/2  ,2   3/4  ,--,--,--,--,--,--,--
data,25,10        ,16        ,   7/8  ,--,14   1/4  ,   3/4  ,12        ,   5/8  ,2   3/4  ,3        ,--,--,--,--,--,--,--
data,25,12        ,19        ,1        ,--,17        ,   3/4  ,12        ,   5/8  ,3        ,3   1/2  ,--,--,--,--,--,--,--
data,25,14        ,21        ,1   1/8  ,--,18   3/4  ,   7/8  ,12        ,   3/4  ,3   1/2  ,3   1/2  ,--,--,--,--,--,--,--
data,25,16        ,23   1/2  ,1   1/8  ,--,21   1/4  ,   7/8  ,16        ,   3/4  ,3   1/2  ,3   3/4  ,--,--,--,--,--,--,--
data,25,18        ,25        ,1   1/4  ,--,22   3/4  ,   7/8  ,16        ,   3/4  ,3   3/4  ,4        ,--,--,--,--,--,--,--
data,25,20        ,27   1/2  ,1   1/4  ,--,25        ,   7/8  ,20        ,   3/4  ,3   3/4  ,4   1/4  ,--,--,--,--,--,--,--
data,25,24        ,32        ,1   3/8  ,--,29   1/2  ,   7/8  ,20        ,   3/4  ,4        ,--,--,--,--,--,--,--,--
data,25,30        ,38   3/4  ,1   1/2  ,--,36        ,1        ,28        ,   7/8  ,4   1/2  ,--,--,--,--,--,--,--,--
data,25,36        ,46        ,1   5/8  ,--,42   3/4  ,1        ,32        ,   7/8  ,4   3/4  ,--,--,--,--,--,--,--,--
data,25,42        ,53        ,1   3/4  ,--,49   1/2  ,1   1/8  ,36        ,1        ,5   1/4  ,--,--,--,--,--,--,--,--
data,25,48        ,59   1/2  ,2        ,--,56        ,1   1/8  ,44        ,1        ,5   3/4  ,--,--,--,--,--,--,--,--
data,25,54        ,66   1/4  ,2   1/4  ,--,62   3/4  ,1   1/8  ,44        ,1        ,6   1/4  ,--,--,--,--,--,--,--,--
data,25,60        ,73        ,2   1/4  ,--,69   1/4  ,1   1/4  ,52        ,1   1/8  ,6   1/4  ,--,--,--,--,--,--,--,--
data,25,72        ,86   1/2  ,2   1/2  ,--,82   1/2  ,1   1/4  ,60        ,1   1/8  ,6   3/4  ,--,--,--,--,--,--,--,--
data,25,84        ,99   3/4  ,2   3/4  ,--,95   1/2  ,1   3/8  ,64        ,1   1/4  ,7   1/2  ,--,--,--,--,--,--,--,--
data,25,96        ,113   1/4  ,3        ,--,108   1/2  ,1   3/8  ,68        ,1   1/4  ,8        ,--,--,--,--,--,--,--,--
data,125,1        ,4   1/4  ,   7/16 ,--,3   1/8  ,   5/8  ,4        ,   1/2  ,--,--,1   3/4  ,--,--,--,--,--,--
data,125,1   1/4  ,4   5/8  ,   1/2  ,--,3   1/2  ,   5/8  ,4        ,   1/2  ,--,--,2        ,--,--,--,--,--,--
data,125,1   1/2  ,5        ,   9/16 ,--,3   7/8  ,   5/8  ,4        ,   1/2  ,--,--,2        ,--,--,--,--,--,--
data,125,2        ,6        ,   5/8  ,--,4   3/4  ,   3/4  ,4        ,   5/8  ,--,--,2   1/4  ,--,--,--,--,--,--
data,125,2   1/2  ,7        ,  11/16 ,--,5   1/2  ,   3/4  ,4        ,   5/8  ,--,--,2   1/2  ,--,--,--,--,--,--
data,125,3        ,7   1/2  ,   3/4  ,--,6        ,   3/4  ,4        ,   5/8  ,--,--,2   1/2  ,--,--,--,--,--,--
data,125,3   1/2  ,8   1/2  ,  13/16 ,--,7        ,   3/4  ,8        ,   5/8  ,--,--,2   3/4  ,--,--,--,--,--,--
data,125,4        ,9        ,  15/16 ,--,7   1/2  ,   3/4  ,8        ,   5/8  ,--,--,3        ,--,--,--,--,--,--
data,125,5        ,10        ,  15/16 ,--,8   1/2  ,   7/8  ,8        ,   3/4  ,--,--,3        ,--,--,--,--,--,--
data,125,6        ,11        ,1        ,--,9   1/2  ,   7/8  ,8        ,   3/4  ,--,--,3   1/4  ,--,--,--,--,--,--
