,numeric,numeric,numeric,numeric,numeric,string,numeric,numeric,numeric,numeric,string,string,string,numeric,numeric,numeric
heading,Nominal Pipe Size,Outside Diameter - Raised Face Large Male and Large Tongue R,Outside Diameter - Small Male S,Outside Diameter - Small Tongue T,Inside Diameter of Large and Small Tongue U,Inside Diameter of Small Male,Outside Diameter - Large Female and Large Groove W,Outside Diameter - Small Female X,Outside Diameter - Small Groove Y,Inside Diameter of Large and Small Groove Z,Height - Raised Face,Height - Large and Small Male and Tongue,Depth of Groove or Female,Minimum Outside Diameter of Raised Portion - Small Female and Groove K,Minimum Outside Diameter of Raised Portion - Large Female and Groove L,Minimum Outside Diameter of Raised Portion - Nominal Pipe Size
data,   1/2  ,1   3/8  ,  23/32 ,1   3/8  ,1        ,See Note 9,1   7/16 ,  25/32 ,1   7/16 ,  15/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,1   3/4  ,1  13/16 ,   1/2  
data,   3/4  ,1  11/16 ,  15/16 ,1  11/16 ,1   5/16 ,See Note 9,1   3/4  ,1        ,1   3/4  ,1   1/4  ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,2   1/16 ,2   1/8  ,   3/4  
data,1        ,2        ,1   3/16 ,1   7/8  ,1   1/2  ,See Note 9,2   1/16 ,1   1/4  ,1  15/16 ,1   7/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,2   1/4  ,2   7/16 ,1        
data,1   1/4  ,2   1/2  ,1   1/2  ,2   1/4  ,1   7/8  ,See Note 9,2   9/16 ,1   9/16 ,2   5/16 ,1  13/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,2   5/8  ,2  15/16 ,1   1/4  
data,1   1/2  ,2   7/8  ,1   3/4  ,2   1/2  ,2   1/8  ,See Note 9,2  15/16 ,1  13/16 ,2   9/16 ,2   1/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,2   7/8  ,3   5/16 ,1   1/2  
data,2        ,3   5/8  ,2   1/4  ,3   1/4  ,2   7/8  ,See Note 9,3  11/16 ,2   5/16 ,3   5/16 ,2  13/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,3   5/8  ,4   1/16 ,2        
data,2   1/2  ,4   1/8  ,2  11/16 ,3   3/4  ,3   3/8  ,See Note 9,4   3/16 ,2   3/4  ,3  13/16 ,3   5/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,4   1/8  ,4   9/16 ,2   1/2  
data,3        ,5        ,3   5/16 ,4   5/8  ,4   1/4  ,See Note 9,5   1/16 ,3   3/8  ,4  11/16 ,4   3/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,5        ,5   7/16 ,3        
data,3   1/2  ,5   1/2  ,3  13/16 ,5   1/8  ,4   3/4  ,See Note 9,5   9/16 ,3   7/8  ,5   3/16 ,4  11/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,5   1/2  ,5  15/16 ,3   1/2  
data,4        ,6   3/16 ,4   5/16 ,5  11/16 ,5   3/16 ,See Note 9,6   1/4  ,4   3/8  ,5   3/4  ,5   1/8  ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,6   3/16 ,6   5/8  ,4        
data,5        ,7   5/16 ,5   3/8  ,6  13/16 ,6   5/16 ,See Note 9,7   3/8  ,5   7/16 ,6   7/8  ,6   1/4  ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,7   5/16 ,7   3/4  ,5        
data,6        ,8   1/2  ,6   3/8  ,8        ,7   1/2  ,See Note 9,8   9/16 ,6   7/16 ,8   1/16 ,7   7/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,8   1/2  ,8  15/16 ,6        
data,8        ,10   5/8  ,8   3/8  ,10        ,9   3/8  ,See Note 9,10  11/16 ,8   7/16 ,10   1/16 ,9   5/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,10   5/8  ,11   1/16 ,8        
data,10        ,12   3/4  ,10   1/2  ,12        ,11   1/4  ,See Note 9,12  13/16 ,10   9/16 ,12   1/16 ,11   3/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,12   3/4  ,13   3/16 ,10        
data,12        ,15        ,12   1/2  ,14   1/4  ,13   1/2  ,See Note 9,15   1/16 ,12   9/16 ,14   5/16 ,13   7/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,15        ,15   7/16 ,12        
data,14        ,16   1/4  ,13   3/4  ,15   1/2  ,14   3/4  ,See Note 9,16   5/16 ,13  13/16 ,15   9/16 ,14  11/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,16   1/4  ,16  11/16 ,14        
data,16        ,18   1/2  ,15   3/4  ,17   5/8  ,16   3/4  ,See Note 9,18   9/16 ,15  13/16 ,17  11/16 ,16  11/16 ,See Note 4 & 7,See Note 5 & 7,See Note 6 & 7,18   1/2  ,18  15/16 ,16        
