,numeric,numeric,numeric,numeric,numeric,numeric,numeric, numeric
heading,Nominal Size,Nominal Outside dia (in),Pipe Schedule,Nominal Wall Thickness (in),"Wall Thickness, Min (in)","Wall Thickness, Max (in)",Nominal Internal Diameter (in),e (ft)
data,2,2.375,5,0.065,0.053,0.077,2.245,0.000007
data,2,2.375,10,0.109,0.095,0.123,2.157,0.000007
data,2,2.375,40,0.154,0.135,--,2.067,0.000007
data,2,2.375,80,0.218,0.191,--,1.939,0.000007
data,2.5,2.375,5,0.083,0.071,0.095,2.709,0.000007
data,2.5,2.375,10,0.120,0.105,0.135,2.635,0.000007
data,2.5,2.375,40,0.203,0.178,--,2.469,0.000007
data,2.5,2.375,80,0.276,0.242,--,2.323,0.000007
data,3,3.5,5,0.083,0.071,0.095,3.334,0.000007
data,3,3.5,10,0.120,0.105,0.135,3.260,0.000007
data,3,3.5,40,0.216,0.189,--,3.068,0.000007
data,3,3.5,80,0.300,0.262,--,2.900,0.000007
data,4,4.5,5,0.083,0.071,0.095,4.334,0.000007
data,4,4.5,10,0.120,0.105,0.135,4.260,0.000007
data,4,4.5,40,0.237,0.207,--,4.026,0.000007
data,4,4.5,80,0.337,0.295,--,3.826,0.000007
data,4,4.5,120,0.438,0.383,--,3.624,0.000007
data,4,4.5,160,0.531,0.465,--,3.438,0.000007
data,5,5.563,5,0.109,0.095,0.123,5.345,0.000007
data,5,5.563,10,0.134,0.117,0.151,5.295,0.000007
data,5,5.563,40,0.258,0.226,--,5.047,0.000007
data,5,5.563,80,0.375,0.328,--,4.813,0.000007
data,5,5.563,120,0.500,0.438,--,4.563,0.000007
data,5,5.563,160,0.625,0.547,--,4.313,0.000007
data,6,6.625,5,0.109,0.095,0.123,6.407,0.000007
data,6,6.625,10,0.134,0.117,0.151,6.357,0.000007
data,6,6.625,40,0.280,0.245,--,6.065,0.000007
data,6,6.625,80,0.432,0.378,--,5.761,0.000007
data,6,6.625,120,0.562,0.492,--,5.501,0.000007
data,6,6.625,160,0.719,0.692,--,5.187,0.000007
data,8,8.625,5,0.109,0.095,0.123,8.407,0.000007
data,8,8.625,10,0.148,0.130,0.166,8.329,0.000007
data,8,8.625,20,0.250,0.219,--,8.125,0.000007
data,8,8.625,30,0.277,0.242,--,8.071,0.000007
data,8,8.625,40,0.322,0.282,--,7.981,0.000007
data,8,8.625,60,0.406,0.355,--,7.813,0.000007
data,8,8.625,80,0.500,0.438,--,7.625,0.000007
data,8,8.625,100,0.594,0.520,--,7.437,0.000007
data,8,8.625,120,0.719,0.629,--,7.187,0.000007
data,8,8.625,140,0.812,0.710,--,7.001,0.000007
data,8,8.625,160,0.906,0.793,--,6.813,0.000007
data,10,10.75,5,0.134,0.117,0.151,10.482,0.000007
data,10,10.75,10,0.165,0.144,0.186,10.420,0.000007
data,10,10.75,20,0.250,0.219,--,10.250,0.000007
data,10,10.75,30,0.307,0.269,--,10.136,0.000007
data,10,10.75,40,0.365,0.319,--,10.020,0.000007
data,10,10.75,60,0.500,0.438,--,9.750,0.000007
data,10,10.75,80,0.594,0.520,--,9.562,0.000007
data,10,10.75,100,0.716,0.629,--,9.312,0.000007
data,12,12.75,5,0.156,0.136,0.176,12.438,0.000007
data,12,12.75,10,0.180,0.158,0.202,12.390,0.000007
data,12,12.75,20,0.250,0.219,--,12.250,0.000007
data,12,12.75,30,0.330,0.289,--,12.090,0.000007
data,12,12.75,40,0.406,0.355,--,11.938,0.000007
data,12,12.75,60,0.562,0.492,--,11.626,0.000007
data,12,12.75,80,0.688,0.602,--,11.373,0.000007
data,14,14,10,0.250,--,--,13.500,0.000007
data,14,14,20,0.312,--,--,13.376,0.000007
data,14,14,30,0.375,--,--,13.250,0.000007
data,14,14,40,0.438,--,--,13.124,0.000007
data,14,14,60,0.593,--,--,12.814,0.000007
data,14,14,80,0.750,--,--,12.500,0.000007
data,16,16,10,0.250,--,--,15.500,0.000007
data,16,16,20,0.312,--,--,15.376,0.000007
data,16,16,30,0.375,--,--,15.250,0.000007
data,16,16,40,0.500,--,--,15.000,0.000007
data,16,16,60,0.656,--,--,14.688,0.000007
data,16,16,80,0.844,--,--,14.312,0.000007
data,18,18,40,0.562,--,--,16.876,0.000007
data,20,20,40,0.594,--,--,18.812,0.000007
