,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,string,string
heading,Nominal Size,Nominal Outside dia (in),Average Outside Diameter Tolerance (in),Nominal Wall Thickness (in),Nominal Internal Diameter (in),e (ft),"t/D, Ratio of Nominal Wall Thickness to Nominal Outside Diameter","Diameter Roundness Tolerances, percent of outside diameter",Diameter Roundness Tolerances (in),"Nominal Plain-End Weight
(lb/ft)",Form,Type
data,0.25,0.375,0.002,0.035,0.305,0.002,0.093333333,0.008,0.003,0.145,Annealed,K
data,0.375,0.5,0.0025,0.049,0.402,0.002,0.098,0.008,0.004,0.269,Annealed,K
data,0.5,0.625,0.0025,0.049,0.527,0.002,0.0784,0.008,0.005,0.344,Annealed,K
data,0.625,0.75,0.0025,0.049,0.652,0.002,0.065333333,0.008,0.006,0.418,Annealed,K
data,0.75,0.875,0.003,0.065,0.745,0.002,0.074285714,0.008,0.007,0.641,Annealed,K
data,1,1.125,0.0035,0.065,0.995,0.002,0.057777778,0.008,0.009,0.839,Annealed,K
data,1.25,1.375,0.004,0.065,1.245,0.002,0.047272727,0.01,0.01375,1.04,Annealed,K
data,1.5,1.625,0.0045,0.072,1.481,0.002,0.044307692,0.01,0.01625,1.36,Annealed,K
data,2,2.125,0.005,0.083,1.959,0.002,0.039058824,0.01,0.02125,2.06,Annealed,K
data,2.5,2.625,0.005,0.095,2.435,0.002,0.036190476,0.01,0.02625,2.93,Annealed,K
data,3,3.125,0.005,0.109,2.907,0.002,0.03488,0.01,0.03125,4,Annealed,K
data,3.5,6.625,0.005,0.12,6.385,0.002,0.018113208,0.015,0.099375,5.12,Annealed,K
data,4,4.125,0.005,0.134,3.857,0.002,0.032484848,0.01,0.04125,6.51,Annealed,K
data,5,5.125,0.005,0.16,4.805,0.002,0.031219512,0.01,0.05125,9.67,Annealed,K
data,6,6.125,0.005,0.192,5.741,0.002,0.031346939,0.01,0.06125,13.9,Annealed,K
data,8,8.125,0.006,0.271,7.583,0.002,0.033353846,0.01,0.08125,25.9,Annealed,K
data,10,10.125,0.008,0.338,9.449,0.002,0.033382716,0.01,0.10125,40.3,Annealed,K
data,12,12.125,0.008,0.405,11.315,0.002,0.033402062,0.01,0.12125,57.8,Annealed,K
data,0.25,0.375,0.001,0.035,0.305,0.002,0.093333333,0.008,0.003,0.145,Drawn,K
data,0.375,0.5,0.001,0.049,0.402,0.002,0.098,0.008,0.004,0.269,Drawn,K
data,0.5,0.625,0.001,0.049,0.527,0.002,0.0784,0.008,0.005,0.344,Drawn,K
data,0.625,0.75,0.001,0.049,0.652,0.002,0.065333333,0.008,0.006,0.418,Drawn,K
data,0.75,0.875,0.001,0.065,0.745,0.002,0.074285714,0.008,0.007,0.641,Drawn,K
data,1,1.125,0.0015,0.065,0.995,0.002,0.057777778,0.008,0.009,0.839,Drawn,K
data,1.25,1.375,0.0015,0.065,1.245,0.002,0.047272727,0.01,0.01375,1.04,Drawn,K
data,1.5,1.625,0.002,0.072,1.481,0.002,0.044307692,0.01,0.01625,1.36,Drawn,K
data,2,2.125,0.002,0.083,1.959,0.002,0.039058824,0.01,0.02125,2.06,Drawn,K
data,2.5,2.625,0.002,0.095,2.435,0.002,0.036190476,0.01,0.02625,2.93,Drawn,K
data,3,3.125,0.002,0.109,2.907,0.002,0.03488,0.01,0.03125,4,Drawn,K
data,3.5,6.625,0.002,0.12,6.385,0.002,0.018113208,0.015,0.099375,5.12,Drawn,K
data,4,4.125,0.002,0.134,3.857,0.002,0.032484848,0.01,0.04125,6.51,Drawn,K
data,5,5.125,0.002,0.16,4.805,0.002,0.031219512,0.01,0.05125,9.67,Drawn,K
data,6,6.125,0.002,0.192,5.741,0.002,0.031346939,0.01,0.06125,13.9,Drawn,K
data,8,8.125,+0.002 / -0.004,0.271,7.583,0.002,0.033353846,0.01,0.08125,25.9,Drawn,K
data,10,10.125,+0.002 / -0.005,0.338,9.449,0.002,0.033382716,0.01,0.10125,40.3,Drawn,K
data,12,12.125,+0.002 / -0.006,0.405,11.315,0.002,0.033402062,0.01,0.12125,57.8,Drawn,K
data,0.25,0.375,0.002,0.03,0.315,0.002,0.08,0.008,0.003,0.126,Annealed,L
data,0.375,0.5,0.0025,0.035,0.43,0.002,0.07,0.008,0.004,0.198,Annealed,L
data,0.5,0.625,0.0025,0.04,0.545,0.002,0.064,0.008,0.005,0.285,Annealed,L
data,0.625,0.75,0.0025,0.042,0.666,0.002,0.056,0.008,0.006,0.362,Annealed,L
data,0.75,0.875,0.003,0.045,0.785,0.002,0.051428571,0.008,0.007,0.455,Annealed,L
data,1,1.125,0.0035,0.05,1.025,0.002,0.044444444,0.01,0.01125,0.655,Annealed,L
data,1.25,1.375,0.004,0.05,1.275,0.002,0.036363636,0.01,0.01375,0.884,Annealed,L
data,1.5,1.625,0.0045,0.06,1.505,0.002,0.036923077,0.01,0.01625,1.14,Annealed,L
data,2,2.125,0.005,0.07,1.985,0.002,0.032941176,0.01,0.02125,1.75,Annealed,L
data,2.5,2.625,0.005,0.08,2.465,0.002,0.03047619,0.01,0.02625,2.48,Annealed,L
data,3,3.125,0.005,0.09,2.945,0.002,0.0288,0.015,0.046875,3.33,Annealed,L
data,3.5,6.625,0.005,0.1,6.425,0.002,0.01509434,0.015,0.099375,4.29,Annealed,L
data,4,4.125,0.005,0.11,3.905,0.002,0.026666667,0.015,0.061875,5.38,Annealed,L
data,5,5.125,0.005,0.125,4.875,0.002,0.024390244,0.015,0.076875,7.61,Annealed,L
data,6,6.125,0.005,0.14,5.845,0.002,0.022857143,0.015,0.091875,10.2,Annealed,L
data,8,8.125,0.006,0.2,7.725,0.002,0.024615385,0.015,0.121875,19.3,Annealed,L
data,10,10.125,0.008,0.25,9.625,0.002,0.024691358,0.015,0.151875,30.1,Annealed,L
data,12,12.125,0.008,0.28,11.565,0.002,0.023092784,0.015,0.181875,40.4,Annealed,L
data,0.25,0.375,0.001,0.03,0.315,0.002,0.08,0.008,0.003,0.126,Drawn,L
data,0.375,0.5,0.001,0.035,0.43,0.002,0.07,0.008,0.004,0.198,Drawn,L
data,0.5,0.625,0.001,0.04,0.545,0.002,0.064,0.008,0.005,0.285,Drawn,L
data,0.625,0.75,0.001,0.042,0.666,0.002,0.056,0.008,0.006,0.362,Drawn,L
data,0.75,0.875,0.001,0.045,0.785,0.002,0.051428571,0.008,0.007,0.455,Drawn,L
data,1,1.125,0.0015,0.05,1.025,0.002,0.044444444,0.01,0.01125,0.655,Drawn,L
data,1.25,1.375,0.0015,0.05,1.275,0.002,0.036363636,0.01,0.01375,0.884,Drawn,L
data,1.5,1.625,0.002,0.06,1.505,0.002,0.036923077,0.01,0.01625,1.14,Drawn,L
data,2,2.125,0.002,0.07,1.985,0.002,0.032941176,0.01,0.02125,1.75,Drawn,L
data,2.5,2.625,0.002,0.08,2.465,0.002,0.03047619,0.01,0.02625,2.48,Drawn,L
data,3,3.125,0.002,0.09,2.945,0.002,0.0288,0.015,0.046875,3.33,Drawn,L
data,3.5,6.625,0.002,0.1,6.425,0.002,0.01509434,0.015,0.099375,4.29,Drawn,L
data,4,4.125,0.002,0.11,3.905,0.002,0.026666667,0.015,0.061875,5.38,Drawn,L
data,5,5.125,0.002,0.125,4.875,0.002,0.024390244,0.015,0.076875,7.61,Drawn,L
data,6,6.125,0.002,0.14,5.845,0.002,0.022857143,0.015,0.091875,10.2,Drawn,L
data,8,8.125,+0.002 / -0.004,0.2,7.725,0.002,0.024615385,0.015,0.121875,19.3,Drawn,L
