,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Flange Class (lb),Nominal Pipe Size,Outside Diameter of Flange O ,Flange Thicknesses (Min) - Flange C ,Flange Thickness (Min) - Fitting C ,Drilling - Diameter of Bolt Circle ,Drilling - Diameter of Bolt Holes ,Drilling - Number of Bolts,Drilling - Diameter of Bolts ,Length of Bolts L - Stud Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - Ring Joint,Length of Bolts L - Machine Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - 1/4 in. Raised Face,Length of Stud Bolts L - Male and Female also Tongue & Groove,Length of Stud Bolts L - RIng Joint
data,600,0.5,3   3/4  ,   9/16 ,--,2   5/8  ,   5/8  ,4        ,   1/2  ,--,--,--,3        ,2   3/4  ,3        
data,600,0.75,4   5/8  ,   5/8  ,--,3   1/4  ,   3/4  ,4        ,   5/8  ,--,--,--,3   1/2  ,3   1/4  ,3   1/2  
data,600,1,4   7/8  ,  11/16 ,--,3   1/2  ,   3/4  ,4        ,   5/8  ,--,--,--,3   1/2  ,3   1/4  ,3   1/2  
data,600,1.25,5   1/4  ,  13/16 ,--,3   7/8  ,   3/4  ,4        ,   5/8  ,--,--,--,3   3/4  ,3   1/2  ,3   3/4  
data,600,1.5,6   1/8  ,   7/8  ,--,4   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,600,2,6   1/2  ,1        ,--,5        ,   3/4  ,8        ,   5/8  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,600,2.5,7   1/2  ,1   1/8  ,--,5   7/8  ,   7/8  ,8        ,   3/4  ,--,--,--,4   3/4  ,4   1/2  ,4   3/4  
data,600,3,8   1/4  ,1   1/4  ,--,6   5/8  ,   7/8  ,8        ,   3/4  ,--,--,--,5        ,4   3/4  ,5        
data,600,3.5,9        ,1   3/8  ,--,7   1/4  ,1        ,8        ,   7/8  ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,600,4,10   3/4  ,1   1/2  ,--,8   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,600,5,13        ,1   3/4  ,--,10   1/2  ,1   1/8  ,8        ,1        ,--,--,--,6   1/2  ,6   1/4  ,6   1/2  
data,600,6,14        ,1   7/8  ,--,11   1/2  ,1   1/8  ,12        ,1        ,--,--,--,6   3/4  ,6   1/2  ,6   3/4  
data,600,8,16   1/2  ,2   3/16 ,--,13   3/4  ,1   1/4  ,12        ,1   1/8  ,--,--,--,7   1/2  ,7   1/4  ,7   3/4  
