,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Flange Class (lb),Nominal Pipe Size,Outside Diameter of Flange O,Flange Thicknesses (Min) - Flange C,Flange Thickness (Min) - Fitting C,Drilling - Diameter of Bolt Circle,Drilling - Diameter of Bolt Holes,Drilling - Number of Bolts,Drilling - Diameter of Bolts,Length of Bolts L - Stud Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - Ring Joint,Length of Bolts L - Machine Bolts - 0.006 in. Raised Face,Length of Bolts L - Stud Bolts - 1/4 in. Raised Face,Length of Stud Bolts L - Male and Female also Tongue & Groove,Length of Stud Bolts L - RIng Joint
data,150,   1/2  ,3   1/2  ,   7/16 ,--,2   3/8  ,   5/8  ,4        ,   1/2  ,2   1/2  ,3        ,2   1/4  ,--,--,--
data,150,   3/4  ,3   7/8  ,   1/2  ,--,2   3/4  ,   5/8  ,4        ,   1/2  ,3        ,3   1/2  ,2   1/2  ,--,--,--
data,150,1        ,4   1/4  ,   9/16 ,   7/16 ,3   1/8  ,   5/8  ,4        ,   1/2  ,3        ,3   1/2  ,2   1/2  ,--,--,--
data,150,1   1/4  ,4   5/8  ,   5/8  ,   1/2  ,3   1/2  ,   5/8  ,4        ,   1/2  ,3   1/4  ,3   3/4  ,2   3/4  ,--,--,--
data,150,1   1/2  ,5        ,  11/16 ,   9/16 ,3   7/8  ,   5/8  ,4        ,   1/2  ,3   1/2  ,4        ,3        ,--,--,--
data,150,2        ,6        ,   3/4  ,   5/8  ,4   3/4  ,   3/4  ,4        ,   5/8  ,3   1/2  ,4        ,3        ,--,--,--
data,150,2   1/2  ,7        ,   7/8  ,  11/16 ,5   1/2  ,   3/4  ,4        ,   5/8  ,4        ,4   1/2  ,3   1/4  ,--,--,--
data,150,3        ,7   1/2  ,  15/16 ,   3/4  ,6        ,   3/4  ,4        ,   5/8  ,4   1/4  ,4   3/4  ,3   1/2  ,--,--,--
data,150,3   1/2  ,8   1/2  ,  15/16 ,  13/16 ,7        ,   3/4  ,8        ,   5/8  ,4   1/4  ,5        ,3   3/4  ,--,--,--
data,150,4        ,9        ,  15/16 ,  15/16 ,7   1/2  ,   3/4  ,8        ,   5/8  ,4   1/4  ,5        ,3   3/4  ,--,--,--
data,150,5        ,10        ,  15/16 ,  15/16 ,8   1/2  ,   7/8  ,8        ,   3/4  ,4   3/4  ,5   1/4  ,4   1/4  ,--,--,--
data,150,6        ,11        ,1        ,1        ,9   1/2  ,   7/8  ,8        ,   3/4  ,4   3/4  ,5   1/2  ,4   1/4  ,--,--,--
data,150,8        ,13   1/2  ,1   1/8  ,1   1/8  ,11   3/4  ,   7/8  ,8        ,   3/4  ,5   1/2  ,6        ,4   3/4  ,--,--,--
data,150,10        ,16        ,  13/16 ,  13/16 ,14   1/4  ,1        ,12        ,   7/8  ,6   1/4  ,6   3/4  ,5   1/2  ,--,--,--
data,150,12        ,19        ,1   1/4  ,1   1/4  ,17        ,1        ,12        ,   7/8  ,6   3/4  ,7   1/4  ,5   3/4  ,--,--,--
data,150,14        ,21        ,1   3/8  ,1   3/8  ,18   3/4  ,1   1/8  ,12        ,1        ,7        ,7   1/2  ,6   1/4  ,--,--,--
data,150,16        ,23   1/2  ,1   7/16 ,1   7/16 ,21   1/4  ,1   1/8  ,16        ,1        ,7   1/2  ,8        ,6   1/2  ,--,--,--
data,150,18        ,25        ,1   9/16 ,1   9/16 ,22   3/4  ,1   1/4  ,16        ,1   1/8  ,7   3/4  ,8   1/4  ,6   3/4  ,--,--,--
data,150,20        ,27   1/2  ,1  11/16 ,1  11/16 ,25        ,1   1/4  ,20        ,1   1/8  ,8        ,8   3/4  ,7   1/4  ,--,--,--
data,150,24        ,32        ,1   7/8  ,1   7/8  ,29   1/2  ,1   3/8  ,20        ,1   1/4  ,9        ,10        ,8        ,--,--,--
data,300,   1/2  ,3   3/4  ,   9/16 ,--,2   5/8  ,   5/8  ,4        ,   1/2  ,2   1/2  ,3        ,2   1/4  ,--,--,--
data,300,   3/4  ,4   5/8  ,   5/8  ,--,3   1/4  ,   3/4  ,4        ,   5/8  ,3        ,3   1/2  ,2   1/2  ,--,--,--
data,300,1        ,4   7/8  ,  11/16 ,--,3   1/2  ,   3/4  ,4        ,   5/8  ,3        ,3   1/2  ,2   1/2  ,--,--,--
data,300,1   1/4  ,5   1/4  ,   3/4  ,--,3   7/8  ,   3/4  ,4        ,   5/8  ,3   1/4  ,3   3/4  ,2   3/4  ,--,--,--
data,300,1   1/2  ,6   1/8  ,  13/16 ,--,4   1/2  ,   7/8  ,4        ,   3/4  ,3   1/2  ,4        ,3        ,--,--,--
data,300,2        ,6   1/4  ,   7/8  ,--,5        ,   3/4  ,4        ,   5/8  ,3   1/2  ,4        ,3        ,--,--,--
data,300,2   1/2  ,7   1/2  ,1        ,--,5   7/16 ,   7/8  ,8        ,   3/4  ,4        ,4   1/2  ,3   1/4  ,--,--,--
data,300,3        ,8   1/4  ,1   1/8  ,--,6   5/8  ,   7/8  ,8        ,   3/4  ,4   1/4  ,4   3/4  ,3   1/2  ,--,--,--
data,300,3   1/2  ,9        ,1   3/16 ,--,7   1/4  ,   7/8  ,8        ,   3/4  ,4   1/4  ,5        ,3   3/4  ,--,--,--
data,300,4        ,10        ,1   1/4  ,--,7   7/8  ,   7/8  ,8        ,   3/4  ,4   1/2  ,5        ,3   3/4  ,--,--,--
data,300,5        ,11        ,1   3/8  ,--,9   1/4  ,   7/8  ,8        ,   3/4  ,4   3/4  ,5   1/4  ,4   1/4  ,--,--,--
data,300,6        ,12   1/2  ,1   7/16 ,--,10   5/8  ,   7/8  ,12        ,   3/4  ,4   3/4  ,5   1/2  ,4   1/4  ,--,--,--
data,300,8        ,15        ,1   5/8  ,--,13        ,1        ,12        ,   7/8  ,5   1/2  ,6        ,4   3/4  ,--,--,--
data,300,10        ,17   1/2  ,1   7/8  ,--,15   1/4  ,1   1/8  ,16        ,1        ,6   1/4  ,6   3/4  ,5   1/2  ,--,--,--
data,300,12        ,20   1/2  ,2        ,--,17   3/4  ,1   1/4  ,16        ,1   1/8  ,6   3/4  ,7   1/4  ,5   3/4  ,--,--,--
data,300,14        ,23        ,2   1/8  ,--,20   1/4  ,1   1/4  ,20        ,1   1/8  ,7        ,7   1/2  ,6   1/4  ,--,--,--
data,300,16        ,25   1/2  ,2   1/4  ,--,22   1/2  ,1   3/8  ,20        ,1   1/4  ,7   1/2  ,8        ,6   1/2  ,--,--,--
data,300,18        ,28        ,2   3/8  ,--,24   3/4  ,1   3/8  ,24        ,1   1/4  ,7   3/4  ,8   1/4  ,6   3/4  ,--,--,--
data,300,20        ,30   1/2  ,2   1/2  ,--,27        ,1   3/8  ,24        ,1   1/4  ,8        ,8   3/4  ,7   1/4  ,--,--,--
data,300,24        ,36        ,2   3/4  ,--,32        ,1   5/8  ,24        ,1   1/2  ,9        ,10        ,8        ,--,--,--
data,400,   1/2  ,3   3/4  ,   9/16 ,--,2   5/8  ,   5/8  ,4        ,   1/2  ,--,--,--,3        ,2   3/4  ,3        
data,400,   3/4  ,4   5/8  ,   5/8  ,--,3   1/4  ,   3/4  ,4        ,   5/8  ,--,--,--,3   1/2  ,3   1/4  ,3   1/2  
data,400,1        ,4   7/8  ,  11/16 ,--,3   1/2  ,   3/4  ,4        ,   5/8  ,--,--,--,3   1/2  ,3   1/4  ,3   1/2  
data,400,1   1/4  ,5   1/4  ,  13/16 ,--,3   7/8  ,   3/4  ,4        ,   5/8  ,--,--,--,3   3/4  ,3   1/2  ,3   3/4  
data,400,1   1/2  ,6   1/8  ,   7/8  ,--,4   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,400,2        ,6   1/2  ,1        ,--,5        ,   3/4  ,8        ,   5/8  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,400,2   1/2  ,7   1/2  ,1   1/8  ,--,5   7/8  ,   7/8  ,8        ,   3/4  ,--,--,--,4   3/4  ,4   1/2  ,4   3/4  
data,400,3        ,8   1/4  ,1   1/4  ,--,6   5/8  ,   7/8  ,8        ,   3/4  ,--,--,--,5        ,4   3/4  ,5        
data,400,3   1/2  ,9        ,1   3/8  ,--,7   1/4  ,1        ,8        ,   7/8  ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,400,4        ,10        ,1   3/8  ,--,7   7/8  ,1        ,8        ,   7/8  ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,400,5        ,11        ,1   1/2  ,--,9   1/4  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,400,6        ,12   1/2  ,1   5/8  ,--,10   5/8  ,1        ,12        ,   7/8  ,--,--,--,6        ,5   3/4  ,6        
data,400,8        ,15        ,1   7/8  ,--,13        ,1   1/8  ,12        ,1        ,--,--,--,6   3/4  ,6   1/2  ,6   3/4  
data,400,10        ,17   1/2  ,2   1/8  ,--,15   1/4  ,1   1/4  ,16        ,1   1/8  ,--,--,--,7   1/2  ,7   1/4  ,7   1/2  
data,400,12        ,20   1/2  ,2   1/4  ,--,17   3/4  ,1   3/8  ,16        ,1   1/4  ,--,--,--,8        ,7   3/4  ,8        
data,400,14        ,23        ,2   3/8  ,--,20   1/4  ,1   3/8  ,20        ,1   1/4  ,--,--,--,8   1/4  ,8        ,8   1/4  
data,400,16        ,25   1/2  ,2   1/2  ,--,22   1/2  ,1   1/2  ,20        ,1   3/8  ,--,--,--,8   3/4  ,8   1/2  ,8   3/4  
data,400,18        ,28        ,2   5/8  ,--,24   3/4  ,1   1/2  ,24        ,1   3/8  ,--,--,--,9        ,8   3/4  ,9        
data,400,20        ,30   1/2  ,2   3/4  ,--,27        ,1   5/8  ,24        ,1   1/2  ,--,--,--,9   1/2  ,9   1/4  ,9   3/4  
data,400,24        ,36        ,3        ,--,32        ,1   7/8  ,24        ,1   3/4  ,--,--,--,10   1/2  ,10   1/4  ,11        
data,600,0.5,3   3/4  ,   9/16 ,--,2   5/8  ,   5/8  ,4        ,   1/2  ,--,--,--,3        ,2   3/4  ,3 
data,600,0.5,3   3/4  ,   9/16 ,--,2   5/8  ,   5/8  ,4        ,   1/2  ,--,--,--,3        ,2   3/4  ,3        
data,600,0.75,4   5/8  ,   5/8  ,--,3   1/4  ,   3/4  ,4        ,   5/8  ,--,--,--,3   1/2  ,3   1/4  ,3   1/2  
data,600,1,4   7/8  ,  11/16 ,--,3   1/2  ,   3/4  ,4        ,   5/8  ,--,--,--,3   1/2  ,3   1/4  ,3   1/2  
data,600,1.25,5   1/4  ,  13/16 ,--,3   7/8  ,   3/4  ,4        ,   5/8  ,--,--,--,3   3/4  ,3   1/2  ,3   3/4  
data,600,1.5,6   1/8  ,   7/8  ,--,4   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,600,2,6   1/2  ,1        ,--,5        ,   3/4  ,8        ,   5/8  ,--,--,--,4   1/4  ,4        ,4   1/4  
data,600,2.5,7   1/2  ,1   1/8  ,--,5   7/8  ,   7/8  ,8        ,   3/4  ,--,--,--,4   3/4  ,4   1/2  ,4   3/4  
data,600,3,8   1/4  ,1   1/4  ,--,6   5/8  ,   7/8  ,8        ,   3/4  ,--,--,--,5        ,4   3/4  ,5        
data,600,3.5,9        ,1   3/8  ,--,7   1/4  ,1        ,8        ,   7/8  ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,600,4,10   3/4  ,1   1/2  ,--,8   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,600,5,13        ,1   3/4  ,--,10   1/2  ,1   1/8  ,8        ,1        ,--,--,--,6   1/2  ,6   1/4  ,6   1/2  
data,600,6,14        ,1   7/8  ,--,11   1/2  ,1   1/8  ,12        ,1        ,--,--,--,6   3/4  ,6   1/2  ,6   3/4  
data,600,8,16   1/2  ,2   3/16 ,--,13   3/4  ,1   1/4  ,12        ,1   1/8  ,--,--,--,7   1/2  ,7   1/4  ,7   3/4  
data,600,10,20        ,2   1/2  ,--,17        ,1   3/8  ,16        ,1   1/4  ,--,--,--,8   1/2  ,8   1/2  ,8   1/2  
data,600,12,22        ,2   5/8  ,--,19   1/4  ,1   3/8  ,20        ,1   1/4  ,--,--,--,8   3/4  ,8   1/2  ,8   3/4  
data,600,14,23   3/4  ,2   3/4  ,--,20   3/4  ,1   1/2  ,20        ,1   3/8  ,--,--,--,9   1/4  ,9        ,9   1/4  
data,600,16,27        ,3        ,--,23   3/4  ,1   5/8  ,20        ,1   1/2  ,--,--,--,10        ,9   3/4  ,10        
data,600,18,29   1/4  ,3   1/4  ,--,25   3/4  ,1   3/4  ,20        ,1   5/8  ,--,--,--,10   3/4  ,10   1/2  ,10   3/4  
data,600,20,32        ,3   1/2  ,--,28   1/2  ,1   3/4  ,24        ,1   5/8  ,--,--,--,11   1/4  ,11        ,11   1/2  
data,600,24,37        ,4        ,--,33        ,2        ,24        ,1   7/8  ,--,--,--,13        ,12   3/4  ,13   1/4  
data,900,0.5,4   3/4  ,   7/8  ,--,3   1/4  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4        ,4   1/2  
data,900,0.75,5   1/8  ,1        ,--,3   1/2  ,   7/8  ,4        ,   3/4  ,--,--,--,4   1/2  ,4   1/4  ,4   1/2  
data,900,1,5   7/8  ,1   1/8  ,--,4        ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,900,1.25,6   1/4  ,1   1/8  ,--,4   3/8  ,1        ,4        ,   7/8  ,--,--,--,5        ,4   3/4  ,5        
data,900,1.5,7        ,1   1/4  ,--,4   7/8  ,1   1/8  ,4        ,1        ,--,--,--,5   1/2  ,5   1/4  ,5   1/2  
data,900,2,8   1/2  ,1   1/2  ,--,6   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,900,2.5,9   3/8  ,1   5/8  ,--,7   1/2  ,1   1/8  ,8        ,1        ,--,--,--,6   1/4  ,6        ,6   1/4  
data,900,3,9        ,1   1/2  ,--,7   1/2  ,1        ,8        ,   7/8  ,--,--,--,5   3/4  ,5   1/2  ,5   3/4  
data,900,4,11   1/2  ,1   3/4  ,--,9   1/4  ,1   1/4  ,8        ,1   1/8  ,--,--,--,6   3/4  ,6   1/2  ,6   3/4  
data,900,5,13   3/4  ,2        ,--,11        ,1   3/8  ,8        ,1   1/4  ,--,--,--,7   1/2  ,7   1/4  ,7   1/2  
data,900,6,15        ,2   3/16 ,--,12   1/2  ,1   1/4  ,12        ,1   1/8  ,--,--,--,7   1/2  ,7   1/4  ,7   3/4  
data,900,8,18   1/2  ,2   1/2  ,--,15   1/2  ,1   1/2  ,12        ,1   3/8  ,--,--,--,8   3/4  ,8   1/2  ,8   3/4  
data,900,10,21   1/2  ,2   3/4  ,--,18   1/2  ,1   1/2  ,16        ,1   3/8  ,--,--,--,9   1/4  ,9        ,9   1/4  
data,900,12,24        ,3   1/8  ,--,21        ,1   1/2  ,20        ,1   3/8  ,--,--,--,10        ,9   3/4  ,10        
data,900,14,25   1/4  ,3   3/8  ,--,22        ,1   5/8  ,20        ,1   1/2  ,--,--,--,10   3/4  ,10   1/2  ,11        
