,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric,,
heading,Nominal Size,Nominal Outside Dia. (in),API Std.,"Standard
X-Strong
XXS",Pipe Schedule,"Nom. Wall Thickness
(in)",Nom. Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),e (ft) (Roughness),"e/D
",,
data,0.125,0.405,,,10S,0.049,0.3070,0.07400,0.02560,0.00050,0.000150,0.005863,,
data,0.125,0.405,5L,STD,40,0.068,0.2690,0.05680,0.02240,0.00040,0.000150,0.006691,,
data,0.125,0.405,5L,XS,80,0.095,0.2150,0.03630,0.01790,0.00030,0.000150,0.008372,,
data,0.250,0.540,,,10S,0.065,0.4100,0.13200,0.03420,0.00090,0.000150,0.004390,,
data,0.250,0.540,5L,STD,40,0.088,0.3640,0.10410,0.03030,0.00070,0.000150,0.004945,,
data,0.250,0.540,5L,XS,80,0.119,0.3020,0.07160,0.02520,0.00050,0.000150,0.005960,,
data,0.375,0.675,,,10S,0.065,0.5450,0.23330,0.04540,0.00160,0.000150,0.003303,,
data,0.375,0.675,5L,STD,40,0.091,0.4930,0.19090,0.04110,0.00130,0.000150,0.003651,,
data,0.375,0.675,5L,XS,80,0.126,0.4230,0.14050,0.03530,0.00100,0.000150,0.004255,,
data,0.500,0.840,,,5S,0.065,0.5100,0.20430,0.04250,0.00140,0.000150,0.003529,,
data,0.500,0.840,,,10S,0.083,0.4740,0.17650,0.03950,0.00120,0.000150,0.003797,,
data,0.500,0.840,5L,STD,40,0.109,0.4220,0.13990,0.03520,0.00100,0.000150,0.004265,,
data,0.500,0.840,5L,XS,80,0.147,0.3460,0.09400,0.02880,0.00070,0.000150,0.005202,,
data,0.500,0.840,,,160,0.188,0.2640,0.05470,0.02200,0.00040,0.000150,0.006818,,
data,0.500,0.840,5L,XXS,,0.294,0.0520,0.00210,0.00430,0.00000,0.000150,0.034615,,
data,0.750,1.050,,,5S,0.065,0.9200,0.66480,0.07670,0.00460,0.000150,0.001957,,
