,numeric,numeric,string,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,Nominal Outside dia [in],API Standard,"Standard
X-Strong
XX-Strong",Pipe Schedule,"Wall Thickness
in. Nom",Internal Diameter in. Nom,Internal Area Square Inches,Internal Diameter Feet,Internal Area Square Feet,e (ft),"e/D
"
data,8,8.625,,,5S,0.109,8.407,55.51,0.701,0.385,0.00015,0.000214107
data,8,8.625,,,10S,0.148,8.329,54.485,0.694,0.378,0.00015,0.000216112
data,8,8.625,5L,,,0.188,8.249,53.443,0.687,0.371,0.00015,0.000218208
data,8,8.625,,,,0.203,8.219,53.055,0.685,0.368,0.00015,0.000219005
data,8,8.625,5L,,,0.219,8.187,52.643,0.682,0.366,0.00015,0.000219861
data,8,8.625,5L,,20,0.25,8.125,51.849,0.677,0.36,0.00015,0.000221538
data,8,8.625,5L,,30,0.277,8.071,51.162,0.673,0.355,0.00015,0.000223021
data,8,8.625,5L,,,0.312,8.001,50.278,0.667,0.349,0.00015,0.000224972
data,8,8.625,5L,STD,40,0.322,7.981,50.027,0.665,0.347,0.00015,0.000225536
data,8,8.625,5L,,,0.344,7.937,49.477,0.661,0.344,0.00015,0.000226786
data,8,8.625,5L,,,0.375,7.875,48.707,0.656,0.338,0.00015,0.000228571
data,8,8.625,5L,,60,0.406,7.813,47.943,0.651,0.333,0.00015,0.000230385
data,8,8.625,5L,,,0.438,7.749,47.161,0.646,0.328,0.00015,0.000232288
data,8,8.625,5L,XS,80,0.5,7.625,45.664,0.635,0.317,0.00015,0.000236066
data,8,8.625,5L,,100,0.594,7.437,43.44,0.62,0.302,0.00015,0.000242033
data,8,8.625,5L,,120,0.719,7.187,40.568,0.599,0.282,0.00015,0.000250452
data,8,8.625,5L,,140,0.812,7.001,38.496,0.583,0.267,0.00015,0.000257106
data,8,8.625,5L,XXS,,0.875,6.875,37.122,0.573,0.258,0.00015,0.000261818
data,8,8.625,,,160,0.906,6.813,36.456,0.568,0.253,0.00015,0.000264201
data,10,10.75,,,5S,0.134,10.482,86.294,0.874,0.599,0.00015,0.000171723
data,10,10.75,,,10S,0.165,10.42,85.276,0.868,0.592,0.00015,0.000172745
data,10,10.75,5L,,,0.188,10.374,84.524,0.865,0.587,0.00015,0.000173511
data,10,10.75,5L,,,0.203,10.344,84.036,0.862,0.584,0.00015,0.000174014
data,10,10.75,5L,,,0.219,10.312,83.517,0.859,0.58,0.00015,0.000174554
data,10,10.75,5L,,20,0.25,10.25,82.516,0.854,0.573,0.00015,0.00017561
data,10,10.75,5L,,,0.279,10.192,81.585,0.849,0.567,0.00015,0.000176609
data,10,10.75,5L,,30,0.307,10.136,80.691,0.845,0.56,0.00015,0.000177585
data,10,10.75,5L,,,0.344,10.062,79.517,0.839,0.552,0.00015,0.000178891
data,10,10.75,5L,STD,40,0.365,10.02,78.854,0.835,0.548,0.00015,0.000179641
data,10,10.75,5L,,,0.438,9.874,76.573,0.823,0.532,0.00015,0.000182297
data,10,10.75,5L,XS,60,0.5,9.75,74.662,0.813,0.518,0.00015,0.000184615
data,10,10.75,,,80S*,0.5,9.75,74.662,0.813,0.518,0.00015,0.000184615
data,10,10.75,,,80,0.594,9.562,71.81,0.797,0.499,0.00015,0.000188245
data,10,10.75,5L,,100,0.719,9.312,68.105,0.776,0.473,0.00015,0.000193299
data,10,10.75,,,120,0.844,9.062,64.497,0.755,0.448,0.00015,0.000198632
data,10,10.75,5L,XXS,140,1,8.75,60.132,0.729,0.418,0.00015,0.000205714
data,10,10.75,,,160,1.125,8.5,56.745,0.708,0.394,0.00015,0.000211765
data,12,12.75,,,5S,0.156,12.438,121.504,1.037,0.844,0.00015,0.000144718
data,12,12.75,,,10S,0.18,12.39,120.568,1.033,0.837,0.00015,0.000145278
data,12,12.75,,,,0.203,12.344,119.675,1.029,0.831,0.00015,0.00014582
data,12,12.75,5L,,,0.219,12.312,119.055,1.026,0.827,0.00015,0.000146199
data,12,12.75,5L,,20,0.25,12.25,117.859,1.021,0.818,0.00015,0.000146939
data,12,12.75,5L,,,0.281,12.188,116.669,1.016,0.81,0.00015,0.000147686
data,12,12.75,5L,,,0.312,12.126,115.485,1.011,0.802,0.00015,0.000148441
data,12,12.75,5L,,30,0.33,12.09,114.8,1.008,0.797,0.00015,0.000148883
data,12,12.75,5L,,,0.344,12.062,114.269,1.005,0.794,0.00015,0.000149229
data,12,12.75,5L,STD,,0.375,12,113.097,1,0.785,0.00015,0.00015
data,12,12.75,,,40S,0.375,12,113.097,1,0.785,0.00015,0.00015
data,12,12.75,5L,,40,0.406,11.938,111.932,0.995,0.777,0.00015,0.000150779
data,12,12.75,5L,,,0.438,11.874,110.735,0.99,0.769,0.00015,0.000151592
data,12,12.75,5L,XS,,0.5,11.75,108.434,0.979,0.753,0.00015,0.000153191
data,12,12.75,,,80S*,0.5,11.75,108.434,0.979,0.753,0.00015,0.000153191
data,12,12.75,5L,,60,0.562,11.626,106.157,0.969,0.737,0.00015,0.000154825
data,12,12.75,5L,,80,0.688,11.374,101.605,0.948,0.706,0.00015,0.000158256
data,12,12.75,,,100,0.844,11.062,96.107,0.922,0.667,0.00015,0.000162719
data,12,12.75,5L,XXS,120,1,10.75,90.763,0.896,0.63,0.00015,0.000167442
data,12,12.75,5L,,140,1.125,10.5,86.59,0.875,0.601,0.00015,0.000171429
data,12,12.75,5L,,160,1.312,10.126,80.531,0.844,0.559,0.00015,0.00017776
