,numeric,numeric,string,string,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size (in),Nominal Outside Diamter (in),API Standard,"Standard, X-Strong, or XX-Strong",Pipe Schedule,"Nominal Wall Thickness
(in)",Nominal Internal Diameter (in),Internal Area (in²),Internal Diameter (ft),Internal Area (ft²),"e/D
(e=0.00015 ft)"
data,20,20,,,5S,0.188,19.624,302.458,1.635,2.100,0.000092
data,20,20,,,10S*,0.218,19.564,300.611,1.630,2.088,0.000092
data,20,20,5L,,10,0.25,19.5,298.648,1.625,2.074,0.000092
data,20,20,5L,,,0.281,19.438,296.752,1.620,2.061,0.000093
data,20,20,5L,,,0.312,19.376,294.862,1.615,2.048,0.000093
data,20,20,5L,,,0.344,19.312,292.917,1.609,2.034,0.000093
data,20,20,5L,STD,20,0.375,19.25,291.039,1.604,2.021,0.000094
data,20,20,5L,,,0.406,19.188,289.167,1.599,2.008,0.000094
data,20,20,5L,,,0.438,19.124,287.242,1.594,1.995,0.000094
data,20,20,5L,,,0.469,19.062,285.382,1.589,1.982,0.000094
data,20,20,5L,XS,30,0.5,19,283.529,1.583,1.969,0.000095
data,20,20,,,40,0.594,18.812,277.946,1.568,1.930,0.000096
data,20,20,5L,,60,0.812,18.376,265.211,1.531,1.842,0.000098
data,20,20,,,80,1.031,17.938,252.719,1.495,1.755,0.000100346
data,20,20,,,100,1.281,17.438,238.827,1.453,1.659,0.000103223
data,20,20,,,120,1.5,17,226.980,1.417,1.576,0.000105882
data,20,20,,,140,1.75,16.5,213.825,1.375,1.485,0.000109091
data,20,20,,,160,1.969,16.062,202.623,1.339,1.407,0.000112066
data,22,22,,,5S,0.188,21.624,367.250,1.802,2.550,0.000083
data,22,22,,,10S*,0.218,21.564,365.215,1.797,2.536,0.000083
data,22,22,5L,,10,0.25,21.5,363.050,1.792,2.521,0.000084
data,22,22,5L,,,0.281,21.438,360.959,1.787,2.507,0.000084
data,22,22,5L,,,0.312,21.376,358.875,1.781,2.492,0.000084
data,22,22,5L,,,0.344,21.312,356.729,1.776,2.477,0.000084
data,22,22,5L,STD,20,0.375,21.25,354.656,1.771,2.463,0.000085
data,22,22,5L,,,0.406,21.188,352.590,1.766,2.449,0.000085
data,22,22,5L,,,0.438,21.124,350.463,1.760,2.434,0.000085
data,22,22,5L,,,0.469,21.062,348.409,1.755,2.420,0.000085
data,22,22,5L,XS,30,0.5,21,346.361,1.750,2.405,0.000086
data,22,22,5L,,,0.625,20.75,338.163,1.729,2.348,0.000087
data,22,22,5L,,60,0.875,20.25,322.062,1.688,2.237,0.000089
data,22,22,5L,,80,1.125,19.75,306.354,1.646,2.127,0.000091
data,22,22,5L,,100,1.375,19.25,291.039,1.604,2.021,0.000094
data,22,22,,,120,1.625,18.75,276.117,1.563,1.917,0.000096
data,22,22,,,140,1.875,18.25,261.587,1.521,1.817,0.000099
data,22,22,,,160,2.125,17.75,247.450,1.479,1.718,0.000101
data,24,24,,,5S,0.218,23.564,436.102,1.964,3.028,0.000076
data,24,24,5L 5LX,,10,0.25,23.5,433.736,1.958,3.012,0.000077
data,24,24,5L 5LX,,,0.281,23.438,431.451,1.953,2.996,0.000077
data,24,24,5L 5LX,,,0.312,23.376,429.171,1.948,2.980,0.000077
data,24,24,5L 5LX,,,0.344,23.312,426.824,1.943,2.964,0.000077
data,24,24,5L 5LX,STD,20,0.375,23.25,424.557,1.938,2.948,0.000077
data,24,24,5LX,,,0.406,23.188,422.296,1.932,2.933,0.000078
data,24,24,5L 5LX,,,0.438,23.124,419.968,1.927,2.916,0.000078
data,24,24,5LX,,,0.469,23.062,417.719,1.922,2.901,0.000078
data,24,24,5L 5LX,XS,,0.5,23,415.476,1.917,2.885,0.000078
data,24,24,5L 5LX,,30,0.562,22.876,411.008,1.906,2.854,0.000079
data,24,24,5L 5LX,,40,0.688,22.624,402.002,1.885,2.792,0.000080
data,24,24,,,60,0.969,22.062,382.278,1.839,2.655,0.000082
data,24,24,,,80,1.219,21.562,365.147,1.797,2.536,0.000083
data,24,24,,,100,1.531,20.938,344.318,1.745,2.391,0.000086
data,24,24,,,120,1.812,20.376,326.083,1.698,2.264,0.000088
data,24,24,,,140,2.062,19.876,310.276,1.656,2.155,0.000091
data,24,24,,,160,2.344,19.312,292.917,1.609,2.034,0.000093
