,numeric,numeric,string,string,string,string,string
heading,Outside Diameter (in),"Nominal Weight, Threads & Coupling (lb. per ft)",Grade,Short Thread,Long Thread,Buttress Thread,Extreme Line Thread
data,4.5,9.50,"H,J,K",X,-,-,-
data,4.5,10.50,"J,K",X,-,X,-
data,4.5,11.60,"J,K",X,X,X,-
data,4.5,11.60,N,-,X,X,-
data,4.5,13.50,N,-,X,X,-
data,5,11.50,"J,K",X,-,-,-
data,5,13.00,"J,K",X,X,X,-
data,5,15.00,"J,K",X,X,X,X
data,5,15.00,N,-,X,X,X
data,5,18.00,N,-,X,X,X
data,5.5,14.00,"H,J,K",X,-,-,-
data,5.5,15.50,"J,K",X,X,X,X
data,5.5,17.00,"J,K",X,X,X,X
data,5.5,17.00,N,-,X,X,X
data,5.5,20.00,N,-,X,X,X
data,5.5,23.00,N,-,X,X,X
data,6.625,20.00,H,X,-,-,-
data,6.625,20.00,"J,K",X,X,X,-
data,6.625,24.00,"J,K",X,X,X,X
data,6.625,24.00,N,-,X,X,X
data,6.625,28.00,N,-,X,X,X
data,6.625,32.00,N,-,X,X,X
data,7,17.00,H,X,-,-,-
data,7,20.00,"H,J,K",X,-,-,-
data,7,23.00,"J,K",X,X,X,X
data,7,23.00,N,-,X,X,X
data,7,26.00,"J,K",X,X,X,X
data,7,26.00,N,-,X,X,X
data,7,29.00,N,-,X,X,X
data,7,32.00,N,-,X,X,X
data,7,35.00,N,-,X,X,X
data,7,38.00,N,-,X,X,X
data,7.625,24.00,H,X,-,-,-
data,7.625,26.40,"J,K",X,X,X,X
data,7.625,26.40,N,-,X,X,X
data,7.625,29.70,N,-,X,X,X
data,7.625,33.70,N,-,X,X,X
data,7.625,39.00,N,-,X,X,X
