,numeric,numeric,string,string,string,string,string
heading,Outside Diameter (mm),"Nominal Weight, Threads and Coupling (kg per m)",Grade,Short Thread,Long Thread,Buttress Thread,Extreme Line Thread
data,219.1,35.72,"J,K",X,-,-,-
data,219.1,41.67,H,X,-,-,-
data,219.1,47.62,H,X,-,-,-
data,219.1,47.62,"J,K",X,X,X,X
data,219.1,53.57,"J,K",X,X,X,X
data,219.1,53.57,N,-,X,X,X
data,219.1,59.53,N,-,X,X,X
data,219.1,65.48,N,-,X,X,X
data,219.1,72.92,N,-,X,X,X
data,244.5,48.07,H,X,-,-,-
data,244.5,53.57,H,X,-,-,-
data,244.5,53.57,"J,K",X,X,X,-
data,244.5,59.53,"J,K",X,X,X,X
data,244.5,59.53,N,-,X,X,X
data,244.5,64.73,N,-,X,X,X
data,244.5,69.94,N,-,X,X,X
data,244.5,79.62,N,-,X,X,X
data,273.0,48.74,H,X,-,-,-
data,273.0,60.27,H,X,-,-,-
data,273.0,60.27,"J,K",X,-,X,-
data,273.0,67.71,"J,K",X,-,X,X
data,273.0,75.90,"J,K,N",X,-,X,X
data,273.0,82.59,N,X,-,X,X
data,298.4,62.50,H,X,-,-,-
data,298.4,69.94,"J,K",X,-,X,-
data,298.4,80.36,"J,K",X,-,X,-
data,298.4,89.29,"J,K,N",X,-,X,-
data,339.7,71.43,H,X,-,-,-
data,339.7,81.10,"J,K",X,-,X,-
data,339.7,90.78,"J,K",X,-,X,-
data,339.7,101.19,"J,K",X,-,X,-
data,339.7,107.15,N,X,-,X,-
data,406.4,96.73,H,X,-,-,-
data,406.4,111.61,"J,K",X,-,X,-
data,406.4,125.01,"J,K",X,-,X,-
data,473.1,130.21,"H,J,K",X,-,-,-
data,508.0,139.89,"H,J,K",X,X,-,-
data,508.0,158.49,"J,K",X,X,-,-
data,508.0,197.92528,"J,K",X,X,-,-
