,numeric,numeric,text,,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,4,4.8,DR14-305 psi,,0.342857143,4.093714286,0.341142857,0.09140342,1.47E-05,0.000007
data,4,4.8,DR17-250 psi,,0.282352941,4.218352941,0.351529412,0.09705395,1.42E-05,0.000007
data,4,4.8,DR18-235 psi,,0.266666667,4.250666667,0.354222222,0.098546564,1.41E-05,0.000007
data,4,4.8,DR21-200 psi,,0.228571429,4.329142857,0.360761905,0.102218905,1.39E-05,0.000007
data,4,4.8,DR25-165 psi,,0.192,4.40448,0.36704,0.105807554,1.36E-05,0.000007
data,4,4.8,DR27.5-150 psi,,0.174545455,4.440436364,0.370036364,0.107542144,1.35E-05,0.000007
data,6,6.9,DR14-305 psi,,0.492857143,5.884714286,0.490392857,0.188876599,1.02E-05,0.000007
data,6,6.9,DR17-250 psi,,0.405882353,6.063882353,0.505323529,0.200552889,9.89E-06,0.000007
data,6,6.9,DR18-235 psi,,0.383333333,6.110333333,0.509194444,0.203637236,9.82E-06,0.000007
data,6,6.9,DR21-200 psi,,0.328571429,6.223142857,0.518595238,0.211225784,9.64E-06,0.000007
data,6,6.9,DR25-165 psi,,0.276,6.33144,0.52762,0.21864139,9.48E-06,0.000007
data,6,6.9,DR27.5-150 psi,,0.250909091,6.383127273,0.531927273,0.222225758,9.40E-06,0.000007
data,8,9.05,DR14-305 psi,,0.646428571,7.718357143,0.643196429,0.324920513,7.77E-06,0.000007
data,8,9.05,DR17-250 psi,,0.532352941,7.953352941,0.662779412,0.345006995,7.54E-06,0.000007
data,8,9.05,DR18-235 psi,,0.502777778,8.014277778,0.667856481,0.350312933,7.49E-06,0.000007
data,8,9.05,DR21-200 psi,,0.430952381,8.162238095,0.680186508,0.363367355,7.35E-06,0.000007
data,8,9.05,DR25-165 psi,,0.362,8.30428,0.692023333,0.37612427,7.23E-06,0.000007
data,8,9.05,DR27.5-150 psi,,0.329090909,8.372072727,0.697672727,0.382290384,7.17E-06,0.000007
data,10,11.1,DR14-305 psi,,0.792857143,9.466714286,0.788892857,0.488794071,6.34E-06,0.000007
data,10,11.1,DR17-250 psi,,0.652941176,9.754941176,0.812911765,0.519011163,6.15E-06,0.000007
data,10,11.1,DR18-235 psi,,0.616666667,9.829666667,0.819138889,0.526993151,6.10E-06,0.000007
data,10,11.1,DR21-200 psi,,0.528571429,10.01114286,0.834261905,0.546631566,5.99E-06,0.000007
data,10,11.1,DR25-165 psi,,0.444,10.18536,0.84878,0.565822426,5.89E-06,0.000007
data,10,11.1,DR27.5-150 psi,,0.403636364,10.26850909,0.855709091,0.575098418,5.84E-06,0.000007
data,12,13.2,DR14-305 psi,,0.942857143,11.25771429,0.938142857,0.691238364,5.33E-06,0.000007
data,12,13.2,DR17-250 psi,,0.776470588,11.60047059,0.966705882,0.733970498,5.17E-06,0.000007
data,12,13.2,DR18-235 psi,,0.733333333,11.68933333,0.974111111,0.745258393,5.13E-06,0.000007
data,12,13.2,DR21-200 psi,,0.628571429,11.90514286,0.992095238,0.773030468,5.04E-06,0.000007
data,12,13.2,DR25-165 psi,,0.528,12.11232,1.00936,0.800169625,4.95E-06,0.000007
data,12,13.2,DR27.5-150 psi,,0.48,12.2112,1.0176,0.813287464,4.91E-06,0.000007
data,14,15.3,DR14-305 psi,,1.092857143,13.04871429,1.087392857,0.92867303,4.60E-06,0.000007
data,14,15.3,DR17-250 psi,,0.9,13.446,1.1205,0.986083298,4.46E-06,0.000007
data,14,15.3,DR18-235 psi,,0.85,13.549,1.129083333,1.001248492,4.43E-06,0.000007
data,14,15.3,DR21-200 psi,,0.728571429,13.79914286,1.149928571,1.038560045,4.35E-06,0.000007
data,14,15.3,DR25-165 psi,,0.612,14.03928,1.16994,1.075021279,4.27E-06,0.000007
data,14,15.3,DR27.5-150 psi,,0.556363636,14.15389091,1.179490909,1.092644986,4.24E-06,0.000007
