,numeric,numeric,text,,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,3,3.5,DR13.5-315 psi,,0.259259259,2.965925926,0.247160494,0.047978646,2.02E-05,0.000007
data,4,4.5,DR13.5-315 psi,,0.333333333,3.813333333,0.317777778,0.07931164,1.57E-05,0.000007
data,5,5.563,DR13.5-315 psi,,0.412074074,4.714127407,0.392843951,0.121207647,1.27E-05,0.000007
data,6,6.625,DR13.5-315 psi,,0.490740741,5.614074074,0.467839506,0.171903083,1.07E-05,0.000007
data,8,8.625,DR13.5-315 psi,,0.638888889,7.308888889,0.609074074,0.291360121,8.21E-06,0.000007
data,10,10.75,DR13.5-315 psi,,0.796296296,9.10962963,0.759135802,0.452614882,6.59E-06,0.000007
data,12,12.75,DR13.5-315 psi,,0.944444444,10.80444444,0.90037037,0.636696219,5.55E-06,0.000007
data,14,14,DR13.5-315 psi,,1.037037037,11.8637037,0.988641975,0.76765834,5.06E-06,0.000007
data,16,16,DR13.5-315 psi,,1.185185185,13.55851852,1.129876543,1.002655791,4.43E-06,0.000007
data,18,18,DR13.5-315 psi,,1.333333333,15.25333333,1.271111111,1.268986236,3.93E-06,0.000007
data,20,20,DR13.5-315 psi,,1.481481481,16.94814815,1.412345679,1.566649673,3.54E-06,0.000007
data,24,24,DR13.5-315 psi,,1.777777778,20.33777778,1.694814815,2.25597553,2.95E-06,0.000007
data,30,30,DR13.5-315 psi,,2.222222222,25.42222222,2.118518519,3.524961765,2.36E-06,0.000007
data,36,36,DR13.5-315 psi,,2.666666667,30.50666667,2.542222222,5.075944942,1.97E-06,0.000007
data,3,3.5,DR17-250 psi,,0.205882353,3.075882353,0.256323529,0.051602035,1.95E-05,0.000007
data,4,4.5,DR17-250 psi,,0.264705882,3.954705882,0.329558824,0.085301323,1.52E-05,0.000007
data,5,5.563,DR17-250 psi,,0.327235294,4.888895294,0.407407941,0.130361354,1.23E-05,0.000007
data,6,6.625,DR17-250 psi,,0.389705882,5.822205882,0.485183824,0.184885353,1.03E-05,0.000007
data,8,8.625,DR17-250 psi,,0.507352941,7.579852941,0.631654412,0.313363889,7.92E-06,0.000007
data,10,10.75,DR17-250 psi,,0.632352941,9.447352941,0.787279412,0.48679675,6.35E-06,0.000007
data,12,12.75,DR17-250 psi,,0.75,11.205,0.93375,0.684780068,5.35E-06,0.000007
data,14,14,DR17-250 psi,,0.823529412,12.30352941,1.025294118,0.825632562,4.88E-06,0.000007
data,16,16,DR17-250 psi,,0.941176471,14.06117647,1.171764706,1.078377224,4.27E-06,0.000007
data,18,18,DR17-250 psi,,1.058823529,15.81882353,1.318235294,1.364821174,3.79E-06,0.000007
data,20,20,DR17-250 psi,,1.176470588,17.57647059,1.464705882,1.684964413,3.41E-06,0.000007
data,24,24,DR17-250 psi,,1.411764706,21.09176471,1.757647059,2.426348754,2.84E-06,0.000007
data,30,30,DR17-250 psi,,1.764705882,26.36470588,2.197058824,3.791169929,2.28E-06,0.000007
data,36,36,DR17-250 psi,,2.117647059,31.63764706,2.636470588,5.459284697,1.90E-06,0.000007
data,3,3.5,DR21-200 psi,,0.166666667,3.156666667,0.263055556,0.054348159,1.90E-05,0.000007
data,4,4.5,DR21-200 psi,,0.214285714,4.058571429,0.338214286,0.089840834,1.48E-05,0.000007
data,5,5.563,DR21-200 psi,,0.264904762,5.01729619,0.418108016,0.13729884,1.20E-05,0.000007
data,6,6.625,DR21-200 psi,,0.31547619,5.975119048,0.497926587,0.194724463,1.00E-05,0.000007
data,8,8.625,DR21-200 psi,,0.410714286,7.778928571,0.648244048,0.330040287,7.71E-06,0.000007
data,10,10.75,DR21-200 psi,,0.511904762,9.69547619,0.807956349,0.512702786,6.19E-06,0.000007
data,12,12.75,DR21-200 psi,,0.607142857,11.49928571,0.95827381,0.721222254,5.22E-06,0.000007
data,14,14,DR21-200 psi,,0.666666667,12.62666667,1.052222222,0.869570545,4.75E-06,0.000007
data,16,16,DR21-200 psi,,0.761904762,14.43047619,1.202539683,1.13576561,4.16E-06,0.000007
data,18,18,DR21-200 psi,,0.857142857,16.23428571,1.352857143,1.43745335,3.70E-06,0.000007
data,20,20,DR21-200 psi,,0.952380952,18.03809524,1.503174603,1.774633765,3.33E-06,0.000007
data,24,24,DR21-200 psi,,1.142857143,21.64571429,1.803809524,2.555472622,2.77E-06,0.000007
data,30,30,DR21-200 psi,,1.428571429,27.05714286,2.254761905,3.992925972,2.22E-06,0.000007
data,36,36,DR21-200 psi,,1.714285714,32.46857143,2.705714286,5.7498134,1.85E-06,0.000007
data,3,3.5,DR26-160 psi,,0.134615385,3.222692308,0.268557692,0.056645456,1.86E-05,0.000007
