,numeric,numeric,text,Text,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Diameter Ratio,Pressure,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data,6,6.14,DR51,80 psi,0.120,5.892,0.4910,0.1893,1.43E-05,0.000007
data,6,6.14,DR41,100 psi,0.150,5.832,0.4860,0.1855,1.44E-05,0.000007
data,6,6.14,DR32.5,125 psi,0.189,5.751,0.4792,0.1804,1.46E-05,0.000007
data,8,8.16,DR51,80 psi,0.160,7.830,0.6525,0.3344,1.07E-05,0.000007
data,8,8.16,DR41,100 psi,0.199,7.750,0.6458,0.3276,1.08E-05,0.000007
data,8,8.16,DR32.5,125 psi,0.251,7.643,0.6369,0.3186,1.10E-05,0.000007
data,10,10.2,DR51,80 psi,0.200,9.788,0.8157,0.5225,8.58E-06,0.000007
data,10,10.2,DR41,100 psi,0.249,9.688,0.8073,0.5119,8.67E-06,0.000007
data,10,10.2,DR32.5,125 psi,0.314,9.553,0.7961,0.4978,8.79E-06,0.000007
data,12,12.24,DR51,80 psi,0.240,11.746,0.9788,0.7525,7.15E-06,0.000007
data,12,12.24,DR41,100 psi,0.299,11.625,0.9688,0.7371,7.23E-06,0.000007
data,12,12.24,DR32.5,125 psi,0.377,11.464,0.9553,0.7168,7.33E-06,0.000007
data,15,15.3,DR51,80 psi,0.300,14.682,1.2235,1.1757,5.72E-06,0.000007
data,15,15.3,DR41,100 psi,0.373,14.531,1.2109,1.1517,5.78E-06,0.000007
data,15,15.3,DR32.5,125 psi,0.471,14.330,1.1942,1.1200,5.86E-06,0.000007
data,15,15.3,DR26,160 psi,0.588,14.088,1.1740,1.0825,5.96E-06,0.000007
data,15,15.3,DR21,200 psi,0.729,13.799,1.1499,1.0386,6.09E-06,0.000007
data,18,18.701,DR51,80 psi,0.367,17.946,1.4955,1.7565,4.68E-06,0.000007
data,18,18.701,DR41,100 psi,0.456,17.761,1.4801,1.7206,4.73E-06,0.000007
data,18,18.701,DR32.5,125 psi,0.575,17.516,1.4596,1.6733,4.80E-06,0.000007
data,18,18.701,DR26,160 psi,0.719,17.219,1.4349,1.6172,4.88E-06,0.000007
data,21,22.047,DR51,80 psi,0.432,21.156,1.7630,2.4413,3.97E-06,0.000007
data,21,22.047,DR41,100 psi,0.538,20.939,1.7449,2.3914,4.01E-06,0.000007
data,21,22.047,DR32.5,125 psi,0.678,20.650,1.7208,2.3257,4.07E-06,0.000007
data,21,22.047,DR26,160 psi,0.848,20.300,1.6917,2.2476,4.14E-06,0.000007
data,24,24.803,DR51,80 psi,0.486,23.801,1.9834,3.0898,3.53E-06,0.000007
data,24,24.803,DR41,100 psi,0.605,23.557,1.9631,3.0266,3.57E-06,0.000007
data,24,24.803,DR32.5,125 psi,0.763,23.231,1.9359,2.9435,3.62E-06,0.000007
data,24,24.803,DR26,160 psi,0.954,22.838,1.9032,2.8447,3.68E-06,0.000007
data,27,27.953,DR51,80 psi,0.548,26.824,2.2353,3.9244,3.13E-06,0.000007
data,27,27.953,DR41,100 psi,0.682,26.549,2.2124,3.8442,3.16E-06,0.000007
data,27,27.953,DR32.5,125 psi,0.860,26.181,2.1818,3.7386,3.21E-06,0.000007
data,27,27.953,DR26,160 psi,1.075,25.738,2.1449,3.6131,3.26E-06,0.000007
