,numeric,numeric,text,,numeric,numeric,numeric,numeric,numeric,numeric
heading,Nominal Size,"Outside Diameter, inches",Identification,Pipe Schedule,"Min. wall thickness, in.","Approx. ID, in","Internal Diameter, feet","Internal Area, square feet","e/D, Relative Roughness","e, Absolute Roughness, feet"
data, 1/2,0.84,,40,0.109,0.61546,0.051288333,0.002065984,3.39E-03,0.000007
data, 1/2,0.84,,80,0.147,0.53718,0.044765,0.001573863,4.45E-03,0.000007
data, 3/4,1.05,,40,0.113,0.81722,0.068101667,0.003642549,1.92E-03,0.000007
data, 3/4,1.05,,80,0.154,0.73276,0.061063333,0.002928538,2.39E-03,0.000007
data,1,1.315,,40,0.133,1.04102,0.086751667,0.00591079,1.18E-03,0.000007
data,1,1.315,,80,0.179,0.94626,0.078855,0.004883693,1.43E-03,0.000007
data,1 1/4,1.66,,40,0.14,1.3716,0.1143,0.010260826,6.82E-04,0.000007
data,1 1/4,1.66,,80,0.191,1.26654,0.105545,0.008749137,8.00E-04,0.000007
data,1 1/2,1.9,,40,0.145,1.6013,0.133441667,0.013985333,5.01E-04,0.000007
data,1 1/2,1.9,,80,0.2,1.488,0.124,0.012076282,5.80E-04,0.000007
data,2,2.375,,40,0.154,2.05776,0.17148,0.02309494,3.03E-04,0.000007
data,2,2.375,,80,0.218,1.92592,0.160493333,0.020230372,3.46E-04,0.000007
data,2 1/2,2.875,,40,0.203,2.45682,0.204735,0.032921079,2.13E-04,0.000007
data,2 1/2,2.875,,80,0.276,2.30644,0.192203333,0.029014274,2.41E-04,0.000007
data,3,3.5,,40,0.216,3.05504,0.254586667,0.050905088,1.38E-04,0.000007
data,3,3.5,,80,0.3,2.882,0.240166667,0.045301788,1.55E-04,0.000007
data,3 1/2,4,,40,0.226,3.53444,0.294536667,0.068134742,1.03E-04,0.000007
data,3 1/2,4,,80,0.318,3.34492,0.278743333,0.061023745,1.15E-04,0.000007
data,4,4.5,,40,0.237,4.01178,0.334315,0.087781219,7.97E-05,0.000007
data,4,4.5,,80,0.337,3.80578,0.317148333,0.078997755,8.86E-05,0.000007
data,5,5.563,,40,0.375,4.7905,0.399208333,0.12516678,5.59E-05,0.000007
data,5,5.563,,80,0.42,4.6978,0.391483333,0.120369494,5.82E-05,0.000007
data,6,6.625,,40,0.28,6.0482,0.504016667,0.199516895,3.51E-05,0.000007
data,6,6.625,,80,0.432,5.73508,0.477923333,0.179393354,3.90E-05,0.000007
data,8,8.625,,40,0.322,7.96168,0.663473333,0.345729809,2.02E-05,0.000007
data,8,8.625,,80,0.5,7.595,0.632916667,0.314617551,2.22E-05,0.000007
data,10,10.75,,40,0.365,9.9981,0.833175,0.545208153,1.28E-05,0.000007
data,10,10.75,,80,0.593,9.52842,0.794035,0.49518693,1.41E-05,0.000007
data,12,12.75,,40,0.406,11.91364,0.992803333,0.774134343,9.04E-06,0.000007
data,12,12.75,,80,0.687,11.33478,0.944565,0.700734628,9.99E-06,0.000007
data,14,14,,40,0.437,13.09978,1.091648333,0.935955915,7.48E-06,0.000007
data,14,14,,80,0.75,12.455,1.037916667,0.84608667,8.27E-06,0.000007
data,16,16,,40,0.5,14.97,1.2475,1.222280801,5.73E-06,0.000007
data,16,16,,80,0.843,14.26342,1.188618333,1.109621161,6.31E-06,0.000007
