,text,text,text,text,text,text,text,text,text,text,text,text,text,text,text
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Diameter Flange (O),Min Thickness Flange (Q),Hub- Min Diameter (X),Hub- Min Length (Y),Hub- Min Thread Length (T),Raised Face Diameter (W),Bolting- # of Bolts ,Bolt Hole- Diameter Bolt Circle  ,Bolt Hole- Diameter Bolt Holes,Bolting- Bolt Diameter,Bolting- Length of Bolts ,Bolting- Length of Stud Bolts
tags,None,,,,,,,,,,,,,,
data,16.1,25,4,9,0.75,5.31,1.31,…,…,8,7.5, 3/4, 5/8,2.5,…
data,16.1,25,5,10,0.75,6.44,1.44,…,…,8,8.5, 3/4, 5/8,2.5,…
data,16.1,25,6,11,0.75,7.56,1.56,…,…,8,9.5, 3/4, 5/8,2.5,…
data,16.1,25,8,13.5,0.75,9.69,1.75,…,…,8,11.75, 3/4, 5/8,2.5,…
data,16.1,25,10,16,0.88,11.94,1.94,…,…,12,14.25, 3/4, 5/8,3,…
data,16.1,25,12,19,1,14.06,2.19,…,…,12,17, 3/4, 5/8,3,…
data,16.1,25,14,21,1.12,15.37,2.25,…,…,12,18.75, 7/8, 3/4,3.5,…
data,16.1,25,16,23.5,1.12,17.5,2.5,…,…,16,21.25, 7/8, 3/4,3.5,…
data,16.1,25,18,25,1.25,19.62,2.69,…,…,16,22.75, 7/8, 3/4,4,…
data,16.1,25,20,27.5,1.25,21.75,2.88,…,…,20,25, 7/8, 3/4,4,…
data,16.1,25,24,32,1.38,26,3.25,…,…,20,29.5, 7/8, 3/4,4,…
data,16.1,25,30,38.75,1.5,…,…,…,…,28,36,1, 7/8,4.5,…
data,16.1,25,36,46,1.62,…,…,…,…,32,42.75,1, 7/8,5,…
data,16.1,25,42,53,1.75,…,…,…,…,36,49.5,1 1/8,1,5.5,…
data,16.1,25,48,59.5,2,…,…,…,…,44,56,1 1/8,1,6,…
data,16.1,25,54,66.25,2.25,…,…,…,…,44,62.75,1 1/8,1,6.5,…
data,16.1,25,60,73,2.25,…,…,…,…,52,69.25,1 1/4,1 1/8,6.5,…
data,16.1,25,72,86.5,2.5,…,…,…,…,60,82.5,1 1/4,1 1/8,7,…
data,16.1,25,84,99.75,2.75,…,…,…,…,64,95.5,1 3/8,1 1/4,7.5,…
data,16.1,25,96,113.25,3,…,…,…,…,68,108.5,1 3/8,1 1/4,8,…
data,16.1,125,1,4.25,0.44,1.94,0.69,…,…,4,3.12, 5/8, 1/2,2,…
data,16.1,125,1 1/4,4.62,0.5,2.31,0.81,…,…,4,3.5, 5/8, 1/2,2,…
data,16.1,125,1 1/2,5,0.56,2.56,0.88,…,…,4,3.88, 5/8, 1/2,2,…
data,16.1,125,2,6,0.62,3.06,1,…,…,4,4.75, 3/4, 5/8,2.5,…
data,16.1,125,2 1/2,7,0.69,3.56,1.12,…,…,4,5.5, 3/4, 5/8,2.5,…
data,16.1,125,3,7.5,0.75,4.25,1.19,…,…,4,6, 3/4, 5/8,2.5,…
