,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Min Thickness Flange- WNF,Length Through Hub (Y),Diameter of Hub (X),Hub Diameter Top (A),Raised Face Diameter (R),Drilling-Daimeter Bolt Circle ,Drilling- # Bolt Holes,Drilling- Diameter Bolt Hole ,Diameter of Bolt,Length of Bolts- Stud Bolt Raised Face (1.6 mm)
tags,None,,,,,,,,,,,,,
data,16.47 Series A,300,26,972.00,78.00,183.00,721.00,660.40,749.00,876.30,28,44 4/9,41 2/7,270.00
data,16.47 Series A,300,28,1035.00,84.30,195.00,775.00,711.20,800.00,939.80,28,44 4/9,41 2/7,280.00
data,16.47 Series A,300,30,1092.00,90.70,208.00,827.00,762.00,857.00,997.00,28,47 5/8,44 4/9,300.00
data,16.47 Series A,300,32,1149.00,97.00,221.00,881.00,812.80,914.00,1054.10,28,50 4/5,47 5/8,320.00
data,16.47 Series A,300,34,1206.00,100.10,230.00,937.00,863.60,965.00,1104.90,28,50 4/5,47 5/8,330.00
data,16.47 Series A,300,36,1270.00,103.40,240.00,991.00,914.40,1022.00,1168.40,32,54    ,50.8,340.00
data,16.47 Series A,300,38,1168.00,106.40,179.00,994.00,965.20,1029.00,1092.20,32,41 2/7,38    ,32.00
data,16.47 Series A,300,40,1238.00,112.80,192.00,1048.00,1016.00,1086.00,1155.70,32,44 4/9,41 2/7,340.00
data,16.47 Series A,300,42,1289.00,117.60,199.00,1099.00,1066.80,1137.00,1206.50,32,44 4/9,41 2/7,350.00
data,16.47 Series A,300,44,1353.00,122.40,205.00,1149.00,1117.60,1194.00,1263.60,32,47 5/8,44 4/9,365.00
data,16.47 Series A,300,46,1416.00,127.00,214.00,1203.00,1168.40,1245.00,1320.80,28,50 4/5,47 5/8,380.00
data,16.47 Series A,300,48,1467.00,131.80,222.00,1254.00,1219.20,1302.00,1371.60,32,50 4/5,47 5/8,390.00
data,16.47 Series A,300,50,1530.00,138.20,230.00,1305.00,1270.00,1359.00,1428.80,32,54    ,50.8,410.00
data,16.47 Series A,300,52,1581.00,143.00,237.00,1356.00,1320.80,1410.00,1479.60,32,54    ,50.8,420.00
data,16.47 Series A,300,54,1657.00,150.90,251.00,1410.00,1371.60,1467.00,1549.40,28,60 1/3,57 1/7,450.00
data,16.47 Series A,300,56,1708.00,152.40,259.00,1464.00,1422.40,1518.00,1600.20,28,60 1/3,57 1/7,450.00
data,16.47 Series A,300,58,1759.00,157.20,265.00,1514.00,1473.20,1575.00,1651.00,32,60 1/3,57 1/7,465.00
data,16.47 Series A,300,60,1810.00,160.10,272.00,1565.00,1524.00,1626.00,1701.80,32,60 1/3,31 3/4,475.00
data,16.47 Series A,150,26,870.00,66.80,119.00,676.00,660.40,749.00,806.40,24,35    ,31 3/4,225.00
data,16.47 Series A,150,28,927.00,69.80,124.00,727.00,711.20,800.00,863.60,28,35    ,31 3/4,230.00
data,16.47 Series A,150,30,984.00,73.20,135.00,781.00,762.00,857.00,914.40,28,35    ,31 3/4,235.00
data,16.47 Series A,150,32,1060.00,79.50,143.00,832.00,812.80,914.00,977.90,28,41 2/7,38    ,265.00
data,16.47 Series A,150,34,1111.00,81.00,148.00,883.00,863.60,965.00,1028.70,32,41 2/7,38    ,270.00
data,16.47 Series A,150,36,1168.00,88.90,156.00,933.00,914.40,1022.00,1085.80,32,41 2/7,38    ,285.00
data,16.47 Series A,150,38,1238.00,85.90,156.00,991.00,965.20,1073.00,1149.40,32,41 2/7,38    ,280.00
data,16.47 Series A,150,40,1289.00,88.90,162.00,1041.00,1016.00,1124.00,1200.20,36,41 2/7,38    ,285.00
data,16.47 Series A,150,42,1346.00,95.20,170.00,1092.00,1066.80,1194.00,1257.30,36,41 2/7,38    ,300.00
data,16.47 Series A,150,44,1403.00,100.10,176.00,1143.00,1117.60,1245.00,1314.40,40,41 2/7,38    ,305.00
data,16.47 Series A,150,46,1454.00,101.60,184.00,1197.00,1168.40,1295.00,1365.20,40,41 2/7,38    ,310.00
data,16.47 Series A,150,48,1511.00,106.40,191.00,1248.00,1219.20,1359.00,1422.40,44,41 2/7,38    ,320.00
data,16.47 Series A,150,50,1568.00,109.70,202.00,1302.00,1270.00,1410.00,1479.60,44,47 5/8,44 4/9,340.00
data,16.47 Series A,150,52,1626.00,114.30,208.00,1353.00,1320.80,1431.00,1536.70,44,47 5/8,44 4/9,350.00
data,16.47 Series A,150,54,1683.00,119.10,214.00,1403.00,1371.60,15111.00,1593.80,44,47 5/8,44 4/9,360.00
data,16.47 Series A,150,56,1746.00,122.40,227.00,1457.00,1422.40,1575.00,1651.00,48,47 5/8,44 4/9,365.00
data,16.47 Series A,150,58,1803.00,127.00,233.00,1508.00,1473.20,1626.00,1708.20,48,47 5/8,44 4/9,380.00
data,16.47 Series A,150,60,1854.00,130.30,238.00,1559.00,1524.00,1676.00,1759.00,52,47 5/8,44 4/9,380.00
