,text,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,numeric,text,text,numeric
heading,ASME,Flange Class,Nominal Pipe Size (NPS),Outside Diameter Flange (O),Min Thickness Flange (T),Length Through Hub (Y),Diameter of Hub (X),Hub Diameter Top (A),Raised Face Diameter (R),Drilling-Daimeter Bolt Circle ,Drilling- # Bolt Holes,Drilling- Diameter Bolt Hole ,Diameter of Bolt,Length of Bolts- Stud Bolt Raised Face (.06 in)
tags,None,,,,,,,,,,,,,
data,16.47 Series A,300,26,38.25,3.07,7.19,28.38,26.00,29.50,34.50,28,1 3/4,1 5/8,10.50
data,16.47 Series A,300,28,40.75,3.32,7.69,30.50,28.00,31.50,37.00,28,1 3/4,1 5/8,11.00
data,16.47 Series A,300,30,43.00,3.57,8.19,32.56,30.00,33.75,39.25,28,1 7/8,1 3/4,11.75
data,16.47 Series A,300,32,45.25,3.82,8.69,34.69,32.00,36.00,41.50,28,2    ,1 7/8,12.75
data,16.47 Series A,300,34,47.50,3.94,9.07,36.88,34.00,38.00,43.50,28,2    ,1 7/8,13.00
data,16.47 Series A,300,36,50.00,4.07,9.44,39.00,36.00,40.25,46.00,32,2 1/8,2,13.50
data,16.47 Series A,300,38,46.00,4.19,7.06,39.12,38.00,40.50,43.00,32,1 5/8,1 1/2,12.50
data,16.47 Series A,300,40,48.75,4.44,7.56,41.25,40.00,42.75,45.50,32,1 3/4,1 5/8,13.25
data,16.47 Series A,300,42,50.75,4.63,7.82,43.25,42.00,44.75,47.50,32,1 3/4,1 5/8,13.75
data,16.47 Series A,300,44,53.25,4.82,8.06,45.25,44.00,47.00,49.75,32,1 7/8,1 3/4,14.50
data,16.47 Series A,300,46,55.75,5.00,8.44,47.38,46.00,49.00,52.00,28,2    ,1 7/8,15.00
data,16.47 Series A,300,48,57.75,5.19,8.75,49.38,48.00,51.25,54.00,32,2    ,1 7/8,15.50
data,16.47 Series A,300,50,60.25,5.44,9.07,51.38,50.00,53.50,56.25,32,2 1/8,2,16.00
data,16.47 Series A,300,52,62.25,5.63,9.32,53.38,52.00,55.50,58.25,32,2 1/8,2,16.50
data,16.47 Series A,300,54,65.25,5.94,9.88,55.50,54.00,57.75,61.00,28,2 3/8,2 1/4,17.50
data,16.47 Series A,300,56,67.25,6.00,10.19,57.62,56.00,59.75,63.00,28,2 3/8,2 1/4,17.75
data,16.47 Series A,300,58,69.25,6.19,10.44,59.62,58.00,62.00,65.00,32,2 3/8,2 1/4,18.25
data,16.47 Series A,300,60,71.25,6.38,10.69,61.62,60.00,64.00,67.00,32,2 3/8,1 1/4,18.75
data,16.47 Series A,150,26,34.25,2.63,4.69,26.62,26.00,29.50,31.75,24,1 3/8,1 1/4,8.75
data,16.47 Series A,150,28,36.50,2.75,4.88,28.62,28.00,31.50,34.00,28,1 3/8,1 1/4,9.00
data,16.47 Series A,150,30,38.75,2.88,5.32,30.75,30.00,33.75,36.00,28,1 3/8,1 1/4,9.25
data,16.47 Series A,150,32,41.75,3.13,5.63,32.75,32.00,36.00,38.50,28,1 5/8,1 1/2,10.50
data,16.47 Series A,150,34,43.75,3.19,5.82,34.75,34.00,38.00,40.50,32,1 5/8,1 1/2,10.50
data,16.47 Series A,150,36,46.00,3.50,6.13,36.75,36.00,40.25,42.75,32,1 5/8,1 1/2,11.25
data,16.47 Series A,150,38,48.75,3.38,6.13,39.00,38.00,42.25,45.25,32,1 5/8,1 1/2,11.00
data,16.47 Series A,150,40,50.75,3.50,6.38,41.00,40.00,44.25,47.25,36,1 5/8,1 1/2,11.25
data,16.47 Series A,150,42,53.00,3.75,6.69,43.00,42.00,47.00,49.50,36,1 5/8,1 1/2,11.75
data,16.47 Series A,150,44,55.25,3.94,6.94,45.00,44.00,49.00,51.75,40,1 5/8,1 1/2,12.00
data,16.47 Series A,150,46,57.25,4.00,7.25,47.12,46.00,51.00,53.75,40,1 5/8,1 1/2,12.25
data,16.47 Series A,150,48,59.50,4.19,7.50,49.12,48.00,52.50,56.00,44,1 5/8,1 1/2,12.50
data,16.47 Series A,150,50,67.75,4.32,7.94,51.25,50.00,55.50,58.25,44,1 7/8,1 3/4,13.50
data,16.47 Series A,150,52,64.00,4.50,8.19,53.25,52.00,57.50,60.50,44,1 7/8,1 3/4,13.75
data,16.47 Series A,150,54,66.25,4.69,8.44,55.25,54.00,59.50,62.75,44,1 7/8,1 3/4,14.00
data,16.47 Series A,150,56,68.75,4.82,8.94,57.38,56.00,62.00,65.00,48,1 7/8,1 3/4,14.50
data,16.47 Series A,150,58,71.00,5.00,9.19,59.38,58.00,64.00,67.25,48,1 7/8,1 3/4,14.75
data,16.47 Series A,150,60,73.00,5.13,9.38,61.38,60.00,66.00,69.25,52,1 7/8,1 3/4,15.00
